,doi,journal,title,dataset_name
0,10.1162/00335530151144113,The Quarterly Journal of Economics,Moving to Opportunity in Boston: Early Results of a Randomized Mobility Experiment,Illinois Department of Employment Security IDES Employer records
1,10.1177/0307920107073250,SAGE Race Relations Abstracts,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",Illinois Department of Corrections DOC Inmate Admissions
2,10.1177/0307920107073250,SAGE Race Relations Abstracts,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",Illinois Department of Corrections DOC Inmate Exits
3,10.1177/0307920107073250,SAGE Race Relations Abstracts,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",Illinois Department of Corrections DOC Parolee address data
4,10.1177/0307920107073250,SAGE Race Relations Abstracts,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",IL Corrections Industries Training  dataset
5,10.1162/0033553053327470,The Quarterly Journal of Economics,Neighborhood Effects on Crime for Female and Male Youth: Evidence from a Randomized Housing Voucher Experiment,US Department of Housing and Urban Development Program Microdata   Individuals Illinois
6,10.1162/0033553053327470,The Quarterly Journal of Economics,Neighborhood Effects on Crime for Female and Male Youth: Evidence from a Randomized Housing Voucher Experiment,US Department of Housing and Urban Development Program Microdata   Households Illinois
7,10.1162/00335530151144122,The Quarterly Journal of Economics,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment,US Department of Housing and Urban Development Program Microdata   Individuals Illinois
8,10.1162/00335530151144122,The Quarterly Journal of Economics,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment,US Department of Housing and Urban Development Program Microdata   Households Illinois
9,10.2307/4126683,ILR Review,Escaping Low Earnings: The Role of Employer Characteristics and Changes,Illinois Department of Employment Security IDES Unemployment Insurance UI wage records
10,10.1016/j.jeconom.2010.09.008,Journal of Econometrics,National estimates of gross employment and job flows from the Quarterly Workforce Indicators with demographic and industry detail,Illinois Department of Employment Security IDES Unemployment Insurance UI wage records
11,10.1016/j.jeconom.2010.09.008,Journal of Econometrics,National estimates of gross employment and job flows from the Quarterly Workforce Indicators with demographic and industry detail,Illinois Department of Employment Security IDES Employer records
