dataset_id,adrf_id,title
dataset-f5705a632a30d970e9df,adrf-000001,Illinois Department of Corrections DOC Inmate Admissions
dataset-7cf4e4a404cd76f34787,adrf-000002,Illinois Department of Corrections DOC Inmate Exits
dataset-ede13585b470dddf2a61,adrf-000003,Illinois Department of Employment Security IDES Unemployment Insurance UI wage records
dataset-7ec116b476030b5fe477,adrf-000004,US Department of Housing and Urban Development Program Microdata   Individuals Illinois
dataset-70f4f8e984fee6dc2fee,adrf-000034,Illinois Department of Employment Security IDES Employer records
dataset-228e00ec76ffb72750d6,adrf-000035,Illinois Department of Employment Security IDES establishment data addendum to employer records
dataset-b5ed7d0930d447640100,adrf-000036,Illinois Department of Corrections DOC Parolee address data
dataset-4fc45ac559f22b6bd5a7,adrf-000037,US Department of Housing and Urban Development Program Microdata   Households Illinois
dataset-0a082a15c7fef233f003,adrf-000055,IL Corrections Industries Training  dataset
dataset-aed32b15677b28ef7ffd,adrf-000075,Illinois Department of Corrections IDOC SPSS Holding Codes HCLASS and Education Level EDUCLVL
dataset-bba637a470944165d789,adrf-000085,Illinois Department of Corrections Person Relation Table
dataset-fa29529d061e1e30ed07,adrf-000061,Illinois Department of Human Services IDHS PointInTime Files Time Invariant Characteristics
dataset-ebff512541e2e4601cbf,adrf-000062,Illinois Department of Human Services IDHS Head of Household Files
dataset-3af19074ab2b0c6c98fc,adrf-000063,Illinois Department of Human Services IDHS Spell Files TimeVarying Characteristics
dataset-231c4ee26033c1716db0,adrf-000064,Understanding the Transition from Cash Assistance Receipt to Employment
dataset-0cf08a1db611e5a1ea0e,adrf-000069,US Department of Housing and Urban Development Program Microdata   Individuals New York
dataset-ce37fec240398e0b6c1a,adrf-000070,US Department of Housing and Urban Development Program Microdata   Households New York
dataset-1f300acbbdddca985144,adrf-000074,Illinois Department of Human Services IDHS Cases Cancelled Due to Earnings and Newly Employed
dataset-070913d0100f0cedf6ab,adrf-000096,Missouri Unemployment Insurance UI wage
dataset-61f8faa5ef7ec0549174,adrf-000097,Missouri Census LEHD Employer records
dataset-ac661c478a7de4500fbf,adrf-000098,Kansas City Missouri Water Customer Data
dataset-d64647ff8e0b76dee7b4,adrf-000101,The Kansas City Star Full Text Business Section Articles  May   April
dataset-b37988c93c45ee17f736,adrf-000102,Kansas City Missouri census tracts with flag for East or West of Troost Street
dataset-28512427f1ae397972cb,adrf-000103,Kansas City Police Department Crime Data
dataset-4d6b06b6fa2b72cb01c1,adrf-000119,Indiana wage records by quarter
dataset-94e9e9ff01b8aedacc1b,adrf-000120,Indiana wage records by employer
dataset-e716ba31fc8cab86e3d7,adrf-000121,Indiana Public Higher Education Enrollments  Through
dataset-ae484f2a470e6d741752,adrf-000122,Indiana Public Higher Education Degree Completions  Through
dataset-5f50cec51703d4126894,adrf-000096,Missouri Unemployment Insurance UI wage
dataset-12183bd83a69a22f261b,adrf-000097,Missouri Census LEHD Employer records
dataset-3281495adacd6271b5ea,adrf-000123,Missouri Department of Higher Education DHE  Term Registrations
dataset-77c751b505fb88356cf3,adrf-000124,Missouri Department of Higher Education DHE  Enrollments
dataset-84561766f75ee7a216f9,adrf-000125,Missouri Department of Higher Education DHE  Completions
dataset-63c31dfb18c70a68c09e,adrf-000126,Missouri Department of Corrections DOC  Classes
dataset-ff90a5b8b30dcae52795,adrf-000127,Missouri Department of Corrections DOC  Releases
dataset-420bd5e8395e086646d1,adrf-000128,Missouri Department of Corrections DOC  Hashed SSN to Hashed MO DOC ID Crosswalk
dataset-ac6c4dcfd95ac986a7b6,adrf-000129,Missouri Department of Labor and Industrial Relations DOLIR Unemployment Insurance Claims
dataset-0a8ab73e7ccc4f54083d,adrf-000130,Missouri Department of Labor and Industrial Relations DOLIR Unemployment Insurance Payments
dataset-f442e418ac191ac60f7f,adrf-000117,IRI Consumer Network
dataset-114d72893306f1c4e103,adrf-000118,IRI InfoScan
dataset-9238232b36ab07c26f10,demo-001001,FoodAPS
dataset-b30cddc82b6232a160fc,demo-001002,WIC
dataset-b86a78e33e05bceecbb4,demo-001003,SNAP
dataset-c9813a4a22d78df4448c,,External Position of Banks
dataset-01bf466ee1063265fc2c,,Quarterly borrower statistics
dataset-2ce66b95e41d9a3e6fea,,Corporate balance sheets USTAN
dataset-66a074be08bbd2adfddf,,Securities Holdings Statistics  Base
dataset-1f9fd88dff048559b589,,Panel on Household Finances
dataset-127377560874d4ba76f7,,Investment Funds Statistics  Base
dataset-47eaf9ed1d2826c135dc,,MFI Interest Rate Statistics
dataset-0a4825edb87990c4647e,,OECD Survey on Adult Financial Literacy in Germany
dataset-0add90b5966563e2c92a,,BAKISM
dataset-144663dbb26bb4caa0c5,,Monthly balance sheet statistics BISTA
dataset-ef2d9c1dda008065dc37,,Statistics of the banks profit and loss accounts
dataset-25898c22b57d765ac43b,,Microdatabase Direct Investment
dataset-14c852c65a9f502d1e0b,,Statistics on International Trade in Services
dataset-47453d69195baf18a739,,Zentralkartei Banken ZentK
dataset-9e3d0690099fb6cc9263,,Bank Lending Survey
dataset-5303a5a6d3acf9fe1cae,,MiMiK
dataset-2449d2efb5e219ea0a69,,Payment behaviour in Germany
dataset-17c310602af7c4bb3e5f,,Centralised Securities Database CSDB
dataset-6675463606e98311f796,,TARGET
dataset-efe9a6261c85b0fd7bf1,,Annual Distress Database of the Deutsche Bundesbank
