title,authors,journal,bbk_dataset,dataset_notes,paper,doi,url
How does P2P lending fit into the consumer credit market?,"Tasca P., de Roure C., Pelizzon L.",BBk Discussion Paper,ZISTA,,Discussion_Paper_Tasca_deRoure_Pelizzon,10.2139/ssrn.2756191 ,https://ssrn.com/abstract=2756191
Moral Suasion in Regional Government Bond Markets,Ohls J.,BBk Discussion Paper,,,Discussion_Paper_Ohls,,https://ssrn.com/abstract=3083988
International monetary policy spillovers through the bank funding channel,"Vogel U., Loeffler A., Segalla E., Valitova G., Lindner P.",BBk Discussion Paper,"AUSTA, BISTA",,Discussion_Paper_Vogel_Valitova_Loeffler_Segalla,10.1016/j.jimonfin.2018.08.012 ,https://ssrn.com/abstract=3250745
Cheap Talk? Financial Sanctions and Non-Financial Activity,"Nitsch V., Besedes T., Goldbach S.",BBk Discussion Paper,"SITS, USTAN",,Discussion_Paper_Nitsch_Besedes_Goldbach,,https://ssrn.com/abstract=3183674
"Quantitative Easing, Portfolio Rebalancing and Credit Growth: Micro Evidence from Germany",Tischer J.,BBk Discussion Paper,,,Discussion_Paper_Tischer,,https://ssrn.com/abstract=3234184
"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",Paludkiewicz K.,BBk Discussion Paper,"BISTA, CSDB, SHS-BASE, GUV, ZISTA",,Discussion_Paper_Paludkiewicz,,https://ssrn.com/abstract=3214522
A stress test framework for the German residential mortgage market - Methodology and Application,"Siemsen T., Vilsmeier J.",BBk Discussion Paper,,,Discussion_Paper_Siemsen_Vilsmeier,,https://ssrn.com/abstract=3097387
Banks' Trading after the Lehman Crisis - The Role of Unconventional Monetary Policy,"Tischer J., Podlich N., Schnabel I.",BBk Discussion Paper,,,Discussion_Paper_Podlich_Schnabel_Tischer,,https://ssrn.com/abstract=3002414
Bargaining power and outside options in the interbank lending market,"Abbassi P., Bräuning F., Schulze N.",BBk Discussion Paper,TARGET2,,Discussion_Paper_Abbassi_Bräuning_Schulze,,https://ssrn.com/abstract=3065181
A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,"Abbassi P., Schmidt M.",BBk Discussion Paper,"BISTA, MIMIK, SHS-BASE, GUV",,Discussion_Paper_Abbassi_Schmidt,,https://ssrn.com/abstract=3015743
The Financial Market Effects of the ECB's Asset Purchase Programs,"Roth M., Lewis V.",BBk Discussion Paper,BISTA,,Discussion_Paper_Lewis_Roth,,https://ssrn.com/abstract=3063310
Will German banks earn their cost of capital?,"Dombret A., Gündüz Y., Rocholl J.",BBk Discussion Paper,"GUV, ZISTA",,Discussion_Paper_Dombret_Gündüz_Rocholl,,https://ssrn.com/abstract=2910286
The Role of Structural Funding for Stability in the German Banking Sector,"Schupp F., Silbermann L.",BBk Discussion Paper,,,Discussion_Paper_Schupp_Silbermann,,https://ssrn.com/abstract=2929408
Love and money with inheritance - marital sorting by labor income and inherited wealth in the modern partnership,"Zhu J., Pasteau E.",BBk Discussion Paper,PHF,,Discussion_Paper_Pasteau_Zhu,,https://ssrn.com/abstract=3234187
Interbank Intermediation,"Bluhm M., Krahnen J., Georg C.",BBk Discussion Paper,"BISTA, MIMIK",,Discussion_Paper_Bluhm_Georg_Krahnen,,https://ssrn.com/abstract=1188516
Why do banks bear interest rate risk?,Memmel C.,BBk Discussion Paper,"BAKIS, BISTA, ZISTA",,Discussion_Paper_Memmel,,https://ssrn.com/abstract=1711002
A new perspective on the interest rate pass-through to non-maturing accounts,Sopp H.,BBk Discussion Paper,ZISTA,,Discussion_Paper_Sopp,,
Vulnerable asset management? The case of mutual funds,"Fricke D., Fricke C.",BBk Discussion Paper,"MIMIK, SHS-BASE, IFS-BASE",,Discussion_Paper_Fricke_C_Fricke_D,,https://ssrn.com/abstract=2866301
International Banking and Cross-Border Effects of Regulation: Lessons from Germany,"Ohls J., Tonzer L., Pramor M.",BBk Discussion Paper,"AUSTA, BISTA",,Discussion_Paper_Ohls_Pramor_Tonzer,,https://ssrn.com/abstract=2848040
CDS and Credit: Testing the Small Bang Theory of the Financial Universe with Micro Data,"Gündüz Y., Ongena S., Tümer-Alkan G., Yu Y.",BBk Discussion Paper,,,Discussion_Paper_Gündüz_Ongena_Yu_Tümer_Alkan,,https://ssrn.com/abstract=2607909
