title	url	dataset
Investment dispersion and the business cycle	https://ideas.repec.org/a/aea/aecrev/v104y2014i4p1392-1416.html	USTAN
German Firms in Service Trade	https://ideas.repec.org/a/aeq/aeqaeq/v56_y2010_i1_q1_p51-72.html	MIDI, SITS
KombiFiD: A First Glimpse of the Bundesbank Data	https://ideas.repec.org/a/aeq/aeqsjb/v132_y2012_i3_q3_p405-418.html	MIDI, USTAN
The role of operational flexibility in the expansion of international production networks	https://ideas.repec.org/a/bla/stratm/v33y2012i13p1540-1556.html	MIDI
Foreign (in)direct investment and corporate taxation	https://ideas.repec.org/a/cje/issued/v44y2011i4p1497-1524.html	MIDI
Why does bank credit not drive money in Germany (any more)?	https://ideas.repec.org/a/eee/ecmode/v48y2015icp41-51.html	BISTA
Foreign direct investment, corporate finance, and the life cycle of investment	https://ideas.repec.org/a/fau/fauart/v57y2007i9-10p448-464.html	MIDI
Bank management of the net interest margin: new measures	https://ideas.repec.org/a/kap/fmktpm/v27y2013i3p275-297.html	BISTA, BAKIS, GUV
The impact of nonprofit taxes on foreign direct investment: Evidence from German multinationals	https://ideas.repec.org/a/kap/itaxpf/v16y2009i3p298-320.html	MIDI
International Banking and Liquidity Risk Transmission: Evidence from Germany	https://ideas.repec.org/a/pal/imfecr/v63y2015i3p496-514.html	AUSTA, BISTA
Debt financing and sharp currency depreciations: wholly versus partially-owned multinational affiliates	https://ideas.repec.org/a/spr/weltar/v146y2010i2p281-302.html	MIDI
Foreign direct investment and the Czech corporate sector: potential risks to financial stability	https://ideas.repec.org/h/cnb/ocpubc/fsr06-3.html	MIDI
Job Creation Abroad and Worker Retention at Home	https://ideas.repec.org/h/nbr/nberch/9120.html	MIDI
What determines the use of holding companies and ownership chains?	https://ideas.repec.org/p/btx/wpaper/0803.html	MIDI
Multinational Firms and Tax Havens	https://ideas.repec.org/p/cpr/ceprdp/11495.html	MIDI
FDI and Domestic Investment: An Industry-Level View	https://ideas.repec.org/p/cpr/ceprdp/6464.html	MIDI
A Vectorautoregressive Investment Model (VIM) and Monetary Policy Transmission: Panel Evidence from German Firms	https://ideas.repec.org/p/ecj/ac2003/213.html	USTAN
Who Goes East? The Impact of Enlargement on the Patterns of German FDI	https://ideas.repec.org/p/iaw/iawdip/24.html	MIDI
Network and Border Effects: Where Do Foreign Multinationals Locate in Germany?	https://ideas.repec.org/p/iaw/iawdip/47.html	MIDI
How would formula apportionment in the EU affect the distribution and the size of the corporate tax base? An analysis based on German multinationals	https://ideas.repec.org/p/zbw/bubdp1/4471.html	MIDI
Does trade openness increase firm-level volatility?	https://ideas.repec.org/p/zbw/bubdp1/5168.html	USTAN
German bank lending to industrial and non-industrial countries: driven by fundamentals or different treatment?	https://ideas.repec.org/p/zbw/bubdp2/4263.html	MIMIK
Granularity adjustment for Basel II	https://ideas.repec.org/p/zbw/bubdp2/5353.html	MIMIK
Relationship lending: empirical evidence for Germany	https://ideas.repec.org/p/zbw/bubdp2/6799.html	USTAN, BAKIS, MIMIK
Real estate markets and bank distress	https://ideas.repec.org/p/zbw/bubdp2/7449.html	BISTA. GUV, MIMIK
International monetary policy spillovers through the bank funding channel	https://ideas.repec.org/p/zbw/bubdps/132018.html	AUSTA, BISTA
Interbank Intermediation	https://ideas.repec.org/p/zbw/bubdps/162016.html	BISTA, MIMIK
Global Production with Export Platforms	https://ideas.repec.org/p/zbw/wtowps/ersd201417.html	MIDI
Creditor concentration: an empirical investigation	https://ssrn.com/abstract=1010353	USTAN, BAKIS, MIMIK
The eurosystem money market auctions: a banking perspective	https://ssrn.com/abstract=1025523	BISTA
How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany	https://ssrn.com/abstract=1327685	MIDI
Sturm und Drang in money market funds: when money market funds cease to be narrow	https://ssrn.com/abstract=1333024	IFS-BASE
The taxation of passive foreign investment - Lessons from German experience	https://ssrn.com/abstract=1392203	MIDI
The dark and the bright side of liquidity risks: evidence from open-end real estate funds in Germany	https://ssrn.com/abstract=1487085	IFS-BASE
The cross-section of firms over the business cycle: new facts and a DSGE exploration	https://ssrn.com/abstract=1487989	USTAN
Firm-specific productivity risk over the business cycle: facts and aggregate implications	https://ssrn.com/abstract=1504531	USTAN
Who Cares about Corporate Taxation? Asymmetric Tax Effects on Outbound FDI	https://ssrn.com/abstract=1521266	MIDI
The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany	https://ssrn.com/abstract=1523644	BISTA, GUV
Choosing and using payment instruments: evidence from German microdata	https://ssrn.com/abstract=1529285	PaymentSurvey
Margins of international banking: is there a productivity pecking order in banking, too?	https://ssrn.com/abstract=1532693	AUSTA, BISTA, GUV
The price of liquidity: bank characteristics and market conditions	https://ssrn.com/abstract=1605084	BISTA
The effects of taxation on the location decision of multinational firms: M&A vs. Greenfield investments	https://ssrn.com/abstract=1624789	MIDI
Purchase and redemption decisions of mutual fund investors and the role of fund families	https://ssrn.com/abstract=1630354	IFS-BASE
Sector concentration in loan portfolios and economic capital	https://ssrn.com/abstract=1687615	MIMIK
Who is afraid of political risk? Multinational firms and their choice of capital structure	https://ssrn.com/abstract=1712384	MIDI
Is proprietary trading detrimental to retail investors?	https://ssrn.com/abstract=1783679	SHS-BASE
The use of tax havens in exemption regimes	https://ssrn.com/abstract=1971468	MIDI
The role of interbank relationships and liquidity needs	https://ssrn.com/abstract=2023843	MIMIK, BISTA
Tax incentives and capital structure choice: Evidence from Germany	https://ssrn.com/abstract=2140896	BISTA
Home-field advantage or a matter of ambiguity aversion? Local bias among German individual investors	https://ssrn.com/abstract=2171248	SHS-BASE
Crises, rescues, and policy transmission through international banks	https://ssrn.com/abstract=2195508	AUSTA
Pro-cyclical capital regulation and lending	https://ssrn.com/abstract=2305514	MIMIK, BAKIS
Cash holdings of German open-end equity funds: Does ownership matter?	https://ssrn.com/abstract=2356827	IFS-BASE
Changing forces of gravity: How the crisis affected international banking	https://ssrn.com/abstract=2385996	AUSTA
Market timing, maturity mismatch, and risk management: Evidence from the banking industry	https://ssrn.com/abstract=2396922	BAKIS
Wealth shocks, credit-supply shocks, and asset allocation: Evidence from household and firm portfolios	https://ssrn.com/abstract=2408449	SHS-BASE
Taxing banks: An evaluation of the German bank levy	https://ssrn.com/abstract=2425501	BISTA, GUV, ZISTA
Consumer cash usage: A cross-country comparison with payment diary survey data	https://ssrn.com/abstract=2436365	PaymentSurvey
Centrality-based capital allocations	https://ssrn.com/abstract=2450788	BAKIS, BISTA, VJKRE, MIMIK
Earnings baths by bank CEOs during turnovers	https://ssrn.com/abstract=2456228	BAKIS
Visible Reserves in Banks – Determinants of Initial Creation, Usage and Contribution to Bank Stability	https://ssrn.com/abstract=2472220	BAKIS
Extra Credit: Bank Finance and Firm Export Status in Germany	https://ssrn.com/abstract=2472497	MIMIK, USTAN
Interbank lending and distress: Observables, unobservables, and network structure	https://ssrn.com/abstract=2505190	BISTA
Who trades on momentum?	https://ssrn.com/abstract=2517462	SHS-BASE
Securities trading by banks and credit supply: Micro-evidence	https://ssrn.com/abstract=2575784	BISTA, BAKIS, BISTA, MIMIK, SHS-BASE, MIMIK
Evaluating the effects of ACE systems on multinational debt financing and investment	https://ssrn.com/abstract=2613819	MIDI
The organization of knowledge in multinational firms	https://ssrn.com/abstract=2622415	MIDI
At Your Service! The Role of Tax Havens in International Trade with Services	https://ssrn.com/abstract=2627083	MIDI
Cyclicality of SME lending and government involvement in banks	https://ssrn.com/abstract=2640679	BISTA, GUV
Banks and sovereign risk: A granular view	https://ssrn.com/abstract=2666510	BISTA, BAKIS, SHS-BASE, GUV
Price Level Changes and the Redistribution of Nominal Wealth Across the Euro Area	https://ssrn.com/abstract=2666983	PHF
Cyclical investment behavior across financial institutions	https://ssrn.com/abstract=2696647	SHS-BASE
Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?	https://ssrn.com/abstract=2734718	BAKIS, BISTA, MIMIK
How does P2P lending fit into the consumer credit market?	https://ssrn.com/abstract=2756191	ZISTA
Intra-household allocation of non-mandatory retirement savings	https://ssrn.com/abstract=2774243	PHF
Foreign Bank Entry into Emerging Economies: An Empirical Assessment of the Determinants and Risks Predicated on German FDI Data	https://ssrn.com/abstract=2785046	MIDI
Business cycles and FDI: evidence from German sectoral data	https://ssrn.com/abstract=2785096	MIDI
Dynamic Q-investment functions for Germany using panel balance sheet data and a new algorithm for the capital stock at replacement values	https://ssrn.com/abstract=2785159	USTAN
Determinants of German Foreign Direct Investment in Latin American and Asian Emerging Markets in the 1990s	https://ssrn.com/abstract=2785197	MIDI
The cross-sectional dynamics of German business cycles: a bird's eye view	https://ssrn.com/abstract=2785206	USTAN
Trade balances of the central and east European EU member states and the role of foreign direct investment	https://ssrn.com/abstract=2785224	MIDI
Going multinational: What are the effects on home market performance?	https://ssrn.com/abstract=2785229	USTAN, MIDI
Exports versus FDI in German manufacturing: firm performance and participation in international markets	https://ssrn.com/abstract=2785230	MIDI
Foreign direct investment in the enlarged EU: do taxes matter and to what extent?	https://ssrn.com/abstract=2785238	MIDI
Internalization and internationalization under copeting real options	https://ssrn.com/abstract=2785241	MIDI
The within-distribution business cycle dynamics of German firms	https://ssrn.com/abstract=2785256	USTAN
Industries and the bank lending effects of bank credit demand and monetary policy in Germany	https://ssrn.com/abstract=2785275	BISTA, MIMIK
Corporate marginal tax rate, tax loss carryforwards and investment functions: empirical analysis using a large German panel data set	https://ssrn.com/abstract=2785296	USTAN
Volatile multinationals? Evidence from the labor demand of German firms	https://ssrn.com/abstract=2785297	MIDI
