dataset,doi,journal,title,url,pdf
dataset-002,10.1371/journal.pone.0124351,PLoS One,"Relationships between Diet, Alcohol Preference, and Heart Disease and Type 2 Diabetes among Americans",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4427330/,
dataset-002,10.2105/AJPH.2016.303048,American Journal of Public Health,Food Environments and Obesity: Household Diet Expenditure Versus Food Deserts.,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2016.303048?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed&,
dataset-001,10.3168/jds.2015-10410,Journal of Dairy Science,The effects of retail concentration on retail dairy product prices in the United States,https://www.sciencedirect.com/science/article/pii/S0022030216301369,
dataset-001,10.1093/erae/jbv032,European Review of Agricultural Economics,Consumers' welfare and off-season produce imports,https://academic.oup.com/erae/article/43/4/585/2926669,
dataset-001,10.3386/w21126,NBER Working Paper,Is the Focus on Food Deserts Fruitless? Retail Access and Food Purchases Across the Socioeconomic Spectrum,,https://www.nber.org/papers/w21126.pdf
dataset-002,10.1111/agec.12222,Agricultural Economics,Modeling price transmission between farm and retail prices: a soft switches approach,https://onlinelibrary.wiley.com/doi/full/10.1111/agec.12222,
dataset-002,,Northeast Regional Center for Rural Development,Describing U.S. Households’ Food Purchasing Patterns across Poverty and Urban Status: The EFSNE project Market Basket,,https://aese.psu.edu/nercrd/publications/rdp/describing-US-households-food-purchasing-patterns-efsne-market-basket
dataset-002,10.1016/j.jand.2017.01.011,Journal of the Academy of Nutrition and Dietetics,"No Fat, No Sugar, No Salt . . . No Problem? Prevalence of “Low-Content” Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States",https://www.sciencedirect.com/science/article/pii/S2212267217300722,
dataset-002,10.1177/0890117118786871,American Journal of Health Promotion,"The Healthfulness of Food-at-Home Expenditures, the Local Food Environment, and Childhood Obesity",https://journals.sagepub.com/doi/abs/10.1177/0890117118786871,
dataset-001,10.1093/aepp/ppy018,Applied Economic Perspectives and Policy,Documenting the Link Between Poor Food Access and Less Healthy Product Assortment Across the U.S.,https://academic.oup.com/aepp/advance-article/doi/10.1093/aepp/ppy018/5105734,
dataset-001,,"United States Department of Agriculture, Economic Research Service",Measuring the Impacts of Off-Season Berry Imports,,https://www.ers.usda.gov/webdocs/publications/45445/54290_err197.pdf?v=0
dataset-001,,"United States Department of Agriculture, Economic Research Service","Examining Food Store Scanner Data: A Comparison of the IRI InfoSCan Data with Other Data Sets, 2008-2012",,https://www.ers.usda.gov/webdocs/publications/90355/tb-1949.pdf?v=1369.6
dataset-001,,"United States Department of Agriculture, Economic Research Service",How Much Does It Matter How Sick You Get? Consumers' Responses to Foodborne Disease Outbreaks of Different Severities,,https://www.ers.usda.gov/webdocs/publications/45419/53640_err193.pdf?v=0
dataset-001,,"United States Department of Agriculture, Economic Research Service",The Cost of Satisfying Fruit and Vegetable Recommendations in the Dietary Guidelines,,https://www.ers.usda.gov/webdocs/publications/42902/56772_eb27.pdf?v=0
dataset-002,,"United States Department of Agriculture, Economic Research Service",Understanding IRI Household-Based and Store-Based Scanner Data,,https://www.ers.usda.gov/webdocs/publications/47633/57105_tb-1942.pdf?v=0
dataset-001,,"United States Department of Agriculture, Economic Research Service",WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,,https://www.ers.usda.gov/webdocs/publications/45533/57281_err207.pdf?v=0
dataset-002,,"United States Department of Agriculture, Economic Research Service",Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,,https://www.ers.usda.gov/webdocs/publications/85252/tb-1946.pdf?v=0
dataset-002,,"United States Department of Agriculture, Economic Research Service",Store Formats and Patterns in Household Grocery Purchases,,https://www.ers.usda.gov/webdocs/publications/82929/eib-167.pdf?v=0
dataset-001,,"United States Department of Agriculture, Economic Research Service",An Assessment of Product Turnover in the U.S. Food Industry and Effects on Nutrient Content,,https://www.ers.usda.gov/webdocs/publications/85761/eib-183.pdf?v=0
dataset-002,,"United States Department of Agriculture, Economic Research Service",Food Purchase Decisions of Millennial Households Compared to Other Generations,,https://www.ers.usda.gov/webdocs/publications/86401/eib-186.pdf?v=0
dataset-001,,"United States Department of Agriculture, Economic Research Service",America's Eating Habits: Food Away From Home,,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf
dataset-001,10.1177/0890117117740935,American Journal Health Promotion,"Chronic Disease, Prescription Medications, and Food Purchases",,http://journals.sagepub.com/doi/pdf/10.1177/0890117117740935
dataset-001,10.1093/ajae/aay002,American Journal of Agricultural Economics,"Spatial and Temporal Variation in the Value of the Women, Infants, and Children Program’s Fruit and Vegetable Voucher",https://academic.oup.com/ajae/article/100/3/691/4931098,
dataset-001,10.1080/10454446.2018.1428259,Journal of Food Products Marketing,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products,,https://www.tandfonline.com/doi/pdf/10.1080/10454446.2018.1428259
dataset-001,10.1080/15140326.2018.1526869,Journal of Applied Economics,A New Approach to Estimate Household Food Demand with Panel Data,,https://tandfonline.com/doi/pdf/10.1080/15140326.2018.1526869
dataset-001,10.1007/s10603-018-9396-x,Journal of Consumer Policy ,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels,,http://link.springer.com/content/pdf/10.1007/s10603-018-9396-x.pdf
dataset-001,,"United States Department of Agriculture, Economic Research Service","Interstate Variation in WIC Food Package Costs: The Role of Food Prices, Caseload Composition, and Cost-Containment Practices",,https://www.ers.usda.gov/webdocs/publications/46843/28944_fanrr41.pdf?v=0
