citation,pubTitle,author,pubDate,doi,pubId,pubType,journal,host,link,filename,filename_txt,dataName,datasetSysID
"Adjemian, M. K., Volpe, R. J., & Adjemian, J. (2015). Relationships between Diet, Alcohol Preference, and Heart Disease and Type 2 Diabetes among Americans. PloS one, 10(5), e0124351. doi:10.1371/journal.pone.0124351","Relationships between Diet, Alcohol Preference, and Heart Disease and Type 2 Diabetes among Americans",Adjemian,2015-05-11,10.1371/journal.pone.0124351,10.1371/journal.pone.0124351,Journal,PLoS One,www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4427330/,10.1371_journal.pone.0124351.pdf,10.1371_journal.pone.0124351.txt,IRI Consumer Network data,10420
"Danhong Chen, Edward C. Jaenicke, and Richard J. Volpe, 2016. ""Food Environments and Obesity: Household Diet Expenditure Versus Food Deserts,"" American Journal of Public Health 106, 881_888, https://doi.org/10.2105/AJPH.2016.303048",Food Environments and Obesity: Household Diet Expenditure Versus Food Deserts.,Chen,2016-04-06,10.2105/AJPH.2016.303048,10.2105/AJPH.2016.303048,Journal,American Journal of Public Health,www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pubmed/26985622,10.2105_AJPH.2016.303048.pdf,10.2105_AJPH.2016.303048.txt,IRI Consumer Network data,10420
"V. Hovhannisyan, & M. Bozic. 2016. ""The effects of retail concentration on retail dairy product prices in the United States,"" in Journal of Dairy Science, Volume 99, Issue 6, pgs. 4928-4938, https://doi.org/10.3168/jds.2015-10410.",The effects of retail concentration on retail dairy product prices in the United States,Hovhannisyan,2016-04-06,10.3168/jds.2015-10410,10.3168/jds.2015-10410,Journal,Journal of Dairy Science,www.sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S0022030216301369,10.3168_jds.2015-10410.pdf,10.3168_jds.2015-10410.txt,IRI Infoscan data,10373
"Kuchler, Fred, & Arnade, Carlos. 2016 ""Consumers' welfare and off-season produce imports,"" in European Review of Agricultural Economics, Volume 43, Issue 4, pgs. 585–608, https://doi.org/10.1093/erae/jbv032",Consumers' welfare and off-season produce imports,Kuchler,2016-08-05,10.1093/erae/jbv032,10.1093/erae/jbv032,Journal,European Review of Agricultural Economics,academic.oup.com,https://academic.oup.com/erae/article/43/4/585/2926669,10.1093_erae_jbv032.pdf,10.1093_erae_jbv032.txt,IRI Infoscan data,10373
"Handbury, Jessie, Rahkovsky, Ilya, & Schnell, Molly. 2015. ""Is the Focus on Food Deserts Fruitless? Retail Access and Food Purchases Across the Socioeconomic Spectrum,"" Working Paper Series, National Bureau of Economic Research. https://doi.org/10.3386/w21126",Is the Focus on Food Deserts Fruitless? Retail Access and Food Purchases Across the Socioeconomic Spectrum,Handbury,2016-04-01,10.3386/w21126,10.3386/w21126,Working Paper,NBER Working Paper,www.nber.org,https://www.nber.org/papers/w21126,10.3386_w21126.pdf,10.3386_w21126.txt,IRI Infoscan data,10373
"Hahn, William, Stewart, Hayden, Blayney, Donald P., & Davis, Christopher G. 2016. ""Modeling price transmission between farm and retail prices: a soft switches approach,"" in Agricultural Economics, vol. 47, pgs. 193-203. https://doi.org/10.1111/agec.12222.",Modeling price transmission between farm and retail prices,Stewart,2016-02-23,10.1111/agec.12222,10.1111/agec.12222,Journal,Agricultural Economics,onlinelibrary.wiley.com,https://onlinelibrary.wiley.com/doi/full/10.1111/agec.12222,10.1111_agec.12222.pdf,10.1111_agec.12222.txt,IRI Consumer Network data,10420
"Cleary R., Bonanno A., & Cho C. 2017. ""Describing U.S. Households’ Food Purchasing Patterns across Poverty and Urban Status: The EFSNE project Market Baske,"" Rural Development Paper no. 56. The Northeast Regional Center for Rural Development",Describing U.S. Households’ Food Purchasing Patterns across Poverty and Urban Status: The EFSNE project Market Basket,Cleary,2017-02-01,https://aese.psu.edu/nercrd/publications/rdp/describing-US-households-food-purchasing-patterns-efsne-market-basket,https://aese.psu.edu/nercrd/publications/rdp/describing-US-households-food-purchasing-patterns-efsne-market-basket,Policy Paper,Northeast Regional Center for Rural Development,aese.psu.edu,https://aese.psu.edu/nercrd/publications/rdp/describing-US-households-food-purchasing-patterns-efsne-market-basket,rdp_56.pdf,rdp_56.txt,IRI Consumer Network data,10420
"Taillie, L.S., Shu W.N., Ya X., Busey, E., & Harding, M. 2017. ""No Fat, No Sugar, No Salt... No Problem? Prevalence of “Low-Content” Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States,"" in Journal of the Academy of Nutrition and Dietetics, vol. 117, pgs. 1366-1374. https://doi.org/10.1016/j.jand.2017.01.011","No Fat, No Sugar, No Salt . . . No Problem? Prevalence of “Low-Content” Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States",Smith Taillie,2017-03-15,10.1016/j.jand.2017.01.011,10.1016/j.jand.2017.01.011,Journal,Journal of the Academy of Nutrition and Dietetics,www.sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2212267217300722,10.1016_j.jand.2017.01.011.pdf,10.1016_j.jand.2017.01.011.txt,IRI Consumer Network data,10420
"Chen, D., Jaenicke, E. C., & Volpe, R. J. (2019). The Healthfulness of Food-at-Home Expenditures, the Local Food Environment, and Childhood Obesity. American Journal of Health Promotion, 33(3), 412–419. https://doi.org/10.1177/0890117118786871","The Healthfulness of Food-at-Home Expenditures, the Local Food Environment, and Childhood Obesity",Chen,2018-07-13,10.1177/0890117118786871,10.1177/0890117118786871,Journal,American Journal of Health Promotion,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0890117118786871,10.1177_0890117118786871.pdf,10.1177_0890117118786871.txt,IRI Consumer Network data,10420
"Lauren Chenarides, Edward C Jaenicke, Documenting the Link Between Poor Food Access and Less Healthy Product Assortment Across the U.S., Applied Economic Perspectives and Policy, , ppy018, https://doi.org/10.1093/aepp/ppy018",Documenting the Link Between Poor Food Access and Less Healthy Product Assortment Across the U.S.,Chenarides,2018-09-21,10.1093/aepp/ppy018,10.1093/aepp/ppy018,Journal,Applied Economic Perspectives and Policy,academic.oup.com,https://academic.oup.com/aepp/advance-article/doi/10.1093/aepp/ppy018/5105734,10.1093_aepp_ppy018.pdf,10.1093_aepp_ppy018.txt,IRI Infoscan data,10373
