dataset,doi,journal,title,url,pdf
dataset-025,,"United States Department of Agriculture, Economic Research Service",WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases,,https://www.ers.usda.gov/webdocs/publications/45533/57281_err207.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",USDA's National Household Food Acquisition and Purchase Survey: Methodology for Imputing Missing Quantities To Calculate Healthy Eating Index-2010 Scores and Sort Foods Into ERS Food Groups,,https://ageconsearch.umn.edu/record/276252/files/TB-1947.pdf
dataset-025,10.1016/j.foodpol.2018.03.007,Food Policy,Overview: Exploring ways to encourage healthier food purchases by low-income consumers‚ Lessons from behavioral economics and marketing,,https://api.elsevier.com/content/article/PII:S0306919218301222?httpAccept=application/pdf&APIKey=7ff2a9eacaeec4ab00d57e3784c42a3f
dataset-025,,"United States Department of Agriculture, Economic Research Service","Supermarkets, Schools, and Social Gatherings: Where Supplemental Nutrition Assistance Program and Other U.S. Households Acquire Their Foods Correlates With Nutritional Quality",https://www.ers.usda.gov/amber-waves/2018/januaryfebruary/supermarkets-schools-and-social-gatherings-where-supplemental-nutrition-assistance-program-and-other-us-households-acquire-their-foods-correlates-with-nutritional-quality/,
dataset-025,,"United States Department of Agriculture, Economic Research Service",Nutritional Quality of Foods Acquired by Americans: Findings From USDA‚Äôs National Household Food Acquisition and Purchase Survey,,https://www.ers.usda.gov/webdocs/publications/87531/eib-188.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",Consumers Balance Time and Money in Purchasing Convenience Foods,,https://www.ers.usda.gov/webdocs/publications/89344/err-251.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",Where Households Get Food in a Typical Week: Findings From USDA's FoodAPS,,https://www.ers.usda.gov/webdocs/publications/80542/eib-156.pdf?v=0
dataset-025,,"United States Department of Agriculture, Economic Research Service",USDA FoodAPS: Providing Insights Into U.S. Food Demand and Food Assistance Programs,https://www.ers.usda.gov/amber-waves/2017/august/usda-s-foodaps-providing-insights-into-us-food-demand-and-food-assistance-programs/,
dataset-025,10.1016/j.foodpol.2018.03.005,Food Policy,How do food retail choices vary within and between food retail environments?,https://www.sciencedirect.com/science/article/pii/S0306919218301283,
dataset-025,,"United States Department of Agriculture, Economic Research Service",Where Do Americans Usually Shop for Food and How Do They Travel To Get There? Initial Findings from the National Household Food Acquisition and Purchase Survey,,https://www.ers.usda.gov/webdocs/publications/43953/eib138_errata.pdf?v=2948.4
dataset-025,10.1016/j.amepre.2018.04.027,American Journal of Preventive Medicine,Diet Quality Over the Monthly Supplemental Nutrition Assistance Program Cycle,https://www.sciencedirect.com/science/article/pii/S0749379718317343?via%3Dihub,
dataset-025,10.3945/cdn.117.001446,Current Developments in Nutrition,"For Low-Income Americans, Living <For Low-Income Americans, Living ≤1 Mile (≤1.6 km) from the Nearest Supermarket Is Not Associated with Self-Reported Household Food Security 1 Mile (1.6 km) from the Nearest Supermarket Is Not Associated with Self-Reported Household Food Security",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5998793/,
dataset-025,10.1093/aepp/ppy013,Applied Economic Perspectives and Policy,Re-Examining the SNAP Benefit Cycle Allowing for Heterogeneity,,http://academic.oup.com/aepp/advance-article-pdf/doi/10.1093/aepp/ppy013/24969578/ppy013.pdf
dataset-025,10.1002/pam.22093,Journal of Policy Analysis and Management,"Salience, Food Security, and SNAP Receipt",https://onlinelibrary.wiley.com/doi/full/10.1002/pam.22093,
dataset-025,10.1016/j.foodpol.2018.05.004,Food Policy ,A Comprehensive Life Cycle Assessment of Greenhouse Gas Emissions from U.S. Household Food Choices,https://www.sciencedirect.com/science/article/pii/S0306919217310552,
dataset-026,10.1002/pam.22113,Journal of Policy Analysis and Management,Local Labor Demand and Program Participation Dynamics: Evidence from New York SNAP Administrative Records,https://onlinelibrary.wiley.com/doi/full/10.1002/pam.22113,
dataset-025,10.1108/BFJ-07-2017-0372,British Food Journal,Household acquisition of healthy food away from home,,https://www.emerald.com/insight/content/doi/10.1108/BFJ-07-2017-0372/full/pdf?title=household-acquisition-of-healthy-food-away-from-home
dataset-025,10.1016/j.foodpol.2018.04.010,Food Policy ,How strong is the demand for food through direct-to-consumer outlets?,https://www.sciencedirect.com/science/article/pii/S0306919216303542,
dataset-025,10.1177/0890117118778243,American Journal of Public Health,WIC Households' Bread and Cold Cereal Purchases: When They Use Benefits Versus Paying Out of Pocket,,http://journals.sagepub.com/doi/pdf/10.1177/0890117118778243
dataset-025,10.1002/soej.12345,Southern Economic Journal,SNAP and Paycheck Cycles,https://onlinelibrary.wiley.com/doi/full/10.1002/soej.12345,
