rank,publication_id,doi,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank
567,pub.1091208742,10.1016/j.jneb.2017.06.002,28818487,PMC5632594,SNAP-Based Incentive Programs at Farmers' Markets: Adaptation Considerations for Temporary Assistance for Needy Families (TANF) Recipients,Journal of Nutrition Education and Behavior,,Elsevier,Adult; Female; Food Assistance; Food Supply; Health Behavior; Health Promotion; Humans; Male; Motivation; Young Adult,2017,49,9,743-751.e1,Closed,article,"Wetherill, Marianna S.; Williams, Mary B.; Gray, Karen A.","Wetherill, Marianna S. (University of Oklahoma Health Sciences Center); Williams, Mary B. (University of Oklahoma Health Sciences Center); Gray, Karen A. (University of Oklahoma)",University of Oklahoma Health Sciences Center; University of Oklahoma,grid.266902.9; grid.266900.b,Oklahoma City; Norman,Oklahoma; Oklahoma,United States; United States,National Institute of General Medical Sciences; National Center for Advancing Translational Sciences,NIH,United States; United States,grant.2438431; grant.2437893,P20RR016478; P20GM103447,1,1,0.72,0.55,,https://app.dimensions.ai/details/publication/pub.1091208742,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Trials and Supportive Activities; Clinical Research,Clinical Trials and Supportive Activities,Clinical Research,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",1
478,pub.1101550386,10.1016/j.ypmed.2018.03.015,29555187,PMC5970989,Where do U.S. households purchase healthy foods? An analysis of food-at-home purchases across different types of retailers in a nationally representative dataset,Preventive Medicine,,Elsevier,,2018,112,,15-22,Closed,article,"Chrisinger, Benjamin W.; Kallan, Michael J.; Whiteman, Eliza D.; Hillier, Amy","Chrisinger, Benjamin W. (Stanford University); Kallan, Michael J. (); Whiteman, Eliza D. (); Hillier, Amy ()",Stanford University,grid.168010.e,Stanford,California,United States,United States Department of Agriculture; National Heart Lung and Blood Institute,USDA; NIH,United States; United States,grant.2684554,T32HL007034,2,2,0,0,,https://app.dimensions.ai/details/publication/pub.1101550386,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Clinical Research; Prevention; Obesity,Nutrition,Clinical Research,Prevention,Obesity,,Cardiovascular; Cancer; Metabolic and Endocrine,Cardiovascular,Cancer,Metabolic and Endocrine,,,,,,,,,,,Not Site-Specific Cancer,Not Site-Specific Cancer,,,,,3.2 Nutritional Science in Cancer Prevention,3.2 Nutritional Science in Cancer Prevention,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.84303351
472,pub.1099640503,10.1016/j.amepre.2017.10.005,29246675,PMC5783733,“Doubling Up” on Produce at Detroit Farmers Markets: Patterns and Correlates of Use of a Healthy Food Incentive,American Journal of Preventive Medicine,,Elsevier,Adult; Commerce; Farmers; Feeding Behavior; Female; Food Assistance; Food Supply; Fruit; Health Promotion; Humans; Male; Michigan; Middle Aged; Motivation; Poverty; Sex Factors; Vegetables,2018,54,2,181-189,Closed,article,"Cohen, Alicia J.; Lachance, Laurie L.; Richardson, Caroline R.; Mahmoudi, Elham; Buxbaum, Jason D.; Noonan, George K.; Murphy, Ellen C.; Roberson, Dana N.; Hesterman, Oran B.; Heisler, Michele; Zick, Suzanna M.","Cohen, Alicia J. (University of Michigan); Lachance, Laurie L. (University of Michigan); Richardson, Caroline R. (University of Michigan); Mahmoudi, Elham (University of Michigan); Buxbaum, Jason D. (University of Michigan); Noonan, George K. (Michigan Department of Health and Human Services); Murphy, Ellen C. (Wayne State University); Roberson, Dana N. (University of Michigan); Hesterman, Oran B. (); Heisler, Michele (University of Michigan); Zick, Suzanna M. (University of Michigan)",Michigan Department of Health and Human Services; University of Michigan; Wayne State University,grid.467944.c; grid.214458.e; grid.254444.7,Lansing; Ann Arbor; Detroit,Michigan; Michigan; Michigan,United States; United States; United States,National Institute of Diabetes and Digestive and Kidney Diseases; W.K. Kellogg Foundation; Robert Wood Johnson Foundation,NIH,United States; United States; United States,grant.2439066; grant.2438968,P30DK092926; P30DK020572,2,2,0,0,,https://app.dimensions.ai/details/publication/pub.1099640503,1117 Public Health and Health Services; 1402 Applied Economics,1117 Public Health and Health Services,1402 Applied Economics,,,,,,,,,,,,,,,,,,,,,,,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.832451499
437,pub.1113946508,10.1377/hlthaff.2018.05265,31059367,,Loss Of SNAP Is Associated With Food Insecurity And Poor Health In Working Families With Young Children,Health Affairs,,Health Affairs,,2019,38,5,765-773,Closed,article,"Ettinger de Cuba, Stephanie; Chilton, Mariana; Bovell-Ammon, Allison; Knowles, Molly; Coleman, Sharon M; Black, Maureen M; Cook, John T; Cutts, Diana Becker; Casey, Patrick H; Heeren, Timothy C; Frank, Deborah A","Ettinger de Cuba, Stephanie (); Chilton, Mariana (Drexel University); Bovell-Ammon, Allison (); Knowles, Molly (); Coleman, Sharon M (Boston University); Black, Maureen M (University of Maryland, Baltimore); Cook, John T (); Cutts, Diana Becker (); Casey, Patrick H (); Heeren, Timothy C (); Frank, Deborah A ()","Boston University; Drexel University; University of Maryland, Baltimore",grid.189504.1; grid.166341.7; grid.411024.2,Boston; Philadelphia; Baltimore,Massachusetts; Pennsylvania; Maryland,United States; United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1113946508,1117 Public Health and Health Services; 1402 Applied Economics,1117 Public Health and Health Services,1402 Applied Economics,,,,Pediatric; Clinical Research; Nutrition,Pediatric,Clinical Research,Nutrition,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.770723104
418,pub.1050299597,10.1016/j.jneb.2014.12.008,25754298,PMC4355576,Farmers' Markets and the Local Food Environment: Identifying Perceived Accessibility Barriers for SNAP Consumers Receiving Temporary Assistance for Needy Families (TANF) in an Urban Oklahoma Community,Journal of Nutrition Education and Behavior,,Elsevier,Adolescent; Adult; Attitude; Female; Food Assistance; Food Supply; Fruit; Humans; Male; Middle Aged; Oklahoma; Poverty; Vegetables; Young Adult,2015,47,2,127-133.e1,"All OA; Green, Accepted",article,"Wetherill, Marianna S.; Gray, Karen A.","Wetherill, Marianna S. (University of Oklahoma Health Sciences Center); Gray, Karen A. (University of Oklahoma)",University of Oklahoma; University of Oklahoma Health Sciences Center,grid.266900.b; grid.266902.9,Norman; Oklahoma City,Oklahoma; Oklahoma,United States; United States,National Center for Advancing Translational Sciences; National Institute of General Medical Sciences,NIH,United States; United States,grant.2438431; grant.2437893,P20RR016478; P20GM103447,17,15,2.04,3.95,http://europepmc.org/articles/pmc4355576?pdf=render,https://app.dimensions.ai/details/publication/pub.1050299597,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research,Clinical Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.737213404
391,pub.1112283712,10.1016/j.amepre.2018.11.010,30799161,,Facilitators and Barriers to Supplemental Nutrition Assistance Program Incentive Use: Findings From a Clinic Intervention for Low-Income Patients,American Journal of Preventive Medicine,,Elsevier,,2019,56,Prev Chronic Dis 10 2013,571-579,Closed,article,"Cohen, Alicia J.; Oatmen, Kelsie E.; Heisler, Michele; Hesterman, Oran B.; Murphy, Ellen C.; Zick, Suzanna M.; Richardson, Caroline R.","Cohen, Alicia J. (University of Michigan); Oatmen, Kelsie E. (University of Michigan); Heisler, Michele (University of Michigan); Hesterman, Oran B. (); Murphy, Ellen C. (Wayne State University); Zick, Suzanna M. (University of Michigan); Richardson, Caroline R. (University of Michigan)",University of Michigan; Wayne State University,grid.214458.e; grid.254444.7,Ann Arbor; Detroit,Michigan; Michigan,United States; United States,W.K. Kellogg Foundation; National Institute of Diabetes and Digestive and Kidney Diseases; Robert Wood Johnson Foundation,NIH,United States; United States; United States,grant.2439066,P30DK092926,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112283712,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Prevention; Clinical Trials and Supportive Activities; Behavioral and Social Science; Nutrition,Clinical Research,Prevention,Clinical Trials and Supportive Activities,Behavioral and Social Science,Nutrition,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.689594356
391,pub.1101107410,10.1017/s1368980018000101,29455705,,"Barriers to fruit and vegetable consumption among farmers’ market incentive programme users in Illinois, USA",Public Health Nutrition,,Cambridge University Press (CUP),Adult; Attitude to Health; Cross-Sectional Studies; Diet; Farmers; Female; Food Assistance; Food Supply; Fruit; Health Behavior; Humans; Illinois; Male; Poverty; Vegetables,2018,21,7,5-Jan,All OA; Bronze,article,"Singleton, Chelsea R; Fouché, Sydney; Deshpande, Rucha; Odoms-Young, Angela; Chatman, Corey; Spreen, Connie","Singleton, Chelsea R (University of Illinois at Chicago); Fouché, Sydney (University of Illinois at Chicago); Deshpande, Rucha (University of Illinois at Chicago); Odoms-Young, Angela (University of Illinois at Chicago); Chatman, Corey (Experimental Station); Spreen, Connie (Experimental Station)",Experimental Station; University of Illinois at Chicago,grid.486911.3; grid.185648.6,Chicago; Chicago,Illinois; Illinois,United States; United States,National Institute of Food and Agriculture; National Cancer Institute,USDA; NIH,United States; United States,grant.7050932; grant.2622449; grant.6379850,R25CA057699; 2016-67012-24705; 2016-70025-25234,1,1,0,0,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2409703B678F0C5612A941D3A6A219D6/S1368980018000101a.pdf/div-class-title-barriers-to-fruit-and-vegetable-consumption-among-farmers-market-incentive-programme-users-in-illinois-usa-div.pdf,https://app.dimensions.ai/details/publication/pub.1101107410,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Clinical Research,Nutrition,Clinical Research,,,,,,,,,,,,,,,,,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.689594356
386,pub.1034772860,10.1377/hlthaff.2009.0731,20194981,,Federal Food Policy And Childhood Obesity: A Solution Or Part Of The Problem?,Health Affairs,,Health Affairs,"Body Mass Index; Child; Child, Preschool; Food Industry; Food Preferences; Government Regulation; Humans; Nutrition Policy; Obesity; United States",2010,29,3,411-418,All OA; Bronze,article,"Kimbro, Rachel Tolbert; Rigby, Elizabeth","Kimbro, Rachel Tolbert (Rice University); Rigby, Elizabeth (University of Houston)",Rice University; University of Houston,grid.21940.3e; grid.266436.3,Houston; Houston,Texas; Texas,United States; United States,National Institute of Child Health and Human Development; United States Department of Agriculture; Robert Wood Johnson Foundation; Health Resources and Services Administration,USDA; NIH,United States; United States; United States; United States,grant.2354553; grant.2525849,D39PE000002; R01HD036916,16,3,0.68,1.77,https://www.healthaffairs.org/doi/pdf/10.1377/hlthaff.2009.0731,https://app.dimensions.ai/details/publication/pub.1034772860,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Prevention; Nutrition; Clinical Research; Obesity,Pediatric,Prevention,Nutrition,Clinical Research,Obesity,Cancer; Oral and Gastrointestinal; Cardiovascular; Metabolic and Endocrine; Stroke,Cancer,Oral and Gastrointestinal,Cardiovascular,Metabolic and Endocrine,Stroke,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.680776014
384,pub.1112383803,10.1016/j.jneb.2019.01.019,30819655,,Hunger or Deportation: Implications of the Trump Administration's Proposed Public Charge Rule,Journal of Nutrition Education and Behavior,,Elsevier,,2019,51,"New York Times September 22, 2018",505-509,Closed,article,"Bleich, Sara N.; Fleischhacker, Sheila","Bleich, Sara N. (Harvard University); Fleischhacker, Sheila (Georgetown University)",Harvard University; Georgetown University,grid.38142.3c; grid.213910.8,Cambridge; Washington D.C.,Massachusetts; District of Columbia,United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112383803,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition,Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.677248677
381,pub.1049920603,10.1017/s1368980016003153,27964772,,Supplemental Nutrition Assistance Progam benefits and emergency room visits for hypoglycaemia,Public Health Nutrition,,Cambridge University Press (CUP),"Adolescent; Adult; Aged; Aged, 80 and over; Dose-Response Relationship, Drug; Emergency Service, Hospital; Family Characteristics; Female; Food Assistance; Food Supply; Humans; Hypoglycemia; Male; Middle Aged; Missouri; Nutrition Policy; Nutritional Status; Poverty; Retrospective Studies; Sensitivity and Specificity; Young Adult",2017,20,7,8-Jan,All OA; Bronze,article,"Heflin, Colleen; Hodges, Leslie; Mueser, Peter","Heflin, Colleen (University of Missouri System); Hodges, Leslie (University of Missouri System); Mueser, Peter (University of Missouri System)",University of Missouri System,grid.411035.2,Columbia,Missouri,United States,United States Department of Agriculture,USDA,United States,,,5,5,0.48,2.63,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D8A24285B12FC9B6C03069CAE62DC90A/S1368980016003153a.pdf/div-class-title-supplemental-nutrition-assistance-progam-benefits-and-emergency-room-visits-for-hypoglycaemia-div.pdf,https://app.dimensions.ai/details/publication/pub.1049920603,1111 Nutrition and Dietetics,1111 Nutrition and Dietetics,,,,,Nutrition,Nutrition,,,,,Metabolic and Endocrine,Metabolic and Endocrine,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.671957672
