dataset_name,doi,journal ,title
dataset-026,10.1016/j.jneb.2017.06.002,Journal of Nutrition Education and Behavior,SNAP-Based Incentive Programs at Farmers' Markets: Adaptation Considerations for Temporary Assistance for Needy Families (TANF) Recipients
dataset-026,10.1016/j.ypmed.2018.03.015,Preventive Medicine,Where do U.S. households purchase healthy foods? An analysis of food-at-home purchases across different types of retailers in a nationally representative dataset
dataset-026,10.1016/j.amepre.2017.10.005,American Journal of Preventive Medicine,Doubling Up on Produce at Detroit Farmers Markets: Patterns and Correlates of Use of a Healthy Food Incentive
dataset-026,10.1377/hlthaff.2018.05265,Health Affairs,Loss Of SNAP Is Associated With Food Insecurity And Poor Health In Working Families With Young Children
dataset-026,10.1016/j.jneb.2014.12.008,Journal of Nutrition Education and Behavior,Farmers' Markets and the Local Food Environment: Identifying Perceived Accessibility Barriers for SNAP Consumers Receiving Temporary Assistance for Needy Families (TANF) in an Urban Oklahoma Community
dataset-026,10.1016/j.amepre.2018.11.010,American Journal of Preventive Medicine,Facilitators and Barriers to Supplemental Nutrition Assistance Program Incentive Use: Findings From a Clinic Intervention for Low-Income Patients
dataset-026,10.1017/s1368980018000101,Public Health Nutrition,"Barriers to fruit and vegetable consumption among farmers: market incentive programme users in Illinois, USA"
dataset-026,10.1377/hlthaff.2009.0731,Health Affairs,Federal Food Policy And Childhood Obesity: A Solution Or Part Of The Problem?
dataset-026,10.1016/j.jneb.2019.01.019,Journal of Nutrition Education and Behavior,Hunger or Deportation: Implications of the Trump Administration's Proposed Public Charge Rule
dataset-026,10.1017/s1368980016003153,Public Health Nutrition,Supplemental Nutrition Assistance Progam benefits and emergency room visits for hypoglycaemia
dataset-026,10.3390/ijerph14101197,International Journal of Environmental Research and Public Health,Predicting Child Protective Services (CPS) Involvement among Low-Income U.S. Families with Young Children Receiving Nutritional Assistance
dataset-026,10.1037/cdp0000240,Cultural Diversity & Ethnic Minority Psychology,Mental health treatment and work among African American and Caribbean Black welfare recipients.
dataset-026,10.1016/j.chiabu.2019.02.004,Child Abuse & Neglect,County-level socioeconomic and crime risk factors for substantiated child abuse and neglect
dataset-026,10.1542/peds.2013-2823,Pediatrics,Supplemental Nutrition Assistance Program Participation and Child Food Security
dataset-026,10.1044/2017_lshss-16-0072,Language Speech and Hearing Services in Schools,"Population Estimates, Health Care Characteristics, and Material Hardship Experiences of U.S. Children With Parent-Reported Speech-Language Difficulties: Evidence From Three Nationally Representative Surveys"
dataset-026,10.1016/j.amepre.2016.08.023,American Journal of Preventive Medicine,Rebates to Incentivize Healthy Nutrition Choices in the Supplemental Nutrition Assistance Program
dataset-026,10.1016/j.socscimed.2017.09.020,Social Science & Medicine,Re-evaluating associations between the Supplemental Nutrition Assistance Program participation and body mass index in the context of unmeasured confounders
dataset-026,10.1016/j.socscimed.2018.11.001,Social Science & Medicine,SNAP benefits and childhood asthma
