dataset,doi,journal ,title,url
dataset-026,10.1016/j.jneb.2017.06.002,Journal of Nutrition Education and Behavior,SNAP-Based Incentive Programs at Farmers' Markets: Adaptation Considerations for Temporary Assistance for Needy Families (TANF) Recipients,www.doi.org/10.1016/j.jneb.2017.06.002
dataset-026,10.1016/j.ypmed.2018.03.015,Preventive Medicine,Where do U.S. households purchase healthy foods? An analysis of food-at-home purchases across different types of retailers in a nationally representative dataset,www.doi.org/10.1016/j.ypmed.2018.03.015
dataset-026,10.1016/j.amepre.2017.10.005,American Journal of Preventive Medicine,Doubling Up on Produce at Detroit Farmers Markets: Patterns and Correlates of Use of a Healthy Food Incentive,www.doi.org/10.1016/j.amepre.2017.10.005
dataset-026,10.1377/hlthaff.2018.05265,Health Affairs,Loss Of SNAP Is Associated With Food Insecurity And Poor Health In Working Families With Young Children,www.doi.org/10.1377/hlthaff.2018.05265
dataset-026,10.1016/j.jneb.2014.12.008,Journal of Nutrition Education and Behavior,Farmers' Markets and the Local Food Environment: Identifying Perceived Accessibility Barriers for SNAP Consumers Receiving Temporary Assistance for Needy Families (TANF) in an Urban Oklahoma Community,www.doi.org/10.1016/j.jneb.2014.12.008
dataset-026,10.1016/j.amepre.2018.11.010,American Journal of Preventive Medicine,Facilitators and Barriers to Supplemental Nutrition Assistance Program Incentive Use: Findings From a Clinic Intervention for Low-Income Patients,www.doi.org/10.1016/j.amepre.2018.11.010
dataset-026,10.1017/s1368980018000101,Public Health Nutrition,"Barriers to fruit and vegetable consumption among farmers: market incentive programme users in Illinois, USA",www.doi.org/10.1017/s1368980018000101
dataset-026,10.1377/hlthaff.2009.0731,Health Affairs,Federal Food Policy And Childhood Obesity: A Solution Or Part Of The Problem?,www.doi.org/10.1377/hlthaff.2009.0731
dataset-026,10.1016/j.jneb.2019.01.019,Journal of Nutrition Education and Behavior,Hunger or Deportation: Implications of the Trump Administration's Proposed Public Charge Rule,www.doi.org/10.1016/j.jneb.2019.01.019
dataset-026,10.1017/s1368980016003153,Public Health Nutrition,Supplemental Nutrition Assistance Progam benefits and emergency room visits for hypoglycaemia,www.doi.org/10.1017/s1368980016003153
dataset-026,10.3390/ijerph14101197,International Journal of Environmental Research and Public Health,Predicting Child Protective Services (CPS) Involvement among Low-Income U.S. Families with Young Children Receiving Nutritional Assistance,www.doi.org/10.3390/ijerph14101197
dataset-026,10.1037/cdp0000240,Cultural Diversity & Ethnic Minority Psychology,Mental health treatment and work among African American and Caribbean Black welfare recipients.,www.doi.org/10.1037/cdp0000240
dataset-026,10.1016/j.chiabu.2019.02.004,Child Abuse & Neglect,County-level socioeconomic and crime risk factors for substantiated child abuse and neglect,www.doi.org/10.1016/j.chiabu.2019.02.004
dataset-026,10.1542/peds.2013-2823,Pediatrics,Supplemental Nutrition Assistance Program Participation and Child Food Security,www.doi.org/10.1542/peds.2013-2823
dataset-026,10.1044/2017_lshss-16-0072,Language Speech and Hearing Services in Schools,"Population Estimates, Health Care Characteristics, and Material Hardship Experiences of U.S. Children With Parent-Reported Speech-Language Difficulties: Evidence From Three Nationally Representative Surveys",www.doi.org/10.1044/2017_lshss-16-0072
dataset-026,10.1016/j.amepre.2016.08.023,American Journal of Preventive Medicine,Rebates to Incentivize Healthy Nutrition Choices in the Supplemental Nutrition Assistance Program,www.doi.org/10.1016/j.amepre.2016.08.023
dataset-026,10.1016/j.socscimed.2017.09.020,Social Science & Medicine,Re-evaluating associations between the Supplemental Nutrition Assistance Program participation and body mass index in the context of unmeasured confounders,www.doi.org/10.1016/j.socscimed.2017.09.020
dataset-026,10.1016/j.socscimed.2018.11.001,Social Science & Medicine,SNAP benefits and childhood asthma,www.doi.org/10.1016/j.socscimed.2018.11.001
dataset-026,10.1097/mlr.0000000000001024,Medical Care,Identification of Cross-sector Service Utilization Patterns Among Urban Medicaid Expansion Enrollees,www.doi.org/10.1097/mlr.0000000000001024
dataset-026,10.1016/j.ssmph.2019.100393,SSM - Population Health,Food and financial coping strategies during the monthly Supplemental Nutrition Assistance Program cycle,www.doi.org/10.1016/j.ssmph.2019.100393
dataset-026,10.1016/j.jand.2017.01.008,Journal of the Academy of Nutrition and Dietetics,Low-Income Urban Mothers' Experiences with the Supplemental Nutrition Assistance Program,www.doi.org/10.1016/j.jand.2017.01.008
dataset-026,10.3945/an.112.003244,Advances in Nutrition,Food Insecurity Is an Ongoing National Concern,www.doi.org/10.3945/an.112.003244
dataset-026,10.1080/19320248.2014.962780,Journal of Hunger & Environmental Nutrition,The Relationship Between Obesity and Participation in the Supplemental Nutrition Assistance Program (SNAP): Is Mental Health a Mediator?,www.doi.org/10.1080/19320248.2014.962780
dataset-026,10.1002/nur.21943,Research in Nursing & Health,Predictors of psychological distress in low-income mothers over the first postpartum year,www.doi.org/10.1002/nur.21943
