,bbk_dataset_y,doi,journal,title
0,ZISTA,10.2139/ssrn.2756191 ,BBk Discussion Paper,How does P2P lending fit into the consumer credit market?
2,AUSTA,10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel
3,BISTA,10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel
4,SITS,,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity
5,USTAN,,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity
7,BISTA,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
8,CSDB,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
9,SHS-BASE,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
10,GUV,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
11,ZISTA,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel"
14,TARGET2,,BBk Discussion Paper,Bargaining power and outside options in the interbank lending market
15,BISTA,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data
16,MIMIK,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data
17,SHS-BASE,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data
18,GUV,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data
19,BISTA,,BBk Discussion Paper,The Financial Market Effects of the ECB's Asset Purchase Programs
20,GUV,,BBk Discussion Paper,Will German banks earn their cost of capital?
21,ZISTA,,BBk Discussion Paper,Will German banks earn their cost of capital?
23,PHF,,BBk Discussion Paper,Love and money with inheritance - marital sorting by labor income and inherited wealth in the modern partnership
24,BISTA,,BBk Discussion Paper,Interbank Intermediation
25,MIMIK,,BBk Discussion Paper,Interbank Intermediation
26,BAKIS,,BBk Discussion Paper,Why do banks bear interest rate risk?
27,BISTA,,BBk Discussion Paper,Why do banks bear interest rate risk?
28,ZISTA,,BBk Discussion Paper,Why do banks bear interest rate risk?
29,ZISTA,,BBk Discussion Paper,A new perspective on the interest rate pass-through to non-maturing accounts
30,MIMIK,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds
31,SHS-BASE,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds
32,IFS-BASE,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds
33,AUSTA,,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany
34,BISTA,,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany
36,MIDI,,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home
37,USTAN,,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home
38,BAKIS,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform
39,BISTA,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform
40,MIMIK,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform
41,USTAN,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform
42,BAKIS,,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements
43,MIMIK,,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements
44,BAKIS,,BBk Discussion Paper,Cross-border transmission of emergency liquidity
45,BISTA,,BBk Discussion Paper,Cross-border transmission of emergency liquidity
46,ZISTA,,BBk Discussion Paper,Cross-border transmission of emergency liquidity
48,SHS-BASE,,BBk Discussion Paper,Cyclical investment behavior across financial institutions
49,MIMIK,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations
50,BISTA,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations
51,BAKIS,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations
52,SHS-BASE,,BBk Discussion Paper,Arbitraging the Basel securitization framework: Evidence from German ABS investment
53,BAKIS,,BBk Discussion Paper,The winner's curse: Evidence on the danger of aggressive credit growth in banking
54,MIMIK,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany
55,USTAN,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany
56,BAKIS,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany
57,SHS-BASE,,BBk Discussion Paper,Who trades on momentum?
58,BAKIS,,BBk Discussion Paper,Loan loss provisioning and procyclicality: Evidence from an expected loss model
59,MIMIK,,BBk Discussion Paper,Pro-cyclical capital regulation and lending
60,BAKIS,,BBk Discussion Paper,Pro-cyclical capital regulation and lending
61,MIMIK,,BBk Discussion Paper,A network analysis of the evolution of the German interbank market
62,BISTA,,BBk Discussion Paper,"Interbank lending and distress: Observables, unobservables, and network structure"
63,SHS-BASE,,BBk Discussion Paper,"Wealth shocks, credit-supply shocks, and asset allocation: Evidence from household and firm portfolios"
64,BAKIS,,BBk Discussion Paper,"Market timing, maturity mismatch, and risk management: Evidence from the banking industry"
65,AUSTA,,BBk Discussion Paper,Changing forces of gravity: How the crisis affected international banking
66,IFS-BASE,,BBk Discussion Paper,Cash holdings of German open-end equity funds: Does ownership matter?
67,SHS-BASE,,BBk Discussion Paper,Is proprietary trading detrimental to retail investors?
69,MIDI,,BBk Discussion Paper,Testing the O-ring theory for FDI
70,USTAN,,BBk Discussion Paper,Evaluation of minimum capital requirements for bank loans to SMEs
71,BAKIS,,BBk Discussion Paper,Does non-interest income make banks more risky? Retail- versus investment-oriented banks
72,SITS,,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints
73,MIDI,,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints
74,BISTA,,BBk Discussion Paper,Tax incentives and capital structure choice: Evidence from Germany
75,PHF,,BBk Discussion Paper,The PHF: A comprehensive panel survey on household finances and wealth in Germany
76,BLS,,BBk Discussion Paper,Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey
77,MIDI,,BBk Discussion Paper,The use of tax havens in exemption regimes
78,AUSTA,,BBk Discussion Paper,"Crises, rescues, and policy transmission through international banks"
79,USTAN,,BBk Discussion Paper,Improvements in rating models for the German corporate sector
80,SHS-BASE,,BBk Discussion Paper,"Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors"
81,SHS-BASE,,BBk Discussion Paper,Are there disadvantaged clienteles in mutual funds?
82,VJKRE,,BBk Discussion Paper,Do specialization benefits outweigh concentration risks in credit portfolios of German banks?
83,AUSTA,,BBk Discussion Paper,Do banks benefit from internationalization? Revisiting the market power-risk nexus
84,AUSTA,,BBk Discussion Paper,What drives portfolio investments of German banks in emerging capital markets?
85,MIDI,,BBk Discussion Paper,Exports versus FDI revisited: does finance matter?
86,MIDI,,"CESifo Working Paper Series No. 5500, available at SSRN Electronic Journal: https://ssrn.com/abstract=2669368","Tax vs. Regulation Policy and the Location of ,Financial Sector FDI*"
87,MIDI,,"CESifo DICE Report 4/2015, pp. 41-47",Environmental Regulation and Foreign Direct Investment: The Role of the Mode of Entry
88,MIDI,,available at SSRN Electronic Journal : https://ssrn.com/abstract=2868283,European climate policy and industrial relocation: Evidence from German multinational firms
89,MIDI,,ZEW Discussion Paper (No. 18-004),Tax Influence on Financial Structures of M&As
90,MIDI,,Working Paper,Corporation Taxes and the Debt Policy of Multinational Firms – Evidence from German Multinationals
91,MIDI,,Working Paper,Tax Status and Tax Response Heterogeneity of Multinationals’ Dept Finance
92,MIDI,,Working Paper,"Bilateral Internal Debt Financing, Tax Planning, and the Effectiveness of Anti-Tax Avoidance Rules"
93,MIDI,,CESifo Working Paper No. 2517,How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany
94,MIDI,,Working Paper,Intercompany Loans and Profit Shifting – Evidence from Company-Level Data
95,MIDI,,Working Paper,Why is the Response of Multinationals’ Capital Structure Choice to Tax Incentives That Low? Some Possible Explanations
96,MIDI,,Working Paper,The Taxation of Passive Foreign Investment: Lessons from German Experience
97,MIDI,,Working Paper,Network and Border Effects: Where Do Foreign Multinationals Locate in Germany?
98,MIDI,,Working Paper,How Can Firms choose their Leverage? – Tax Planning for Implementing Tax Induced Debt Finance
99,MIDI,,Working Paper,Thin-capitalization rules and company responses: Experience from German legislation
100,MIDI,,Working Paper,What determines the use of holding companies and ownership chains?
101,MIDI,,Working Paper,"Offshoring and the Onshore Composition of Occupations, Tasks and Skills"
102,MIDI,,Working Paper,Who Goes East? The Impact of Enlargement on the Patterns of German FDI
103,MIDI,,Working Paper,Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data
104,MIDI,,Working Paper, Taxes and the financial structure of German outbound FDI
105,PHF,,DIW Vierteljahreshefte zur Wirtschaftsforschung,Zur Finanziellen Bildung der Privaten Haushalte in Deutschland: Ergebnisse der Studie “Private Haushalte und ihre Finanzen (PHF)“
106,MIMIK,,Journal of Banking and Finance,An analysis of the consistency of banks’ internal ratings
107,MIDI,,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers
108,USTAN,,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers
109,MIDI,,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data
110,USTAN,,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data
111,MIMIK,,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany
112,USTAN,,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany
113,BISTA,,Economic Modelling,Why does bank credit not drive money in Germany (any more)?
114,BISTA,,Credit and Capital Markets,The payout behavior of German savings banks
115,AUSTA,,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?
116,BISTA,,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?
117,AUSTA,,IMF Economic Review,What Determines the Composition of International Bank Flows?
118,BISTA,,IMF Economic Review,What Determines the Composition of International Bank Flows?
119,AUSTA,,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany
120,BISTA,,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany
121,PHF,,Journal of the European Economic Association,Price Level Changes and the Redistribution of Nominal Wealth Across the Euro Area
122,SITS,,Economic Policy (formerly: Economic Policy: A European Forum),You’re banned! The effect of sanctions on German cross-border financial flows
123,BAKIS,,Journal of Banking and Finance,Do all new brooms sweep clean? Evidence for outside bank appointments
124,BISTA,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence
