bbk_dataset_y,doi,journal,title,dataset,,,
BISTA,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,"dataset-013,dataset-005,dataset-431,dataset-385",,,
MIMIK,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,dataset-005,,,
SHS-BASE,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,dataset-431,,,
GUV,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,dataset-385,,,
MIMIK,,BBk Discussion Paper,A network analysis of the evolution of the German interbank market,dataset-005,,,
ZISTA,,BBk Discussion Paper,A new perspective on the interest rate pass-through to non-maturing accounts,dataset-012,,,
USTAN,,BBk Discussion Paper,A Vectorautoregressive Investment Model (VIM) and Monetary Policy Transmission: Panel Evidence from German Firms,dataset-003,,,
BISTA,,BBk Discussion Paper,Accounting for distress in bank mergers,"dataset-013,dataset-385,dataset-386",,,
GUV,,BBk Discussion Paper,Accounting for distress in bank mergers,dataset-385,,,
ZentK,,BBk Discussion Paper,Accounting for distress in bank mergers,dataset-386,,,
MIMIK,,Journal of Banking and Finance,An analysis of the consistency of banks’ internal ratings,dataset-005,,,
BISTA,,BBk Discussion Paper,Analyzing the interest rate risk of banks using time series of accounting-based data: evidence from Germany,dataset-013,,,
SHS-BASE,,BBk Discussion Paper,Arbitraging the Basel securitization framework: Evidence from German ABS investment,dataset-431,,,
BAKIS,,Journal of Banking and Finance,Are banks using hidden reserves to beat earnings benchmarks? Evidence from Germany,dataset-006,,,
SHS-BASE,,BBk Discussion Paper,Are there disadvantaged clienteles in mutual funds?,dataset-431,,,
BISTA,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel","dataset-013,dataset-388,dataset-431,dataset-385,dataset-012",,,
CSDB,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-388,,,
SHS-BASE,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-431,,,
GUV,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-385,,,
ZISTA,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-012,,,
MIDI,,,At Your Service! The Role of Tax Havens in International Trade with Services,dataset-008,,,
BISTA,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,"dataset-013,dataset-006,dataset-385",,,
BAKIS,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,dataset-006,,,
GUV,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,dataset-385,,,
BISTA,,Review of Finance (formerly: European Finance Review),Bank risk taking and competition: Evidence from regional banking markets,dataset-013,,,
BLS,,BBk Discussion Paper,Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey,dataset-387,,,
USTAN,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,"dataset-003,dataset-006,dataset-005",,,
BAKIS,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,dataset-006,,,
MIMIK,,BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,dataset-005,,,
BISTA,,Journal of Financial Stability,Banks and sovereign risk: A granular view,"dataset-013,dataset-006,dataset-431,dataset-385",,,
BAKIS,,Journal of Financial Stability,Banks and sovereign risk: A granular view,dataset-006,,,
SHS-BASE,,Journal of Financial Stability,Banks and sovereign risk: A granular view,dataset-431,,,
GUV,,Journal of Financial Stability,Banks and sovereign risk: A granular view,dataset-385,,,
BISTA,,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure","dataset-013,dataset-006",,,
BAKIS,,Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure",dataset-006,,,
