journal,title,dataset
BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,"dataset-013,dataset-005,dataset-431,dataset-385"
BBk Discussion Paper,A network analysis of the evolution of the German interbank market,dataset-005
BBk Discussion Paper,A new perspective on the interest rate pass-through to non-maturing accounts,dataset-012
BBk Discussion Paper,A Vectorautoregressive Investment Model (VIM) and Monetary Policy Transmission: Panel Evidence from German Firms,dataset-003
BBk Discussion Paper,Accounting for distress in bank mergers,"dataset-013,dataset-385,dataset-386"
Journal of Banking and Finance,An analysis of the consistency of banks' internal ratings,dataset-005
BBk Discussion Paper,Analyzing the interest rate risk of banks using time series of accounting-based data: evidence from Germany,dataset-013
BBk Discussion Paper,Arbitraging the Basel securitization framework: Evidence from German ABS investment,dataset-431
Journal of Banking and Finance,Are banks using hidden reserves to beat earnings benchmarks? Evidence from Germany,dataset-006
BBk Discussion Paper,Are there disadvantaged clienteles in mutual funds?,dataset-431
BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel","dataset-013,dataset-388,dataset-431,dataset-385,dataset-012"
,At Your Service! The Role of Tax Havens in International Trade with Services,dataset-008
Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,"dataset-013,dataset-006,dataset-385"
Review of Finance (formerly: European Finance Review),Bank risk taking and competition: Evidence from regional banking markets,dataset-013
BBk Discussion Paper,Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey,dataset-387
BBk Discussion Paper,Banking consolidation and small businessfinance: empirical evidence for Germany,"dataset-003,dataset-006,dataset-005"
Journal of Financial Stability,Banks and sovereign risk: A granular view,"dataset-013,dataset-006,dataset-431,dataset-385"
Journal of Banking and Finance,"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure","dataset-013,dataset-006"
GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,"dataset-013,dataset-006,dataset-385"
BBk Discussion Paper,"Banks' regulatory buffers, liquidity networks and monetary policy transmission",dataset-006
BBk Discussion Paper,Banks' Equity Stakes and Lending: Evidence from a Tax Reform,"dataset-006,dataset-013,dataset-005,dataset-003"
BBk Discussion Paper,Bargaining power and outside options in the interbank lending market,dataset-389
Review of Quantitative Finance and Accounting,Bilateral Internal Debt Financing and Tax Planning of Muiltinational Firms,dataset-008
Working Paper,"Bilateral Internal Debt Financing, Tax Planning, and the Effectiveness of Anti-Tax Avoidance Rules",dataset-008
Journal of Income Distribution,Bracket creep revisited - with and without r>g: Evidence from Germany,dataset-382
BBk Discussion Paper,Business cycles and FDI: evidence from German sectoral data,dataset-008
BBk Discussion Paper,Cash holdings of German open-end equity funds: Does ownership matter?,dataset-383
International Journal of Central Banking,Centrality-based capital allocations,"dataset-006,dataset-013,dataset-381,dataset-005"
BBk Discussion Paper,Changing forces of gravity: How the crisis affected international banking,dataset-380
BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity,"dataset-015,dataset-003"
Empirical Economics,Choosing and using payment instruments: evidence from German microdata,dataset-004
BBk Discussion Paper,Clustering or competition? The foreign investment behaviour of German banks,"dataset-008,dataset-013,dataset-385"
Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,"dataset-008,dataset-003"
International Journal of Central Banking,Consumer cash usage: A cross-country comparison with payment diary survey data,dataset-004
Journal of Financial Stability,Contagion in the interbank market and its determinants,dataset-006
BBk Discussion Paper,"Corporate marginal tax rate, tax loss carryforwards and investment functions: empirical analysis using a large German panel data set",dataset-003
Applied Economics,Corporate Tax Planning and Thin-Capitalization Rules: Evidence from a Quasi Experiment,dataset-008
Applied Economics,Corporate Tax Planning and Thin-Capitalzation Rules: Evidence from a Quasi-Experiment,dataset-008
 Zeitschrift für Betriebswirtschaft,Corporation Taxes and the Debt Policy of Multinational Firms - Evidence for German Multinationals,dataset-008
Working Paper,Corporation Taxes and the Debt Policy of Multinational Firms – Evidence from German Multinationals,dataset-008
BBk Discussion Paper,Creditor concentration: an empirical investigation,"dataset-003,dataset-006,dataset-005"
BBk Discussion Paper,"Crises, rescues, and policy transmission through international banks",dataset-380
BBk Discussion Paper,Cross-border transmission of emergency liquidity,"dataset-006,dataset-013,dataset-012"
BBk Discussion Paper,Cutting the credit line: Evidence from Germany,"dataset-005,dataset-003,dataset-006"
BBk Discussion Paper,Cyclical investment behavior across financial institutions,dataset-431
Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks,"dataset-013,dataset-385"
Review of World Economics,Debt financing and sharp currency depreciations: wholly versus partially-owned multinational affiliates,dataset-008
BBk Discussion Paper,Determinants for using visible reserves in German banks: an empirical study,dataset-006
Journal of Banking and Finance,Determinants of bank interest margins: Impact of maturity transformation,dataset-013
available at SSRN Electronic Journal: https://www.ssrn.com/abstract=2862034,Determinants of bank-level deposit volatility: Evidence from the German banking system,dataset-013
Economic Policy 20 ,Determinants of German FDI: New Evidence from Micro-Data,dataset-008
BBk Discussion Paper,Determinants of German Foreign Direct Investment in Latin American and Asian Emerging Markets in the 1990s,dataset-008
International Review of Economics and Finance,Diversification and determinants of international credit portfolios: Evidence from German banks,dataset-380
BBk Discussion Paper,Diversification and the banks' risk-return-characteristics: evidence from loan portfolios of German banks,dataset-006
Journal of Banking and Finance,Do all new brooms sweep clean? Evidence for outside bank appointments,dataset-006
BBk Discussion Paper,Do banks benefit from internationalization? Revisiting the market power-risk nexus,dataset-380
BBk Discussion Paper,Do banks diversify loan portfolios? A tentative answer based on individual bank loan portfolios,dataset-381
Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?","dataset-006,dataset-013,dataset-005"
BBk Discussion Paper,Do specialization benefits outweigh concentration risks in credit portfolios of German banks?,dataset-381
BBk Discussion Paper,Does capital regulation matter for bank behaviour? Evidence for German savings banks,dataset-013
BBk Discussion Paper,"Does co-financing by multilateral development banks increase ""risky"" direct investment in emerging markets'",dataset-008
BBk Discussion Paper,Does diversification improve the performance of German banks? Evidence from individual bank loan portfolios,"dataset-006,dataset-005"
BBk Discussion Paper,Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,"dataset-008,dataset-015"
BBk Discussion Paper,Does non-interest income make banks more risky? Retail- versus investment-oriented banks,dataset-006
BBk Discussion Paper,Does trade openness increase firm-level volatility?,dataset-003
BBk Discussion Paper,Dynamic Q-investment functions for Germany using panel balance sheet data and a new algorithm for the capital stock at replacement values,dataset-003
Journal of Banking and Finance,Earnings baths by bank CEOs during turnovers,dataset-006
BBk Discussion Paper,"Efficient, profitable and safe banking: an oxymoron? Evidence from a panel VAR approach","dataset-013,dataset-385"
BBk Discussion Paper,Enterprises' financing structure and their response to monetary policy stimuli: An analysis based on the Deutsche Bundesbank's corporate balance sheet statistics,dataset-003
,Environmental Regulation and Foreign Direct Investment: The Role of Mode of Entry,dataset-008
"CESifo DICE Report 4/2015, pp. 41-47",Environmental Regulation and Foreign Direct Investment: The Role of the Mode of Entry,dataset-008
BBk Discussion Paper,Estimating Bilateral Exposures in the German Interbank Market: Is there a Danger of Contagion?,dataset-013
available at SSRN Electronic Journal : https://ssrn.com/abstract=2868283,European climate policy and industrial relocation: Evidence from German multinational firms,dataset-008
"Journal of Public Economics, volume 156, pp. 131-149",Evaluating the effects of ACE systems on multinational debt financing and investment,dataset-008
BBk Discussion Paper,Evaluating the German bank merger wave,"dataset-013,dataset-385,dataset-386"
BBk Discussion Paper,Evaluation of minimum capital requirements for bank loans to SMEs,dataset-003
BBk Discussion Paper,Exploring the role of uncertainty for corporate investment decisions in Germany,dataset-003
BBk Discussion Paper,Export-Supporting FDI,dataset-008
BBk Discussion Paper,Exports versus FDI in German manufacturing: firm performance and participation in international markets,dataset-008
BBk Discussion Paper,Exports versus FDI revisited: does finance matter?,dataset-008
World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany,"dataset-005,dataset-003"
The B.E. Journals of Economic Analysis and Policy,FDI and Domestic Investment: An Industry-Level View,dataset-008
BBk Discussion Paper,FDI versus cross-border financial services: The globalisation of German banks,"dataset-008,dataset-013,dataset-385"
BBk Discussion Paper,Finance and growth in a bank-based economy: is it quantity or quality that matters?,dataset-005
BBk Discussion Paper,Financial constraints and the margins of FDI,dataset-008
BBk Discussion Paper,Firm Investment and Monetary Policy Transmission in the Euro Area,dataset-003
BBk Discussion Paper,Firm-specific productivity risk over the business cycle: facts and aggregate implications,dataset-003
BBk Discussion Paper,Forecasting Credit Portfolio Risk,dataset-003
BBk Discussion Paper,Foreign (in)direct investment and corporate taxation,dataset-008
BBk Discussion Paper,Foreign Bank Entry into Emerging Economies: An Empirical Assessment of the Determinants and Risks Predicated on German FDI Data,dataset-008
"Financial Stability Report 2006, Czech National Bank",Foreign direct investment and the Czech corporate sector: potential risks to financial stability,dataset-008
BBk Discussion Paper,Foreign direct investment in the enlarged EU: do taxes matter and to what extent?,dataset-008
Czech Journal of Economics and Finance,"Foreign direct investment, corporate finance, and the life cycle of investment",dataset-008
BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,"dataset-005,dataset-013,dataset-006"
BBk Discussion Paper,German bank lending during emerging market crises: A bank level analysis,dataset-005
BBk Discussion Paper,German bank lending to industrial and non-industrial countries: driven by fundamentals or different treatment?,dataset-005
The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?,"dataset-380,dataset-013"
Applied Economics Quarterly,German Firms in Service Trade,"dataset-008,dataset-015"
Quarterly Journal of Economics,Global Production with Export Platforms,dataset-008
BBk Discussion Paper,Going multinational: What are the effects on home market performance?,"dataset-003,dataset-008"
BBk Discussion Paper,Granularity adjustment for Basel II,dataset-005
BBk Discussion Paper,Great moderation at the firm level? Unconditional versus conditional output volatility,dataset-003
BBk Discussion Paper,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,"dataset-006,dataset-005,dataset-013"
The review of Economic Studies,"Historical Antisemitism, Ethnic Specialization, and Financial Development",dataset-382
Zeitschrift für betriebswirtschaftliche Forschung,Holding als Mittel der Steuerplanung zur Implementierung von steuerlich motiviertem Fremdkapital,dataset-008
European Journal of Finance,Home-field advantage or a matter of ambiguity aversion? Local bias among German individual investors,dataset-431
available at SSRN Electronic Journal: https://ssrn.com/abstract=3175881,Household Financial Risk Tolerance in Europe,dataset-382
Working Paper,How Can Firms choose their Leverage? – Tax Planning for Implementing Tax Induced Debt Finance,dataset-008
Journal of Financial Intermediation,How do banks adjust their capital ratios? Evidence from Germany,dataset-006
BBk Discussion Paper,How does P2P lending fit into the consumer credit market?,dataset-012
CESifo Working Paper No. 2517,How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany,dataset-008
BBk Discussion Paper,How will Basel II affect bank lending to emerging markets? An analysis based on German bank level data,dataset-005
BBk Discussion Paper,How would formula apportionment in the EU affect the distribution and the size of the corporate tax base? An analysis based on German multinationals,dataset-008
BBk Discussion Paper,Improvements in rating models for the German corporate sector,dataset-003
Schmalenbach Business Review,Income Structure and Bank Business Models: Evidence on Performance and Stability from the German Banking Industry,dataset-006
BBk Discussion Paper,Industries and the bank lending effects of bank credit demand and monetary policy in Germany,"dataset-013,dataset-005"
BBk Discussion Paper,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,"dataset-013,dataset-385"
Global Strategy Journal,Information Costs and Internationalization Performance,dataset-008
BBk Discussion Paper,Interbank Intermediation,"dataset-013,dataset-005"
BBk Discussion Paper,"Interbank lending and distress: Observables, unobservables, and network structure",dataset-013
BBk Discussion Paper,Interbank lending and monetary policy transmission: evidence for Germany,dataset-013
Working Paper,Intercompany Loans and Profit Shifting – Evidence from Company-Level Data,dataset-008
 National Tax Journal,Internal Debt and Multinational Profit Shifting: Empirical Evidence from Firm-Level Panel Data,dataset-008
BBk Discussion Paper,Internalization and internationalization under copeting real options,dataset-008
BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,"dataset-380,dataset-013"
IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany,"dataset-380,dataset-013"
BBk Discussion Paper,International monetary policy spillovers through the bank funding channel,"dataset-380,dataset-013"
"Taxation in Developing Economics, MIT Press",International Profit Shifting and Multinational Firms in Developing Economies,dataset-008
"The Journal of the Economics of Ageing, Vol. 12.",Intra-household allocation of non-mandatory retirement savings,dataset-382
American Economic Review,Investment dispersion and the business cycle,dataset-003
Canadian Journal of Economics,Investment Impact of Tax Loss Treatment - Empirical Insights from a Panel of Multinationals,dataset-008
