title,pub_url,dataset,sheet_name,dataset_id
Adult Eating and Health Patterns: Evidence From the 2014-16 Eating & Health Module of the American Time Use Survey,https://www.ers.usda.gov/publications/pub-details/?pubid=90465,▪EHM (2006-08 and 2014-16),ATUS,dataset-051
America’s Eating Habits: Food Away From Home,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf?v=8116.5,▪U.S. Census Bureau (Monthly Retail Trade and Foodservices series),Census Surveys,dataset-017
America’s Eating Habits: Food Away From Home,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf?v=8116.5,▪CES,CES,dataset-017
America’s Eating Habits: Food Away From Home,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf?v=8116.5,FoodAPS,FoodAPS,dataset-017
America’s Eating Habits: Food Away From Home,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf?v=8116.5,IRI,IRI,dataset-017
America’s Eating Habits: Food Away From Home,https://www.ers.usda.gov/webdocs/publications/90228/eib-196.pdf?v=8116.5,▪NHANES,NHANES,dataset-017
Americans’ Eating Patterns and Time Spent on Food: The 2014 Eating & Health Module Data,http://www.ers.usda.gov/publications/pub-details/?pubid=80503,"▪Eating & Health Module (EHM), a supplement to the American Time Use Survey (ATUS)",ATUS,dataset-051
An Assessment of Product Turnover in the U.S. Food Industry and Effects on Nutrient Content,https://www.ers.usda.gov/publications/pub-details/?pubid=85760,IRI,IRI,dataset-001
Annual and Monthly SNAP Participation Rates,http://www.ers.usda.gov/publications/pub-details/?pubid=45414,▪SIPP and ACS,Census Surveys,dataset-026
Annual and Monthly SNAP Participation Rates,http://www.ers.usda.gov/publications/pub-details/?pubid=45414,SNAP,SNAP Admin,dataset-026
"Capturing the Complete Food Environment With Commercial Data: A Comparison of TDLinx, ReCount, and NETS Databases",https://www.ers.usda.gov/publications/pub-details/?pubid=92628,TDLinx,TD Linx,dataset-028
"Changes in Eating Patterns and Diet Quality Among Working-Age Adults, 2005-2010",http://www.ers.usda.gov/publications/pub-details/?pubid=45175,▪National Health and Nutrition Examination Survey (NHANES) ,NHANES,dataset-017
Changes in Retail Organic Price Premiums from 2004 to 2010,http://www.ers.usda.gov/publications/pub-details/?pubid=45550,▪Nielsen Homescan data ,Nielsen,dataset-031
Characteristics of School Districts Offering Free School Meals to All Students Through the Community Eligibility Provision of the National School Lunch Program,https://www.ers.usda.gov/publications/pub-details/?pubid=89947,▪Food and Nutrition Service (participation decision),FNS,dataset-032
Children’s Food Security and USDA Child Nutrition Programs,https://www.ers.usda.gov/publications/pub-details/?pubid=84002,▪CPS-FSS,CPS-FSS,dataset-033
Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,http://www.ers.usda.gov/publications/pub-details/?pubid=79892,▪Survey of Income and Program Participation (SIPP),Census Surveys,dataset-033
Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,http://www.ers.usda.gov/publications/pub-details/?pubid=79892,▪Current Population Survey Annual Social and Economic Supplement (CPS-ASEC),CPS-FSS,dataset-033
Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,http://www.ers.usda.gov/publications/pub-details/?pubid=79892,FoodAPS,FoodAPS,dataset-033
Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,http://www.ers.usda.gov/publications/pub-details/?pubid=79892,IRI,IRI,dataset-033
Consumer Food Safety Practices: Raw Milk Consumption and Food Thermometer Use,https://www.ers.usda.gov/publications/pub-details/?pubid=91109,▪ATUS-EHM (2014-16),ATUS,dataset-051
Consumers Balance Time and Money in Purchasing Convenience Foods,https://www.ers.usda.gov/publications/pub-details/?pubid=89343,FoodAPS,FoodAPS,dataset-025
Consumers' Use of Nutrition Information When Eating Out,http://www.ers.usda.gov/publications/pub-details/?pubid=43879,▪2007-08 and 2009-10 waves of the National Health and Nutrition Examination Survey (NHANES) ▪Flexible Consumer Behavior Survey module (FCBS),NHANES,dataset-017
Daily Access to Local Foods for School Meals: Key Drivers,https://www.ers.usda.gov/publications/pub-details/?pubid=82944,▪2013 Farm to School Census (collected jointly by ERS and FNS under an interagency agreement),FNS,dataset-032
Design Issues in USDA's Supplemental Nutrition Assistance Program: Looking Ahead by Looking Back,https://www.ers.usda.gov/webdocs/publications/86924/err-243.pdf?v=43124,SNAP,SNAP Admin,dataset-026
Economic Burden of Major Foodborne Illnesses Acquired in the United States,http://www.ers.usda.gov/publications/pub-details/?pubid=43987,Cost-of-Illness Estimates for Major Foodborne Illnesses,Cost Est. Foodborne Illnesses,dataset-034
Economic Incentives to Supply Safe Chicken to the National School Lunch Program,http://www.ers.usda.gov/publications/pub-details/?pubid=45503,"▪FSIS over 2006-12 ▪USDA, AMS (2014) website ",FDA-FSIS-AMS,"dataset-040, dataset-041"
"Economies of Scale, the Lunch-Breakfast Ratio, and the Cost of USDA School Breakfasts and Lunches",http://www.ers.usda.gov/publications/pub-details/?pubid=45441,▪U.S. Census Bureau (School Food Authority Characteristics Study (SFACS)),Census Surveys,dataset-032
"Economies of Scale, the Lunch-Breakfast Ratio, and the Cost of USDA School Breakfasts and Lunches",http://www.ers.usda.gov/publications/pub-details/?pubid=45441,▪USDA’s Food and Nutrition Service (FNS),FNS,dataset-032
"Economies of Scale, the Lunch-Breakfast Ratio, and the Cost of USDA School Breakfasts and Lunches",http://www.ers.usda.gov/publications/pub-details/?pubid=45441,,Qtrly FAFH,dataset-032
"Economies of Scale, the Lunch-Breakfast Ratio, and the Cost of USDA School Breakfasts and Lunches",http://www.ers.usda.gov/publications/pub-details/?pubid=45441,▪School Food Authority Characteristics Study (SFACS) ▪National Center for Education Statistics ▪School Nutrition and Dietary Assessment Study (SNDA) III,SCH MEALS DATA,dataset-032
"Examining an ""Experimental"" Food Security Status Classification Method for Households with Children",https://www.ers.usda.gov/publications/pub-details/?pubid=85213,▪CPS-FSS,CPS-FSS,dataset-033
"Examining an ""Experimental"" Food Security Status Classification Method for Households with Children",https://www.ers.usda.gov/publications/pub-details/?pubid=85213,▪NHANES,NHANES,dataset-033
"Examining Food Store Scanner Data: A Comparison of the IRI InfoScan Data with Other Data Sets, 2008–2012",https://www.ers.usda.gov/publications/pub-details/?pubid=90354,▪IRI InfoScan,IRI,dataset-001
"Examining Food Store Scanner Data: A Comparison of the IRI InfoScan Data with Other Data Sets, 2008–2012",https://www.ers.usda.gov/publications/pub-details/?pubid=90354,TDLinx,TD Linx,dataset-001
"FDA Refusals of Imported Food Products by Country and Category, 2005-2013",http://www.ers.usda.gov/publications/pub-details/?pubid=44069,▪FDA data on import shipments ,FDA-FSIS-AMS,dataset-039
Food Choices and Store Proximity,http://www.ers.usda.gov/publications/pub-details/?pubid=45435,▪U.S. Census Bureau (2010 Census Tract),Census Surveys,dataset-035
Food Choices and Store Proximity,http://www.ers.usda.gov/publications/pub-details/?pubid=45435,FARA,FARA,dataset-035
Food Choices and Store Proximity,http://www.ers.usda.gov/publications/pub-details/?pubid=45435,▪2010 Nielsen Homescan Panel Survey ,Nielsen,dataset-035
Food Choices and Store Proximity,http://www.ers.usda.gov/publications/pub-details/?pubid=45435,TDLinx,TD Linx,dataset-035
Food Purchase Decisions of Millennial Households Compared to Other Generations,https://www.ers.usda.gov/webdocs/publications/86401/eib-186.pdf?v=43097,▪American Time Use Survey (ATUS)/Healthy Eating Module (2014),ATUS,"dataset-002, dataset-051, dataset-052"
Food Purchase Decisions of Millennial Households Compared to Other Generations,https://www.ers.usda.gov/webdocs/publications/86401/eib-186.pdf?v=43097,IRI,IRI,"dataset-002, dataset-051"
"Food Security Among Hispanic Adults in the United States, 2011-2014",http://www.ers.usda.gov/publications/pub-details/?pubid=44083,▪Current Population Survey’s Food Security Supplement (CPS-FSS) ,CPS-FSS,dataset-033
Food Security and Food Purchase Quality Among Low-Income Households: Findings From the National Household Food Acquisition and Purchase Survey (FoodAPS),https://www.ers.usda.gov/publications/pub-details/?pubid=93737,FoodAPS,FoodAPS,dataset-025
Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,▪Consumer Expenditure Survey,CES,dataset-024
Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,FoodAPS,FoodAPS,dataset-024
Food-at-Home Expenditures: Comparing Commercial Household Scanner Data From IRI and Government Survey Data,https://www.ers.usda.gov/publications/pub-details/?pubid=85251,IRI,IRI,dataset-024
Frequency and Time of Day That Americans Eat: A Comparison of Data From the American Time Use Survey and the National Health and Nutrition Examination Survey,https://www.ers.usda.gov/publications/pub-details/?pubid=93513,▪ATUS (2014-16) ▪EHM (2014-16),ATUS,dataset-017
Frequency and Time of Day That Americans Eat: A Comparison of Data From the American Time Use Survey and the National Health and Nutrition Examination Survey,https://www.ers.usda.gov/publications/pub-details/?pubid=93513,▪NHANES (2013-16),NHANES,dataset-017
Household Food Security in the United States in 2013,https://www.ers.usda.gov/publications/pub-details/?pubid=45268,▪supplement to the Current Population Survey (CPS) ▪U.S. Census Bureau,CPS-FSS,dataset-033
Household Food Security in the United States in 2014,http://www.ers.usda.gov/publications/pub-details/?pubid=45428,▪U.S. Census Bureau ▪Current Population Survey,CPS-FSS,dataset-033
Household Food Security in the United States in 2016,https://www.ers.usda.gov/publications/pub-details/?pubid=84972,▪CPS-FSS,CPS-FSS,dataset-033
Household Food Security in the United States in 2017,https://www.ers.usda.gov/publications/pub-details/?pubid=90022,▪U.S. Census Bureau,Census Surveys,dataset-033
How Much Does It Matter How Sick You Get? Consumers’ Responses to Foodborne Disease Outbreaks of Different Severities,http://www.ers.usda.gov/publications/pub-details/?pubid=45421,IRI,IRI,dataset-001
How Transportation Costs Affect Fresh Fruit and Vegetable Prices,https://www.ers.usda.gov/publications/pub-details/?pubid=45168,▪USDA Agricultural Marketing Service (AMS) ,FDA-FSIS-AMS,dataset-040
Improving the Assessment of SNAP Targeting Using Administrative Records,http://www.ers.usda.gov/publications/pub-details/?pubid=45371,▪American Community Survey (ACS),Census Surveys,dataset-046
Improving the Assessment of SNAP Targeting Using Administrative Records,http://www.ers.usda.gov/publications/pub-details/?pubid=45371,SNAP,SNAP Admin,dataset-046
Independent Grocery Stores in the Changing Landscape of the U.S. Food Retail Industry,https://www.ers.usda.gov/publications/pub-details/?pubid=85782,TDLinx,TD Linx,dataset-028
Linking USDA Nutrition Databases to IRI Household-Based and Store-Based Scanner Data,https://www.ers.usda.gov/publications/pub-details/?pubid=92570,▪IRI scanner data (2013),IRI,"dataset-001, dataset-002, dataset-053"
"Low-Income and Low-Supermarket-Access Census Tracts, 2010-2015",https://www.ers.usda.gov/publications/pub-details/?pubid=82100,▪2010 Decennial Census ▪2010-14 American Community Survey (ACS),Census Surveys,dataset-046
"Low-Income and Low-Supermarket-Access Census Tracts, 2010-2015",https://www.ers.usda.gov/publications/pub-details/?pubid=82100,TDLinx,TD Linx,dataset-046
"Manufacturers’ Bids for WIC Infant Formula Rebate Contracts, 2003-2013",http://www.ers.usda.gov/publications/pub-details/?pubid=43997,▪USDA’s Food and Nutrition Service (FNS),FNS,dataset-032
"Measuring Access to Healthful, Affordable Food in American Indian and Alaska Native Tribal Areas",https://www.ers.usda.gov/publications/pub-details/?pubid=43908,"▪2010 Census TIGER/Line® Shapefiles ▪2010 Census of Population ▪American Community Survey, 2006-2010 Summary ",Census Surveys,dataset-032
"Measuring Access to Healthful, Affordable Food in American Indian and Alaska Native Tribal Areas",https://www.ers.usda.gov/publications/pub-details/?pubid=43908,FARA,FARA,dataset-032
"Measuring Access to Healthful, Affordable Food in American Indian and Alaska Native Tribal Areas",https://www.ers.usda.gov/publications/pub-details/?pubid=43908,"▪special tabulation was performed by USDA, Food and Nutrition Service to identify all SNAP-authorized stores ▪USDA, Food and Nutrition Service FDPIR Policy Branch  ",FNS,dataset-032
Measuring the Value of the U.S. Food System: Revisions to the Food Expenditure Series,https://www.ers.usda.gov/webdocs/publications/90155/tb-1948.pdf?v=5086.2,"▪U.S. Census Bureau (sales data—annual, quarterly, monthly, and quinquennial)",Census Surveys,"dataset-044, dataset-055, dataset-054"
Nutritional Quality of Foods Acquired by Americans: Findings From USDA’s National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/publications/pub-details/?pubid=87530,FoodAPS,FoodAPS,dataset-025
Participation in SNAP and Unemployment Insurance: How Tight Are the Strands of the Recessionary Safety Net?,https://www.ers.usda.gov/publications/pub-details/?pubid=45145,▪CPS ▪ASEC,Census Surveys,dataset-033
Participation in SNAP and Unemployment Insurance: How Tight Are the Strands of the Recessionary Safety Net?,https://www.ers.usda.gov/publications/pub-details/?pubid=45145,▪Current Population Survey Annual Social and Economic Supplement (CPS-ASEC),CPS-FSS,dataset-033
Participation in USDA’s Supplemental Nutrition Assistance Program (SNAP): Effect of Local Labor Market Conditions in Oregon,https://www.ers.usda.gov/publications/pub-details/?pubid=90037,▪Multiple administrative sources from Oregon (January 2005—December 2014),SNAP Admin,dataset-026
