doi,journal,keywords,title,url,dataset
,,FoodAPS,Estimation of Underreporting in Diary Surveys: An Application using the National Household Food Acquisition and Purchase Survey,https://academic.oup.com/jssam/article/doi/10.1093/jssam/smz024/5566331/,"dataset-025,,,,,,,"
10.1016/j.foodpol.2017.08.013,,"FoodAPS,Econ Tier 1",Lessons learned from the national household food acquisition and purchase survey in the United States,https://www.doi.org/10.1016/j.foodpol.2017.08.013,"dataset-025,,,,,,,"
10.1016/j.jand.2018.08.165,Journal of the Academy of Nutrition and Dietetics,"Healthy Eating Index,FoodAPS,NonE Tier 1",The Grocery Purchase Quality Index-2016 Performs Similarly to the Healthy Eating Index-2015 in a National Survey of Household Food Purchases,http://www.ncbi.nlm.nih.gov/pubmed/30413342,"dataset-025,,,,dataset-057,,,"
10.1016/j.jand.2018.08.166,Journal of the Academy of Nutrition and Dietetics,"FoodAPS,Healthy Eating Index,NonE Tier 1",Examining the Quality of Foods and Beverages Across the Food Stream,http://www.ncbi.nlm.nih.gov/pubmed/30413341,"dataset-025,,,,dataset-057,,,"
10.1016/j.jand.2018.11.011,Journal of the Academy of Nutrition and Dietetics,"FoodAPS,NonE Tier 1",Foods and Beverages Obtained at Worksites in the United States,http://www.ncbi.nlm.nih.gov/pubmed/30683617,"dataset-025,,,,,,,"
10.22004/ag.econ.164595,,"Linkages - analyzed,IRI,Nutrtion Facts Panel,Nutrition Facts Label,Added Sugar,Breakfast Cereal",Simulating the Effect of the Nutritionh Fact Label Revision: Added Sugar and the Demand for Ready-to_Eat Breakfast Cereals,https://www.ifama.org/resources/Documents/v17ia/Lin-Guthrie-Rahlovsky-Lin-Lee.pdf,",,dataset-001,dataset-002,dataset-017,,,"
10.22004/ag.econ.164595,,"Linkages - analyzed,IRI,Nutrtion Facts Panel,Nutrition Facts Label,Added Sugar,Breakfast Cereal",Simulating the Effect of the Nutritionh Fact Label Revision: Added Sugar and the Demand for Ready-to_Eat Breakfast Cereals,https://www.ifama.org/resources/Documents/v17ia/Lin-Guthrie-Rahlovsky-Lin-Lee.pdf,",,dataset-001,dataset-002,dataset-017,,,"
10.22004/ag.econ.164595,,"Linkages - analyzed,IRI,Nutrtion Facts Panel,Nutrition Facts Label,Added Sugar,Breakfast Cereal",Simulating the Effect of the Nutritionh Fact Label Revision: Added Sugar and the Demand for Ready-to_Eat Breakfast Cereals,https://www.ifama.org/resources/Documents/v17ia/Lin-Guthrie-Rahlovsky-Lin-Lee.pdf,",,dataset-001,dataset-002,dataset-017,,,"
,,"Linkages - analyzed,IRI",FOOD DESERTS AND THE CAUSES OF NUTRITIONAL INEQUALITY,,",,dataset-001,dataset-002,,,,"
,,"Linkages - analyzed,IRI,Nutrtion Facts Panel,Nutrition Facts Label,Added Sugar,Breakfast Cereal",Simulating the Effect of the Nutritionh Fact Label Revision: Added Sugar and the Demand for Ready-to_Eat Breakfast Cereals,https://www.ifama.org/resources/Documents/v17ia/Lin-Guthrie-Rahlovsky-Lin-Lee.pdf,",,dataset-001,dataset-002,dataset-017,,,"
