title,url,dataset_id
Life After Welfare: Report of the Georgia Welfare Leavers Study,https://aspe.hhs.gov/system/files/pdf/176546/statereport_law.pdf,"dataset-071, dataset-264"
Child Support Receipt among Children in Former TANF Families,https://www.familywelfare.umaryland.edu/reports/researchbrief01-04.pdf,dataset-127
Examining Circumstances of Individuals and Families Who Leave TANF: Assessing the Validity of Administrative Data,https://aspe.hhs.gov/system/files/pdf/177081/ASPE3CountyFinal.pdf,"dataset-235, dataset-265, dataset-266, dataset-235, dataset-097"
Life On Welfare: Have the Hard-to-Serve Been Left Behind? Changes in the TANF Caseload Over the Course of Welfare Reform,https://www.familywelfare.umaryland.edu/reports/statewide.pdf,"dataset-126, dataset-132, dataset-267"
"Welfare Recipients, Leavers, and Diverters in North Carolina: Final Report of Administrative Records Data",https://aspe.hhs.gov/system/files/pdf/180646/TANF_Recipients-Leavers-Diverters-Final_Report_Admin_Data.pdf,"dataset-268, dataset-269, dataset-270, dataset-271"
Montana FAIM Evaluation: Assessment of Welfare Reform in a Rural Setting,https://aspe.hhs.gov/system/files/pdf/33691/pi_2004.pdf,dataset-285
"Welfare Reform and the Wage Prospects for Work First participants: Industries, occupations, and wage rates for jobs obtained by TANF recipients in North Carolina, 1995-1998","https://books.google.com/books?id=zq99xxLNAsoC&pg=PA65&lpg=PA65&dq=Welfare+Reform+and+the+Wage+Prospects+for+Work+First+participants:+Industries,+occupations,+and+wage+rates+for+jobs+obtained+by+TANF+recipients+in+North+Carolina,+1995-1998&source=bl&ots=OLD6DR0Id3&sig=Qg9Yxg_M8qIDI7eniq9IgnVpDck&hl=en&sa=X&ved=2ahUKEwiRj8i-3rbeAhXqxYMKHQm-A-IQ6AEwCnoECAMQAQ#v=onepage&q=Welfare%20Reform%20and%20the%20Wage%20Prospects%20for%20Work%20First%20participants%3A%20Industries%2C%20occupations%2C%20and%20wage%20rates%20for%20jobs%20obtained%20by%20TANF%20recipients%20in%20North%20Carolina%2C%201995-1998&f=false","dataset-268, dataset-286, dataset-287"
Life After Welfare: Regional Patterns,,dataset-166
"From Welfare Poor to Working Poor: Post AFDC/TANF Income in Salt Lake County, Utah",https://gardner.utah.edu/_documents/publications/welfare/tracking-slc-ounty.pdf,dataset-288
"Employment and Return to Public Assistance Among Single, Female-Headed Families Leaving AFDC in Third Quarter 1996, Cuyahoga County, Ohio",https://aspe.hhs.gov/system/files/pdf/176981/1996exit.pdf,"dataset-289, dataset-088"
"How Are They Managing? A Six-Month Retrospective of Cuyahoga County Families Leaving Welfare: Fourth Quarter of 1998 and First, Second, and Third Quarters of 1999",https://aspe.hhs.gov/tanf-leavers-applicants-and-caseload-studies-data-files-cuyahoga-public-use-data-files,dataset-087
Multiple Impacts of Welfare Reform in Utah: Experiences of Former Long-term Welfare Recipients,https://socialwork.utah.edu/research/reports/posts/multiple-impacts-of-welfare-reform.pdf,"dataset-288, dataset-294, dataset-295"
The Los Angeles Jobs-First GAIN Evaluation: Final Report on a Work First Program in a Major Urban Center,https://www.mdrc.org/sites/default/files/full_568.pdf,"dataset-296, dataset-265, dataset-097, dataset-235, dataset-297"
The 'illegitimacy bonus' and state efforts to reduce out-of-wedlock births,https://www.guttmacher.org/journals/psrh/1999/03/illegitimacy-bonus-and-state-efforts-reduce-out-wedlock-births,dataset-298
Life After Welfare: A Look At Sanctioned Families,https://www.opressrc.org/content/life-after-welfare-look-sanctioned-families,dataset-299
,,
