title,url,dataset_id
Permanency and the Educational and Economic Attainment of Former Foster Children in Early Adulthood,https://journals.sagepub.com/doi/10.1177/0003122418781791,"dataset-061, dataset-062, dataset-026, dataset-063, dataset-064, dataset-065, dataset-066, dataset-067, dataset-068"
The Decline of Cash Assistance and the Well-Being of Households with Children,https://poverty.umich.edu/files/2018/08/Shaefer-TANF-caseloads.4.25.18.pdf,"dataset-033, dataset-069"
The Poverty Reduction of Social Security and Means-Tested Transfers,https://www.nber.org/papers/w24567.pdf,"dataset-027, dataset-064, dataset-070, dataset-071, dataset-026, dataset-072, dataset-073, dataset-074"
TANF 12th Annual Report to Congress,https://www.acf.hhs.gov/sites/default/files/ofa/12th_annual_tanf_report_to_congress_final.pdf,dataset-071
The Effect of Work First Job Placements on the Distribution of Earnings: An Instrumental Variable Quantile Regression Approach,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/687522,"dataset-075, dataset-076"
The Temporary Assistance for Needy Families (TANF) Block Grant: Responses to Frequently Asked Questions,https://fas.org/sgp/crs/misc/RL32760.pdf,dataset-071
Dual-System Families: Cash Assistance Sequences of Households Involved With Child Welfare,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5336326/,"dataset-077, dataset-078"
"Using linked survey and administrative data to better measure income: implications for poverty, program effectiveness and holes in the safety net",https://www.econstor.eu/bitstream/10419/140639/1/843539461.pdf,"dataset-047, dataset-079, dataset-072, dataset-073, dataset-080"
The effect of child support on the labor supply of custodial mothers participating in TANF,https://www.sciencedirect.com/science/article/pii/S0190740915001553,dataset-081
The Relationship between State Welfare Rules and Economic Disconnection among Low-Income Single Mothers,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/684530,"dataset-027, dataset-082"
Becoming Adults: One-Year Impact Findings from the Youth Villages Transitional Living Evaluation,https://www.mdrc.org/sites/default/files/Becoming_Adults_FR.pdf,dataset-083
Use of Unemployment Insurance and Public Employment Services after Leaving Welfare,https://research.upjohn.org/cgi/viewcontent.cgi?referer=https://scholar.google.com/&httpsredir=1&article=1253&context=up_workingpapers,"dataset-075, dataset-084, dataset-085, dataset-086, dataset-087, dataset-088, dataset-089, dataset-090"
Childhood adversity and behavioral health outcomes for youth: An investigation using state administrative data,https://www.sciencedirect.com/science/article/pii/S0145213415002355?via%3Dihub,dataset-091
The Impact of Medicaid on Labor Market Activity and Program Participation: Evidence from the Oregon Health Insurance Experiment,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.104.5.322,"dataset-064, dataset-092, dataset-093, dataset-094"
How States Use Federal and State Funds Under the TANF Block Grant,https://www.cbpp.org/research/family-income-support/how-states-use-federal-and-state-funds-under-the-tanf-block-grant,"dataset-071, dataset-100"
The effect of welfare sanctions on TANF exits and employment,https://www.sciencedirect.com/science/article/pii/S0190740913003356,dataset-101
TANF recipients with barriers to employment,https://www.mdrc.org/sites/default/files/TANF%20Recipients%20with%20Barriers%20to%20Employment.pdf,"dataset-102, dataset-086, dataset-103, dataset-107, dataset-104, dataset-108, dataset-109, dataset-110"
Alternative employment strategies for hard-to-employ TANF recipients: final results from a test of transitional jobs and preemployment services in Philadelphia,https://www.mdrc.org/sites/default/files/full_18.pdf,"dataset-103, dataset-111, dataset-112"
The Effect of Work First Job Placements on the Distribution of Earnings: An Instrumental Variable Quantile Regression,https://docplayer.net/62374992-The-effect-of-work-first-job-placements-on-the-distribution-of-earnings-an-instrumental-variable-quantile-regression-approach.html,"dataset-076, dataset-113"
Welfare-to-work transition in the TANF era: Evidence from Mississippi,https://pqdtopen.proquest.com/pubnum/3450368.html?FMT=AI,"dataset-114, dataset-115, dataset-116, dataset-117, dataset-118, dataset-119"
How do economic downturns affect welfare leavers? A comparison of two cohorts,https://www.sciencedirect.com/science/article/pii/S0190740910003439,"dataset-063, dataset-120"
Full-Family Sanctions & Economic Recession,https://www.familywelfare.umaryland.edu/reports1/sanctionsbrief.pdf,"dataset-126, dataset-127"
Sanctions and Education Outcomes for Children in TANF Families,https://www.tandfonline.com/doi/full/10.1080/0145935X.2011.605305,"dataset-128, dataset-129"
"A Fresh Look at an Old Debate: Assigned Work Activities, Employment, and Post-program Earnings in TANF Work Programs",https://www.tandfonline.com/doi/abs/10.1080/15588742.2011.555324,dataset-130
Life After Welfare Annual Update,http://dlslibrary.state.md.us/publications/exec/dhr/fia/SG2-10A-04(g)(3)_2011.pdf,"dataset-126, dataset-131, dataset-132, dataset-127"
Male Caseheads Receiving TCA: Who Are They and What Are Their Circumstances?,https://www.familywelfare.umaryland.edu/reports/malecaseheadsbrief.pdf,"dataset-132, dataset-126"
Do Temporary-Help Jobs Improve Labor Market Outcomes for Low-Skilled Workers? Evidence from ‘Work First‘,https://economics.mit.edu/files/596,"dataset-076, dataset-075"
Life on Welfare: Characteristics of Maryland’s TCA Caseload Since DRA,https://www.mdrc.org/sites/default/files/full_448.pdf,"dataset-087, dataset-088"
Full Family Sanctions: Long-term Outcomes of Sanctioned Welfare Leavers,https://www.familywelfare.umaryland.edu/reports/sanctions2010.pdf,"dataset-126, dataset-127, dataset-132"
