title,url,related_datasets
"Incarceration Length, Employment, and Earnings",https://www.nber.org/papers/w12003.pdf,"dataset-95 , dataset-89, datset-97"
Crime and Poverty: Some Experimental Evidence From Ex-Offenders,https://www.jstor.org/stable/pdf/2094894.pdf,dataset-99
Prison-based Education and Re-entry into the Mainstream Labor Market,https://www.nber.org/papers/w12114.pdf,"dataset-95, dataset-121, dataset-122, dataset-089"
Moving to Opportunity in Boston: Early Results of a Randomized Mobility Experiment,https://www.nber.org/papers/w7973.pdf," dataset-123, dataset-124, dataset-125, dataset-118, dataset-142, dataset-143, dataset-144, dataset-153"
"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2028179,"dataset-118, dataset-145, dataset-151, dataset-152, dataset- 154"
"The Effect of Education on Crime: Evidence from Prison Inmates, Arrests, and Self-Reports",https://eml.berkeley.edu/~moretti/lm46.pdf,"dataset-118, dataset-161, dataset-143"
Neighborhood Effects On Crime For Female And Male Youth: Evidence From A Randomized Housing Voucher Experiment,https://www.nber.org/papers/w10777.pdf,"dataset-153, datasets-118, dataset-162"
Controlling Violent Offenders Released to the Community: An Evaluation of the Boston Reentry Initiative,https://www.hks.harvard.edu/sites/default/files/centers/rappaport/files/braga_BRI_final.pdf,dataset-163
"Ex-offenders, Criminal Background Checks and Racial Consequences in the Labor Market",https://chicagounbound.uchicago.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=1447&context=uclf,
"Race, Education, Employment, and Recidivism among Offenders in the United States: An Exploration of Complex Issues in the Indianapolis Metropolitan Area",http://www.ijcjs.com/pdfs/lockwoodetalijcjs2016vol11issue1.pdf,"dataset-165, dataset-183, dataset- 226"
Post-Release Recidivism and Employment among Different Types of Released Offenders: A 5-Year follow-up Study in the United States,https://www.sascv.org/ijcjs/pdfs/nallyetalijcjs2014vol9issue1.pdf,"dataset-165, dataset-183, dataset-226"
"Mass Reentry, Neighborhood Context and Recidivism: Examining How the Distribution of Parolees Within and Across Neighborhoods Impacts Recidivism",https://www.researchgate.net/publication/276365992_Mass_Reentry_Neighborhood_Context_and_Recidivism_Examining_How_the_Distribution_of_Parolees_Within_and_Across_Neighborhoods_Impacts_Recidivism,"dataset-118, dataset-184"
Incarceration and the Community: The Problem of Removing and Returning Offenders,https://www.researchgate.net/publication/249718576_Incarceration_and_the_Community_The_Problem_of_Removing_and_Returning_Offenders/link/56b1fad608aed7ba3fedaabc/download,
