doi,journal,search_term,title,url,dataset
,,Higher Education Research and Development Survey,The Domino Effects of Federal Research Funding,https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::4b2a502badc3dc239bd420959a688035,
10.1002/9781119336129.app1,,Federal RePORTER,"Appendix A: Selected University Studies, State, and Federal Reports",https://www.researchgate.net/publication/332400911_Appendix_A_Selected_University_Studies_State_and_Federal_Reports?_sg=OkDXwGIoZKsAYi-_k7_Ee2BHRhbQ8v-vNvOYju_AYXokqXcSTYUK44HZeoFatkgE_88sXzmdKpAsO08,
10.1080/00690805.1988.10438406,,Federal RePORTER,Federal report,https://www.researchgate.net/publication/254250891_Federal_report?_sg=V3zLYgjvpoz5AzfLqxkaevjOHdz53KHlw4d-uoZryKDRvIhG7dtbOcwd2e87yQPxpq5jgRwgao-bddA,
,,Federal RePORTER,THE FEDERALISM REPORT,https://www.researchgate.net/publication/242285525_THE_FEDERALISM_REPORT?_sg=M-u3_Bk_CQzhLlh8ufjr_QcznTLuKe6IGGug4aytzkTaeoWnprfSA0-jyF1Y307L9fyI5icKd5qoKBI,
10.17116/patol201880266-68,,Federal RePORTER,External quality control of immunohistochemical studies in the Russian Federation. Report on pilot rounds,https://www.researchgate.net/publication/324790604_External_quality_control_of_immunohistochemical_studies_in_the_Russian_Federation_Report_on_pilot_rounds?_sg=UkX--klQQheUkJbMXxc_i77ATJtF5jiWPxf9tSueGKyV7QY97iXAt4ppt2QZM6FmL1f2ndq-hgh3hIg,
10.13140/RG.2.2.10768.71682,,Federal RePORTER,Source,https://www.researchgate.net/publication/323639833_An_automated_approach_to_state_and_federal_report_preparation_using_sequel?_sg=xcesW1IkqcMhmg-_yS8luuYrlM4eA08QCKAJ70kLrlvB83PBL1uFWm4LCAOItu-VfaMmiagOLxcbtI0,
10.1503/cmaj.109-5020,,Federal RePORTER,Federal report calls for regulation of e-cigarettes,https://www.researchgate.net/publication/273700872_Federal_report_calls_for_regulation_of_e-cigarettes?_sg=cC1xOboV0bkPmq7cc_nGBolYrrA3qDaAaPKvb95dQph-uOC3rbTdi7a518gM_AxCXtObelLCMbjr-yQ,
10.1111/j.1747-4477.1988.tb00648.x,,Federal RePORTER,FEDERAL REPORT JUNE 1986MAY 1988,https://www.researchgate.net/publication/249368719_FEDERAL_REPORT_JUNE_1986MAY_1988?_sg=de7U0kIuW70qUBbNV4mszNMcwCxLjwNlmKbNwIa517lReBnkFtwlJ-vfgP_61LelELyGDvWJ0QLYDss,
,,Federal RePORTER,Federation report: President's report,https://www.researchgate.net/publication/22442471_Federation_report_President%27s_report?_sg=mwIDQTKX6XsbgaEdW2U973Phiol8rRK-6vOgrOKweBIKJFuMJR32dPgVX_ezxQdO5pK7M2dhFLVpnSg,
10.1080/1066568870230405,,Federal RePORTER,Beyond the Rhetoric of Federal Reports,https://www.researchgate.net/publication/232927867_Beyond_the_Rhetoric_of_Federal_Reports?_sg=ezB6pAqmZ5kWUPRTb7OhkoSRXPBKIeSA6JIWwyhiN2Vr3r1Me9Fy3y2HcT7UxfBIZ7ampfSyZl56__I,
