dataset,dataset_string,dataset_title,doi,journal,title,url
dataset-427,Grants data,FedREPORTER,10.1016/j.evalprogplan.2019.101710,Evaluation and Program Planning,"Using Database Linkages to Measure Innovation, Commercialization, and Survival of Small Businesses",www.doi.org/10.1016/j.evalprogplan.2019.101710
dataset-427,Grants data,FedREPORTER,10.1007/s10488-019-00977-4,Administration and Policy in Mental Health and Mental Health Services Research,Evaluation of the Implementation Research Institute: Traineesâ€™ Publications and Grant Productivity,www.doi.org/10.1007/s10488-019-00977-4
dataset-427,Federal RePORTER,FedREPORTER,10.1186/s13756-019-0550-2,Antimicrobial Resistance & Infection Control,"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",www.doi.org/10.1186/s13756-019-0550-2
dataset-427,Federal RePORTER,FedREPORTER,10.1377/hlthaff.2019.00476,Health Affairs,Federal Funding For Research On The Leading Causes Of Death Among Children And Adolescents,www.doi.org/10.1377/hlthaff.2019.00476
dataset-427,Federal RePORTER,FedREPORTER,10.26633/rpsp.2019.68,BULL PAN AM HEALTH ORGAN,Training opportunities for noncommunicable diseases research in Latin America: A scoping review,www.doi.org/10.26633/rpsp.2019.68
dataset-427,Federal RePORTER,FedREPORTER,10.1515/jetl-2019-0108,Journal of European Tort Law,The Law and Economics of Tort Liability for Human Rights Violations in Global Supply Chains,www.doi.org/10.1515/jetl-2019-0108
dataset-427,Federal RePORTER,FedREPORTER,10.3390/su11154120,Sustainability,National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,www.doi.org/10.3390/su11154120
dataset-427,Federal RePORTER,FedREPORTER,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data,www.doi.org/10.1016/j.respol.2019.03.001
dataset-427,Federal RePORTER,FedREPORTER,10.1007/s10461-018-2305-0,AIDS and Behavior,A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,www.doi.org/10.1007/s10461-018-2305-0
dataset-427,Federal RePORTER,FedREPORTER,10.1053/j.gastro.2018.12.045,Gastroenterology,The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,www.doi.org/10.1053/j.gastro.2018.12.045
dataset-427,Federal RePORTER,FedREPORTER,10.1016/j.respol.2018.10.027,Research Policy,The relation between research priorities and societal demands: The case of rice,www.doi.org/10.1016/j.respol.2018.10.027
dataset-427,N/A,FedREPORTER,1721.1/117893,DSpace@MIT,Trends in and influence of regional federally funded research and development in the US,https://dspace.mit.edu/handle/1721.1/117893
dataset-427,N/A,FedREPORTER,10.1016/j.respol.2014.12.013,Research Policy,"New linked data on research investments: Scientific workforce, productivity, and public value",https://www.sciencedirect.com/science/article/pii/S0048733315000025
dataset-427,N/A,FedREPORTER,10.1007/978-3-319-95336-6_8,Sustainability and the Humanities,"Religious Organizations Bringing Sustainability Closer to Reality: Academic Contributions to Environmental Sustainability and Climate Resilience that Can Help Faith Leaders Build Communities that Are Environmentally, Socially and Economically Sustainable: Part 1—A Literature Review",https://link.springer.com/chapter/10.1007/978-3-319-95336-6_8
dataset-427,N/A,FedREPORTER,10.3163/1536-5050.101.4.011,Journal of the Medical Library Association,The librarian as research informationist: a case study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794685/
dataset-427,N/A,FedREPORTER,10.1126/science.1196783,Science Magazine,"Race, Ethinicity, and NIH Research Awards",https://science.sciencemag.org/content/333/6045/1015
dataset-427,N/A,FedREPORTER,10.1111/ssqu.12467,Social Science Quarterly,Waypoints for Evaluating Big Science,https://onlinelibrary.wiley.com/doi/full/10.1111/ssqu.12467
dataset-427,N/A,FedREPORTER,10.1001/jama.2016.16215,Research Letter,Funding and Publication of Research on Gun Violence and Other Leading Causes of Death,https://jamanetwork.com/journals/jama/article-abstract/2595514
dataset-427,N/A,FedREPORTER,10.1089/lgbt.2016.0211,LGBT Health,"Sustaining Progress Toward LGBT Health Equity: A Time for Vigilance, Advocacy, and Scientific Inquiry",https://www.liebertpub.com/doi/full/10.1089/lgbt.2016.0211
dataset-427,N/A,FedREPORTER,10.1371/journal.pone.0189742,PLOS One,Dynamics of co-authorship and productivity across different fields of scientific research,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189742
dataset-427,N/A,FedREPORTER,10.1371/journal.pntd.0007453,PLOS One,Hepatitis E should be considered a neglected tropical disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657817/
dataset-427,N/A,FedREPORTER,10.1093/milmed/usx114,Military Medicine,Government Cloud Computing Policies: Potential Opportunities for Advancing Military Biomedical Research,https://academic.oup.com/milmed/article/183/11-12/e438/4841666
