dataset_id,dataset_string,dataset_title,doi,journal,title,Used dataset?,
dataset-428,HERD,Higher Education Research and Development Survey,10.21608/ejvs.2019.13869.1087,Egyptian Journal of Veterinary Sciences,Some Udder Problems associated with productivity in Goats,No,Confused by sheep herds
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.copsyc.2019.07.015,Current Opinion in Psychology,Ease and Control: The Cognitive Benefits of Hierarchy,No,Herd invisibility
dataset-428,HERD,Higher Education Research and Development Survey,10.1007/s11432-018-9618-2,Science China Information Sciences,Hybrid quantum particle swarm optimization algorithm and its application,No,Confused by krill herds
dataset-428,HERD,Higher Education Research and Development Survey,10.1146/annurev-publhealth-040119-094423,Annual Review of Public Health,Sick Individuals and Sick (Microbial) Populations: Challenges in Epidemiology and the Microbiome,No,Pamela Herd
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.foodchem.2019.125532,Food Chemistry,Application of ultra-high performance liquid chromatography coupled to high-resolution mass spectrometry (Orbitrap™) for the determination of beta-casein phenotypes in cow milk,No,herds
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.foodqual.2019.103799,Food Quality and Preference,"Our Daily Meat: Justification, Moral Evaluation and Willingness to Substitute",No,herd
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.physa.2019.122907,Physica A Statistical Mechanics and its Applications,Effects of social network structures and behavioral responses on the spread of infectious diseases,No,herd immunity
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.mechmachtheory.2019.103671,Mechanism and Machine Theory,A novel analytical method for four-bar path generation synthesis based on Fourier series,No,Krill herd algorithm
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.foodchem.2019.125480,Food Chemistry,"Chemometric authentication of farming systems of origin of food (milk and ripened cheese) using infrared spectra, fatty acid profiles, flavor fingerprints, and sensory descriptions",No,herd management
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.evalprogplan.2019.101722,Evaluation and Program Planning,Qualitative Benefits of Livestock Development Programmes. Evidence from the Kaonafatso ya Dikgomo (KyD) Scheme in South Africa,No,cattle herd
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.physa.2019.123022,Physica A Statistical Mechanics and its Applications,Likelihood category game model for knowledge consensus,No,herd behavior
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.cam.2019.112395,Journal of Computational and Applied Mathematics,Bitcoin price prediction using machine learning: An approach to sample dimension engineering,No,Krill herd algorithm
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.ijepes.2019.105442,International Journal of Electrical Power & Energy Systems,Relaxed convex model for optimal location and sizing of DGs in DC grids using sequential quadratic programming and random hyperplane approaches,No,Krill herd algorithm
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.physa.2019.123098,Physica A Statistical Mechanics and its Applications,Stochastic resonance of drawdown risk in energy market prices,No,herd behavior
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.fm.2019.103283,Food Microbiology,Use of indicator bacteria for monitoring sanitary quality of raw milk cheeses – a literature review,No,"dairy herds, herd sizes, smaller herds"
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.jcorpfin.2019.101503,Journal of Corporate Finance,Herd behaviour in buyout investments,No,herd behaviour
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.adhoc.2019.102025,Ad Hoc Networks,"Influence of Node Mobility, Recharge, and Path Loss on the Optimized Lifetime of Wireless Rechargeable Sensor Networks",No,Herd Movement
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.meatsci.2019.107955,Meat Science,Comparison of different methods for determining the extent of myofibrillar fragmentation of chilled and frozen/thawed beef across postmortem aging periods,No,R.M.�Herd
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.copsyc.2019.07.041,Current Opinion in Psychology,"Keeping Secrets from Parents: On Galloping Horses, Prancing Ponies and Pink Unicorns",No,herd of horses
dataset-428,HERD,Higher Education Research and Development Survey,10.1016/j.physa.2019.122900,Physica A Statistical Mechanics and its Applications,Blindfolded monkeys or financial analysts: Who is worth your money? New evidence on informational inefficiencies in the U.S. stock market,No,herd behaviour
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1186/s13756-019-0550-2,Antimicrobial Resistance & Infection Control,"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1377/hlthaff.2019.00476,Health Affairs,Federal Funding For Research On The Leading Causes Of Death Among Children And Adolescents,Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.5860/crln.31.5.162,College & Research Libraries News,News from the Sections,No,Federal Reporters
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.26633/rpsp.2019.68,BULL PAN AM HEALTH ORGAN,Training opportunities for noncommunicable diseases research in Latin America: A scoping review,Yes,NIH
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1515/jetl-2019-0108,Journal of European Tort Law,The Law and Economics of Tort Liability for Human Rights Violations in Global Supply Chains,No,Federal Reporter
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.3390/su11154120,Sustainability,National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,Yes,Star Metrics
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data,Yes,Star Metrics
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1089/glr2.2019.2362,Gaming Law Review,"KONAMI GAMING INC. v. HIGH 5 GAMES, LLC Case No. 2018-1723; 756 Fed. Appx. 994 (Mem) (Fed. Cir. Mar. 11, 2019)",No,Federal Reporter
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1111/maps.13300,Meteoritics and Planetary Science,"Geophysical characterization of the Daskop granophyre dyke and surrounding host rocks, Vredefort impact structure, South Africa",No,Federal Reporter
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1007/s10461-018-2305-0,AIDS and Behavior,A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,Yes,NIH
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1080/00908320.2019.1617927,Ocean Development & International Law,The Doctrine of Constructive Presence and the Arctic Sunrise Award (2015): The Emergence of the “Scheme Theory”,No,Federal Reporter
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1515/jetl-2019-0101,Journal of European Tort Law,Post-Mortal Protection of the Right to Reputation – A Comparative View,No,
