dataset,dataset_string,dataset_title,doi,journal,title,url
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1186/s13756-019-0550-2,Antimicrobial Resistance & Infection Control,"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",www.doi.org/10.1186/s13756-019-0550-2
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1377/hlthaff.2019.00476,Health Affairs,Federal Funding For Research On The Leading Causes Of Death Among Children And Adolescents,www.doi.org/10.1377/hlthaff.2019.00476
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.26633/rpsp.2019.68,BULL PAN AM HEALTH ORGAN,Training opportunities for noncommunicable diseases research in Latin America: A scoping review,www.doi.org/10.26633/rpsp.2019.68
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.3390/su11154120,Sustainability,National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,www.doi.org/10.3390/su11154120
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data,www.doi.org/10.1016/j.respol.2019.03.001
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1007/s10461-018-2305-0,AIDS and Behavior,A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,www.doi.org/10.1007/s10461-018-2305-0
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1053/j.gastro.2018.12.045,Gastroenterology,The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,www.doi.org/10.1053/j.gastro.2018.12.045
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1016/j.respol.2018.10.027,Research Policy,The relation between research priorities and societal demands: The case of rice,www.doi.org/10.1016/j.respol.2018.10.027
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.jpubeco.2019.104066,Journal of Public Economics,The impact of money on science: Evidence from unexpected NCAA footballÂ outcomes,www.doi.org/10.1016/j.jpubeco.2019.104066
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1038/d41586-019-01734-1,Nature,The hunt for the lesser-known funding source,www.doi.org/10.1038/d41586-019-01734-1
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1007/s11192-018-2992-3,Scientometrics,Universitiesâ€™ structural commitment to interdisciplinary research,www.doi.org/10.1007/s11192-018-2992-3
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1163/25891715-00201002,Public Anthropologist,Public Anthropology in Changing Times,www.doi.org/10.1163/25891715-00201002
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1073/pnas.1807174115,Proceedings of the National Academy of Sciences,Modeling research universities: Predicting probable futures of public vs. private and large vs. small research universities,www.doi.org/10.1073/pnas.1807174115
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.joi.2018.09.001,Journal of Informetrics,A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list,www.doi.org/10.1016/j.joi.2018.09.001
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1080/00221546.2018.1435134,The Journal of Higher Education,First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers,www.doi.org/10.1080/00221546.2018.1435134
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1108/sgpe-d-17-00044,Studies in Graduate and Postdoctoral Education,"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences",www.doi.org/10.1108/sgpe-d-17-00044
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.7554/elife.32822,eLife,Research: Sci-Hub provides access to nearly all scholarly literature,www.doi.org/10.7554/elife.32822
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1163/22125868-12340100,International Journal of Chinese Education,Classifying Institutions to Guide Mission-Relevant Performance Assessment,www.doi.org/10.1163/22125868-12340100
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1080/2330443x.2018.1442271,Statistics and Public Policy,Examining the Carnegie Classification Methodology for Research Universities,www.doi.org/10.1080/2330443x.2018.1442271
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.acra.2017.07.013,Academic Radiology,Radiology Research Funding Current State and Future Opportunities,www.doi.org/10.1016/j.acra.2017.07.013
