dataset,doi,journal,search_term,title,url
dataset-151,10.2139/ssrn.3382056,SSRN Electronic Journal,Community Supervision Data,Reflections from the ‘Double Figures’ Milestone: A Decade of Therapeutic Jurisprudence in Tasmania.,https://.doi.org/10.2139/ssrn.3382056
dataset-151,10.1177/0264550516677770,Probation Journal,Community Supervision Data,Suicide and supervision,https://.doi.org/10.1177/0264550516677770
dataset-151,10.1037/law0000104,Psychology Public Policy and Law,Community Supervision Data,Temporary absences from prison in Canada reduce unemployment and reoffending: Evidence for dosage effects from an exploratory study.,https://.doi.org/10.1037/law0000104
dataset-151,10.2991/isbcd-17.2017.63,"Advances in Economics, Business and Management Research",Community Supervision Data,Research on Personal Credit Evaluation,https://.doi.org/10.2991/isbcd-17.2017.63
dataset-151,10.1177/0306624x16668179,International Journal of Offender Therapy and Comparative Criminology,Community Supervision Data,Desistance From Crime Without Reintegration,https://.doi.org/10.1177/0306624x16668179
dataset-151,10.1111/1745-9133.12108,Criminology & Public Policy,Community Supervision Data,Assessing the Implications of a Structured Decision‐Making Tool for Recidivism in a Statewide Analysis,https://.doi.org/10.1111/1745-9133.12108
dataset-151,10.1016/j.jiph.2014.07.018,Journal of Infection and Public Health,Community Supervision Data,Prevalence and correlates of hepatitis C virus infection among inmates at two New York State correctional facilities,https://.doi.org/10.1016/j.jiph.2014.07.018
dataset-151,10.1111/lapo.12022,Law & Policy,Community Supervision Data,The Old Jim Crow: Racial Residential Segregation and Neighborhood Imprisonment,https://.doi.org/10.1111/lapo.12022
dataset-151,10.1016/j.jcrimjus.2013.09.006,Journal of Criminal Justice,Community Supervision Data,Community re-entry and the path toward desistance: A quasi-experimental longitudinal study of dynamic factors and community risk management of adult sex offenders,https://.doi.org/10.1016/j.jcrimjus.2013.09.006
dataset-151,10.1016/j.jcrimjus.2011.01.006,Journal of Criminal Justice,Community Supervision Data,Examining GPS monitoring alerts triggered by sex offenders: The divergence of legislative goals and practical application in community corrections,https://.doi.org/10.1016/j.jcrimjus.2011.01.006
dataset-151,10.1007/s11292-010-9112-6,Journal of Experimental Criminology,Community Supervision Data,Predicting criminal recidivism: A research note,https://.doi.org/10.1007/s11292-010-9112-6
dataset-151,10.1080/07418825.2010.506880,Justice Quarterly,Community Supervision Data,Considering the Effectiveness of Drug Treatment behind Bars: Findings from the South Carolina RSAT Evaluation,https://.doi.org/10.1080/07418825.2010.506880
dataset-151,10.1007/978-1-4419-9470-7,,Community Supervision Data,Handbook of Evidence-Based Substance Abuse Treatment in Criminal Justice Settings,https://.doi.org/10.1007/978-1-4419-9470-7
dataset-151,10.4135/9781452230474,,Community Supervision Data,"Rethinking Corrections: Rehabilitation, Reentry, and Reintegration",https://.doi.org/10.4135/9781452230474
dataset-151,10.1177/0011128707307174,"{'id': 'jour.1018852', 'title': 'Crime & Delinquency'}",Community Supervision Data,The Impact of Residential and Nonresidential Drug Treatment on Recidivism Among Drug-Involved Probationers,https://.doi.org/10.1177/0011128707307174
dataset-151,10.1080/15564880701864135,"{'id': 'jour.1043916', 'title': 'Victims & Offenders'}",Community Supervision Data,Treatment Fidelity in Sex Offender Programming: Assessing Delivery across Community Providers∗,https://.doi.org/10.1080/15564880701864135
dataset-151,10.4324/9780203943175,,Community Supervision Data,Encyclopedia of Police Science,https://.doi.org/10.4324/9780203943175
dataset-151,10.1111/j.1745-9125.2006.00046.x,"{'id': 'jour.1014338', 'title': 'Criminology'}",Community Supervision Data,PREDICTING WHO REOFFENDS: THE NEGLECTED ROLE OF NEIGHBORHOOD CONTEXT IN RECIDIVISM STUDIES,https://.doi.org/10.1111/j.1745-9125.2006.00046.x
dataset-151,10.1300/j076v17n03_05,"{'id': 'jour.1102053', 'title': 'Journal of Offender Rehabilitation'}",Community Supervision Data,Electronic Monitoring and Family Control in Probation and Parole,https://.doi.org/10.1300/j076v17n03_05
dataset-151,10.1177/001112878302900302,"{'id': 'jour.1018852', 'title': 'Crime & Delinquency'}",Community Supervision Data,Rethinking Juvenile Justice,https://.doi.org/10.1177/001112878302900302
