dataset,doi,journal,search_term,title,url
dataset-160,10.1177/0891242419859097,Economic Development Quarterly,ES-202 Files,Does Tax Increment Financing Pass the “But-for” Test in Missouri?,https://doi.org/10.1177/0891242419859097
dataset-160,10.1080/00036846.2017.1279273,Applied Economics,ES-202 Files,Do volatile firms pay volatile earnings? Evidence from linked worker-firm data,https://doi.org/10.1080/00036846.2017.1279273
dataset-160,10.1111/rurd.12057,Review of Urban and Regional Development Studies,ES-202 Files,INTERSTATE RELOCATION OF MANUFACTURERS AND BUSINESS CLIMATE,https://doi.org/10.1111/rurd.12057
dataset-160,10.2139/ssrn.2448301,SSRN Electronic Journal,ES-202 Files,LEHD Data Documentation Lehd-Overview-S2011: LEHD Infrastructure Files in the Census RDC – Overview,https://doi.org/10.2139/ssrn.2448301
dataset-160,10.4324/9780203775431,,ES-202 Files,Beyond Edge Cities,https://doi.org/10.4324/9780203775431
dataset-160,10.1080/00036840903427232,"{'id': 'jour.1027307', 'title': 'Applied Economics'}",ES-202 Files,Lost jobs and health insurance: an analysis of the impact of employment volatility on firm-provided health insurance,https://doi.org/10.1080/00036840903427232
dataset-160,10.1177/1091142110386210,"{'id': 'jour.1284246', 'title': 'Public Finance Review'}",ES-202 Files,Incidence and Substitution in Enterprise Zone Programs: The Case of Colorado,https://doi.org/10.1177/1091142110386210
dataset-160,10.2139/ssrn.1809948,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",ES-202 Files,LEHD Infrastructure Files in the Census RDC: Overview of S2004 Snapshot,https://doi.org/10.2139/ssrn.1809948
dataset-160,10.4324/9780203883495,,ES-202 Files,Targeting Regional Economic Development,https://doi.org/10.4324/9780203883495
dataset-160,10.1111/j.1468-232x.2008.00545.x,"{'id': 'jour.1320080', 'title': 'Industrial Relations A Journal of Economy and Society'}",ES-202 Files,Temporary Employment and Strategic Staffing in the Manufacturing Sector,https://doi.org/10.1111/j.1468-232x.2008.00545.x
dataset-160,10.1080/01944360802558424,"{'id': 'jour.1122147', 'title': 'Journal of the American Planning Association'}",ES-202 Files,"New Firm Entry, Survival, and Growth in the United States: A Comparison of Urban, Suburban, and Rural Areas",https://doi.org/10.1080/01944360802558424
dataset-160,10.1111/j.1467-9787.2008.00577.x,"{'id': 'jour.1027300', 'title': 'Journal of Regional Science'}",ES-202 Files,CHANGES IN THE LOCATION OF EMPLOYMENT AND OWNERSHIP: EVIDENCE FROM CALIFORNIA*,https://doi.org/10.1111/j.1467-9787.2008.00577.x
dataset-160,10.1080/00036840500461865,"{'id': 'jour.1027307', 'title': 'Applied Economics'}",ES-202 Files,Welfare recipient work choice and in-kind benefits in Washington state,https://doi.org/10.1080/00036840500461865
dataset-160,10.1007/978-0-387-45671-3,,ES-202 Files,"Entrepreneurship in The United States, The Future is Now",https://doi.org/10.1007/978-0-387-45671-3
dataset-160,10.1177/0160017606289896,"{'id': 'jour.1027371', 'title': 'International Regional Science Review'}",ES-202 Files,On the State of the Geography in the U.S. Bureau of Labor Statistics Covered Wages and Employment (ES-202) Series,https://doi.org/10.1177/0160017606289896
dataset-160,10.1111/j.0022-4146.2005.00376.x,"{'id': 'jour.1027300', 'title': 'Journal of Regional Science'}",ES-202 Files,A Descriptive Analysis of Discrete U.S. Industrial Complexes*,https://doi.org/10.1111/j.0022-4146.2005.00376.x
dataset-160,10.1068/a35318,"{'id': 'jour.1027266', 'title': 'Environment and Planning A Economy and Space'}",ES-202 Files,Robust Point-Pattern Inference from Spatially Censored Data,https://doi.org/10.1068/a35318
dataset-160,10.1177/0160017603262403,"{'id': 'jour.1027371', 'title': 'International Regional Science Review'}",ES-202 Files,Establishment Growth in Small Cities and Towns,https://doi.org/10.1177/0160017603262403
dataset-160,10.1177/0891242403255422,"{'id': 'jour.1138922', 'title': 'Economic Development Quarterly'}",ES-202 Files,Beyond the Unemployment Rate: Workforce Profiles for Economic Development,https://doi.org/10.1177/0891242403255422
dataset-160,10.1111/1468-2257.00197,"{'id': 'jour.1027319', 'title': 'Growth and Change'}",ES-202 Files,Local Industry Agglomeration and New Business Activity,https://doi.org/10.1111/1468-2257.00197
