dataset,doi,journal,search_term,title,url
dataset-051,,,Eating and Health Module,Nonresponse Bias Analysis of Body Mass Index in the Eating and Health Module,https://explore.openaire.eu/search/publication?articleId=od_______645::1376de6422685b4fa4ab7b04826b68d5
dataset-051,,,Eating and Health Module,Nonresponse Bias Analysis of Body Mass Index Data in the Eating and Health Module,https://explore.openaire.eu/search/publication?articleId=od_______645::df6e807e38486c92e95a4eb55ffdd5c2
dataset-051,,,Eating and Health Module,Federal nutrition programs and childhood obesity: Inside the black box,https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::a5e5b53a81a92ba352d8995c75ec2e3f
dataset-051,,,Eating and Health Module,"Grazing, Goods and Girth: Determinants and Effects",https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::6ee3dd0600b8e3070415ec9896c5b3f1
dataset-051,,,Eating and Health Module,The travel–obesity connection: discerning the impacts of commuting trips with the perspective of individual energy expenditure and time use,https://explore.openaire.eu/search/publication?articleId=od_______645::32b8a246f6efcedda3c0d884351deae3
dataset-051,,,Eating and Health Module,Mother/Child Eating and Drinking Patterns by Weight and Ethnicity,https://explore.openaire.eu/search/publication?articleId=od_______645::c616828191b2302c932d351d5e85cdde
dataset-051,10.1111/ecca.12324,Economica,Eating and Health Module,Unemployment and Effort at Work,
dataset-051,10.1016/j.dhjo.2019.01.011,Disability and Health Journal,Eating and Health Module,"Disability, Self-Rated Health, and Time Seeking Medical Care",
dataset-051,10.1007/s11150-018-9403-7,Review of Economics of the Household,Eating and Health Module,Estimating dual headed time in food production with implications for SNAP benefit adequacy,
dataset-051,10.1016/j.whi.2018.10.002,Women's Health Issues,Eating and Health Module,The Role of Time Use Behaviors in the Risk of Obesity among Low-Income Mothers,
dataset-051,10.1002/oby.22261,Obesity,Eating and Health Module,Low‐Calorie Sweeteners: Exploring Underutilized Database Resources to Understand Dietary Patterns and Obesity,
dataset-051,10.1016/j.physbeh.2018.05.021,Physiology & Behavior,Eating and Health Module,An introduction to an international conference on “The pace of life and feeding: Health implications”,
dataset-051,10.2139/ssrn.3170334,SSRN Electronic Journal,Eating and Health Module,A Reconsideration of the Sugar Sweetened Beverage Tax in a Household Production Model,
dataset-051,10.1016/j.appet.2017.03.032,Appetite,Eating and Health Module,"Deconstructing family meals: Do family structure, gender and employment status influence the odds of having a family meal?",
