dataset,doi,journal,search_term,title,url
dataset-135,10.1002/nafm.10390,North American Journal of Fisheries Management,FLORIDA system,Otolith‐based age estimates of Alligator Gar assessed using bomb radiocarbon dating to greater than 60 years,https://doi.org/10.1002/nafm.10390
dataset-135,10.1056/nejmms1904668,New England Journal of Medicine,FLORIDA system,Preexisting Conditions,https://doi.org/10.1056/nejmms1904668
dataset-135,10.1016/j.wneu.2019.04.030,World Neurosurgery,FLORIDA system,"Historical Aspects of Stereotactic Radiosurgery: Concepts, People, and Devices",https://doi.org/10.1016/j.wneu.2019.04.030
dataset-135,10.1007/s00267-019-01198-z,Environmental Management,FLORIDA system,Do the Adaptations of Venice and Miami to Sea Level Rise Offer Lessons for Other Vulnerable Coastal Cities?,https://doi.org/10.1007/s00267-019-01198-z
dataset-135,10.1016/j.jue.2019.103185,Journal of Urban Economics,FLORIDA system,Housing booms and local spending,https://doi.org/10.1016/j.jue.2019.103185
dataset-135,10.1002/cncr.32170,Cancer,FLORIDA system,Do contemporary imaging and biopsy techniques reliably identify unilateral prostate cancer? Implications for hemiablation patient selection,https://doi.org/10.1002/cncr.32170
dataset-135,10.1016/j.foot.2019.08.005,The Foot,FLORIDA system,Mini thigthrope® fixation of unstable bony avulsion of the extensor hallucis longus tendon,https://doi.org/10.1016/j.foot.2019.08.005
dataset-135,10.3390/w11061250,Water,FLORIDA system,Valuing Provision Scenarios of Coastal Ecosystem Services: The Case of Boat Ramp Closures Due to Harmful Algae Blooms in Florida †,https://doi.org/10.3390/w11061250
dataset-135,10.1002/crq.21248,Conflict Resolution Quarterly,FLORIDA system,Illuminating interviews: Insights into the hearts and minds of conflict resolution practitioners,https://doi.org/10.1002/crq.21248
dataset-135,10.1007/s00382-018-4553-0,Climate Dynamics,FLORIDA system,A comparison of CCSM4 high-resolution and low-resolution predictions for south Florida and southeast United States drought,https://doi.org/10.1007/s00382-018-4553-0
dataset-135,10.3390/atmos10060295,Atmosphere,FLORIDA system,"Teleconnection of Regional Drought to ENSO, PDO, and AMO: Southern Florida and the Everglades",https://doi.org/10.3390/atmos10060295
dataset-135,10.1007/s12649-017-0137-1,Waste and Biomass Valorization,FLORIDA system,Recovery of Wastewater Nitrogen for Solanum lycopersicum Propagation,https://doi.org/10.1007/s12649-017-0137-1
dataset-135,10.1109/itherm.2019.8757324,2019 18th IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm),FLORIDA system,Last Year's Best Papers (Itherm 2018),https://doi.org/10.1109/itherm.2019.8757324
dataset-135,10.1097/qad.0000000000002080,AIDS,FLORIDA system,Eliminating perinatal HIV in the United States,https://doi.org/10.1097/qad.0000000000002080
dataset-135,10.1371/journal.pone.0212008,PLoS ONE,FLORIDA system,Rainfall trend and variability in Southeast Florida: Implications for freshwater availability in the Everglades,https://doi.org/10.1371/journal.pone.0212008
dataset-135,10.1002/ecy.2600,Ecology,FLORIDA system,A distributed experiment demonstrates widespread sodium limitation in grassland food webs,https://doi.org/10.1002/ecy.2600
dataset-135,10.1177/0275074018765809,The American Review of Public Administration,FLORIDA system,Retirement Planning Decisions: Choices Between Defined Benefit and Defined Contribution Plans,https://doi.org/10.1177/0275074018765809
dataset-135,10.1007/s10641-018-0839-7,Environmental Biology of Fishes,FLORIDA system,Linking bonefish (Albula vulpes) populations to nearshore estuarine habitats using an otolith microchemistry approach,https://doi.org/10.1007/s10641-018-0839-7
dataset-135,10.1557/mre.2019.9,MRS Energy & Sustainability,FLORIDA system,Storage: Jurisdictional conflicts and state options,https://doi.org/10.1557/mre.2019.9
dataset-135,10.2139/ssrn.3479981,SSRN Electronic Journal,FLORIDA system,Puffery or Law: Reflections on the Florida School Finance Decision,https://doi.org/10.2139/ssrn.3479981
