dataset,doi,journal,search_term,title,url
dataset-136,10.2139/ssrn.3172477,SSRN Electronic Journal,Florida WAGES,"Non-competes, Business Dynamism, and Concentration: Evidence from a Florida Case Study",https://doi.org/10.2139/ssrn.3172477
dataset-136,10.7591/9781501717734-009,,Florida WAGES,"""In America Life Is Given Away"": Jamaican Farmworkers and the Making of Agricultural Immigration Policy",https://doi.org/10.7591/9781501717734-009
dataset-136,10.1016/j.jpubeco.2016.08.003,"{'id': 'jour.1027390', 'title': 'Journal of Public Economics'}",Florida WAGES,Divided we reform? Evidence from US welfare policies,https://doi.org/10.1016/j.jpubeco.2016.08.003
dataset-136,10.1353/eir.2016.0005,"{'id': 'jour.1024358', 'title': 'Éire-Ireland'}",Florida WAGES,"""Looking for That Pot of Gold"": The Transnational Life of Kevin Henry",https://doi.org/10.1353/eir.2016.0005
dataset-136,10.1177/000134551406800102,"{'id': 'jour.1055614', 'title': 'Abstracts in Anthropology'}",Florida WAGES,Cultural Anthropology,https://doi.org/10.1177/000134551406800102
dataset-136,10.4324/9780203822692,,Florida WAGES,Poverty or Development,https://doi.org/10.4324/9780203822692
dataset-136,10.1080/0023656x.2012.759806,"{'id': 'jour.1025107', 'title': 'Labor History'}",Florida WAGES,"Family wages: The roles of wives and mothers in U.S. working-class survival strategies, 1880–1930",https://doi.org/10.1080/0023656x.2012.759806
dataset-136,10.1016/j.jeca.2012.01.001,"{'id': 'jour.1047627', 'title': 'The Journal of Economic Asymmetries'}",Florida WAGES,Optimal Spatial Prediction and the Construction of Regional Indexes,https://doi.org/10.1016/j.jeca.2012.01.001
dataset-136,10.4324/9780203099490,,Florida WAGES,The Transformation of Welfare States?,https://doi.org/10.4324/9780203099490
dataset-136,10.1111/j.0887-378x.2005.00336.x,"{'id': 'jour.1018037', 'title': 'Milbank Quarterly'}",Florida WAGES,Welfare Reform and Substance Abuse,https://doi.org/10.1111/j.0887-378x.2005.00336.x
dataset-136,10.2139/ssrn.672664,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Florida WAGES,"Social Choice, Crypto-Initiatives and Policy Making by Direct Democracy",https://doi.org/10.2139/ssrn.672664
dataset-136,10.1057/9780230524439_4,,Florida WAGES,Neoliberalism and Policy Transfer in the British Competition State: the Case of Welfare Reform,https://doi.org/10.1057/9780230524439_4
dataset-136,10.1057/9780230524439,,Florida WAGES,"Internalizing Globalization, The Rise of Neoliberalism and the Decline of National Varieties of Capitalism",https://doi.org/10.1057/9780230524439
dataset-136,10.1300/j045v18n03_01,"{'id': 'jour.1038723', 'title': 'Social Work in Public Health'}",Florida WAGES,Providing Care Coordination and Treatment Services for Substance-Abusing Women in the Work First/New Jersey (TANF) Program,https://doi.org/10.1300/j045v18n03_01
dataset-136,10.1007/978-3-322-80944-5,,Florida WAGES,Wohlfahrtsstaat — Transformation und Perspektiven,https://doi.org/10.1007/978-3-322-80944-5
dataset-136,10.1007/978-3-322-80944-5_10,,Florida WAGES,"„New Labour“, Globalisierung und Sozialpolitik",https://doi.org/10.1007/978-3-322-80944-5_10
dataset-136,10.1111/1541-0072.00045,"{'id': 'jour.1025472', 'title': 'Policy Studies Journal'}",Florida WAGES,To Devolve or Not To Devolve? Welfare Reform in the States,https://doi.org/10.1111/1541-0072.00045
dataset-136,10.1177/00914509030301-209,"{'id': 'jour.1015326', 'title': 'Contemporary Drug Problems'}",Florida WAGES,The Bottom Line: Employment and Barriers to Work among Former SSI DA&A Beneficiaries,https://doi.org/10.1177/00914509030301-209
dataset-136,10.1177/000134550304600102,"{'id': 'jour.1055614', 'title': 'Abstracts in Anthropology'}",Florida WAGES,Cultural Anthropology,https://doi.org/10.1177/000134550304600102
dataset-136,10.1300/j045v14n02_02,"{'id': 'jour.1038723', 'title': 'Social Work in Public Health'}",Florida WAGES,Women on Welfare,https://doi.org/10.1300/j045v14n02_02
