dataset,doi,journal,search_term,title,dataset_used?,notes
dataset-032,10.1111/josh.12828,Journal of School Health,Food and Nutrition Service Program Data,Updated Nutrition Standards for School Meals Associated With Improved Weight Outcomes for Boys in Elementary School,yes,
dataset-032,10.1016/j.foodpol.2016.01.009,Food Policy,Food and Nutrition Service Program Data,"The Supplemental Nutrition Assistance Program, energy balance, and weight gain",yes,
dataset-032,10.1016/j.jand.2013.08.003,Journal of the Academy of Nutrition and Dietetics,Food and Nutrition Service Program Data,"Impact of the Revised Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) Food Package Policy on Fruit and Vegetable Prices",yes,
dataset-032,10.1080/19320248.2013.840551,Journal of Hunger & Environmental Nutrition,Food and Nutrition Service Program Data,Access to SNAP-Authorized Food Stores and Nutrition Outcomes of SNAP-Participating Adolescents,yes,
dataset-032,10.2139/ssrn.2176939,SSRN Electronic Journal,Food and Nutrition Service Program Data,How Economic Conditions Affect Participation in USDA Nutrition Assistance Programs,yes,
dataset-032,10.1080/19320248.2011.549358,Journal of Hunger & Environmental Nutrition,Food and Nutrition Service Program Data,Food Security and Senior Participation in the Commodity Supplemental Food Program,yes,
dataset-032,10.1016/j.jada.2010.04.014,Journal of the Academy of Nutrition and Dietetics,Food and Nutrition Service Program Data,Improving Food Environments in Schools: Tracking Progress,yes,
dataset-032,10.1606/1044-3894.3930,Families in Society,Food and Nutrition Service Program Data,Assessing Effects of Food Stamp Program Participation on Child Food Security in Vulnerable Households: Do Informal Supports Matter?,yes,
dataset-032,10.1080/15588740903176278,Journal of Policy Practice,Food and Nutrition Service Program Data,Assessing Effects of Food Stamp Program Participation on Food Security in Female-Headed Households: Do Informal Supports Matter?,yes,
dataset-032,10.1016/j.jada.2007.08.035,Journal of the Academy of Nutrition and Dietetics,Food and Nutrition Service Program Data,Research to Advance Understanding of the Interrelationship of Poverty and Nutrition,yes,
dataset-032,10.1016/j.jada.2006.08.013,Journal of the Academy of Nutrition and Dietetics,Food and Nutrition Service Program Data,Dietary Effects of Universal-Free School Breakfast: Findings from the Evaluation of the School Breakfast Program Pilot Project,yes,
dataset-032,10.1080/10511482.2004.9521522,Housing Policy Debate,Food and Nutrition Service Program Data,Section 8: The time for fundamental program change?,yes,
dataset-032,10.1542/peds.110.4.e41,Pediatrics,Food and Nutrition Service Program Data,Hunger: Its Impact on Childrenâ€™s Health and Mental Health,yes,
dataset-032,10.14219/jada.archive.2001.0158,The Journal of the American Dental Association,Food and Nutrition Service Program Data,Community socioeconomic status and children's dental health,yes,
