dataset,doi,journal,search_term,title
dataset-428,10.18356/5abe4faa-en,,Higher Education Research and Development Survey,United States of America
dataset-428,10.18356/cdc2d771-en,,Higher Education Research and Development Survey,Hungary
dataset-428,10.1016/j.jpubeco.2019.104066,"{'id': 'jour.1027390', 'title': 'Journal of Public Economics'}",Higher Education Research and Development Survey,The impact of money on science: Evidence from unexpected NCAA football outcomes
dataset-428,10.1037/mgr0000089,"{'id': 'jour.1142636', 'title': 'The Psychologist-Manager Journal'}",Higher Education Research and Development Survey,Approaching change in a challenging environment: Applying implementation science to academic administration.
dataset-428,10.1007/s11192-018-2992-3,"{'id': 'jour.1089056', 'title': 'Scientometrics'}",Higher Education Research and Development Survey,Universities’ structural commitment to interdisciplinary research
dataset-428,10.1163/25891715-00201002,"{'id': 'jour.1365460', 'title': 'Public Anthropologist'}",Higher Education Research and Development Survey,Public Anthropology in Changing Times
dataset-428,10.2139/ssrn.3421123,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Higher Education Research and Development Survey,Innovating Banks and Local Lending
dataset-428,10.1007/978-3-030-02447-5,,Higher Education Research and Development Survey,"Corporate Citizenship and Higher Education, Behavior, Engagement, and Ethics"
dataset-428,10.1787/9789264307391-5-en,,Higher Education Research and Development Survey,Discovering and selling medicines
dataset-428,10.1016/j.joi.2018.09.001,"{'id': 'jour.1043111', 'title': 'Journal of Informetrics'}",Higher Education Research and Development Survey,A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list
dataset-428,10.18356/39d55751-en,,Higher Education Research and Development Survey,United States of America
dataset-428,10.1080/00221546.2018.1435134,"{'id': 'jour.1086361', 'title': 'The Journal of Higher Education'}",Higher Education Research and Development Survey,First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers
dataset-428,10.1108/sgpe-d-17-00044,"{'id': 'jour.1300396', 'title': 'Studies in Graduate and Postdoctoral Education'}",Higher Education Research and Development Survey,"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences"
dataset-428,10.1163/22125868-12340100,"{'id': 'jour.1150780', 'title': 'International Journal of Chinese Education'}",Higher Education Research and Development Survey,Classifying Institutions to Guide Mission-Relevant Performance Assessment
dataset-428,10.1080/2330443x.2018.1442271,"{'id': 'jour.1050748', 'title': 'Statistics and Public Policy'}",Higher Education Research and Development Survey,Examining the Carnegie Classification Methodology for Research Universities
dataset-428,10.1016/j.acra.2017.07.013,"{'id': 'jour.1112792', 'title': 'Academic Radiology'}",Higher Education Research and Development Survey,Radiology Research Funding Current State and Future Opportunities
dataset-428,10.1007/978-3-319-71162-1,,Higher Education Research and Development Survey,Building Capacity in Institutional Research and Decision Support in Higher Education
dataset-428,10.1007/978-3-319-68984-5_9,,Higher Education Research and Development Survey,The Higher Education Community: Educating America’s Next Great Generation
dataset-428,10.2139/ssrn.3098510,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Higher Education Research and Development Survey,"Team Size, Noisy Signals, and the Career Prospects of Academic Scientists"
dataset-428,10.1007/978-3-319-68984-5,,Higher Education Research and Development Survey,"A Battle Plan for Supporting Military Families, Lessons for the Leaders of Tomorrow"
