dataset,doi,journal,search_term,title
dataset-138,10.1186/s12873-019-0252-3,BMC Emergency Medicine,Human resource records,"Epidemiology of injuries presenting to the accident centre of Korle-Bu Teaching Hospital, Ghana"
dataset-138,10.1080/21645515.2019.1666500,Human Vaccines & Immunotherapeutics,Human resource records,Seasonal influenza vaccination among primary health care workers in Southwestern Saudi Arabia
dataset-138,10.1371/journal.pone.0222180,PLoS ONE,Human resource records,The relationship between management practices and the efficiency and quality of voluntary medical male circumcision services in four African countries
dataset-138,10.1001/jamainternmed.2019.2425,JAMA Internal Medicine,Human resource records,Effect of a Professional Coaching Intervention on the Well-being and Distress of Physicians
dataset-138,10.1007/s40258-019-00483-6,Applied Health Economics and Health Policy,Human resource records,Cost-Effectiveness of a Psycho-Educational Intervention Targeting Fear of Cancer Recurrence in People Treated for Early-Stage Melanoma
dataset-138,10.1080/10401334.2019.1659144,Teaching and Learning in Medicine,Human resource records,Going Beyond “Not Enough Time”: Barriers to Preparing Manuscripts for Academic Medical Journals
dataset-138,10.5696/2156-9614-9.23.190901,Journal of Health and Pollution,Human resource records,Occupational Health and Environment: Challenges and Opportunities in Sustainable Development
dataset-138,10.1002/aqc.3199,Aquatic Conservation Marine and Freshwater Ecosystems,Human resource records,"A facial recognition tool and legislative changes for improved enforcement of the CITES Appendix II listing of the humphead wrasse, Cheilinus undulatus"
dataset-138,10.1080/0309877x.2018.1429582,Journal of Further and Higher Education,Human resource records,International academic staff in UK higher education: campus internationalisation and innovation in academic practice
dataset-138,10.1080/13668803.2019.1629874,Community Work & Family,Human resource records,Understanding parental leave experiences: connecting the dots with a multiple-methods approach
dataset-138,10.1002/9781119554424,,Human resource records,Internal Controls Toolkit
dataset-138,10.1057/s41287-018-0155-2,"{'id': 'jour.1047975', 'title': 'The European Journal of Development Research'}",Human resource records,"Interrogating Microfinance Performance Beyond Products, Clients and the Environment: Insights From the Work of BRAC in Tanzania"
dataset-138,10.3390/su11123360,"{'id': 'jour.1046556', 'title': 'Sustainability'}",Human resource records,Supporting Employability by a Skills Assessment Innovative Tool—Sustainable Transnational Insights fromEmployers
dataset-138,10.1109/emr.2019.2914612,"{'id': 'jour.1137609', 'title': 'IEEE Engineering Management Review'}",Human resource records,Positioning Your Organization to Respond to Insider Threats
dataset-138,10.1007/s40199-019-00268-1,"{'id': 'jour.1029818', 'title': 'DARU Journal of Pharmaceutical Sciences'}",Human resource records,Providing a framework for assessment of the access to medicine
dataset-138,10.1371/journal.pone.0215972,"{'id': 'jour.1037553', 'title': 'PLoS ONE'}",Human resource records,"Evaluating the costs of cholera illness and cost-effectiveness of a single dose oral vaccination campaign in Lusaka, Zambia"
dataset-138,10.1111/apps.12200,"{'id': 'jour.1097394', 'title': 'Applied Psychology'}",Human resource records,The Changing Value of Skill Utilisation: Interactions with Job Demands on Job Satisfaction and Absenteeism
dataset-138,10.1007/s10995-018-2674-z,"{'id': 'jour.1117494', 'title': 'Maternal and Child Health Journal'}",Human resource records,Health Facility Cost of Cesarean Delivery at a Rural District Hospital in Rwanda Using Time-Driven Activity-Based Costing
dataset-138,10.1089/pop.2018.0177,"{'id': 'jour.1040421', 'title': 'Population Health Management'}",Human resource records,Framework for Evaluating Workplace Health Promotion in a Health Care Delivery Setting
dataset-138,10.1002/ajim.22943,"{'id': 'jour.1092041', 'title': 'American Journal of Industrial Medicine'}",Human resource records,Mortality among United States aerospace materials manufacturing workers
