dataset,doi,journal,search_term,title,URL ,Validation
dataset-138,10.1080/21645515.2019.1666500,Human Vaccines & Immunotherapeutics,Human resource records,Seasonal influenza vaccination among primary health care workers in Southwestern Saudi Arabia,https://www.tandfonline.com/doi/full/10.1080/21645515.2019.1666500,Yes
dataset-138,10.1371/journal.pone.0222180,PLoS ONE,Human resource records,The relationship between management practices and the efficiency and quality of voluntary medical male circumcision services in four African countries,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222180,Yes
dataset-138,10.1007/s40258-019-00483-6,Applied Health Economics and Health Policy,Human resource records,Cost-Effectiveness of a Psycho-Educational Intervention Targeting Fear of Cancer Recurrence in People Treated for Early-Stage Melanoma,https://link.springer.com/article/10.1007%2Fs40258-019-00483-6,Yes
dataset-138,10.1080/10401334.2019.1659144,Teaching and Learning in Medicine,Human resource records,Going Beyond ¡°Not Enough Time¡±: Barriers to Preparing Manuscripts for Academic Medical Journals,https://www.tandfonline.com/doi/full/10.1080/10401334.2019.1659144,Yes
dataset-138,10.5696/2156-9614-9.23.190901,Journal of Health and Pollution,Human resource records,Occupational Health and Environment: Challenges and Opportunities in Sustainable Development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711337/pdf/i2156-9614-9-23-190901.pdf,Yes
dataset-138,10.1002/aqc.3199,Aquatic Conservation Marine and Freshwater Ecosystems,Human resource records,"A facial recognition tool and legislative changes for improved enforcement of the CITES Appendix II listing of the humphead wrasse, Cheilinus undulatus",https://onlinelibrary.wiley.com/doi/full/10.1002/aqc.3199?af=R,Yes
dataset-138,10.1080/0309877x.2018.1429582,Journal of Further and Higher Education,Human resource records,International academic staff in UK higher education: campus internationalisation and innovation in academic practice,https://www.tandfonline.com/doi/full/10.1080/0309877X.2018.1429582,Yes
dataset-138,10.1080/13668803.2019.1629874,Community Work & Family,Human resource records,Understanding parental leave experiences: connecting the dots with a multiple-methods approach,https://www.tandfonline.com/doi/full/10.1080/13668803.2019.1629874,Yes
dataset-138,10.1109/emr.2019.2914612,IEEE Engineering Management Review,Human resource records,Positioning Your Organization to Respond to Insider Threats,https://ieeexplore.ieee.org/abstract/document/8704879,Yes
dataset-138,10.1007/s10995-018-2674-z,Maternal and Child Health Journal,Human resource records,Health Facility Cost of Cesarean Delivery at a Rural District Hospital in Rwanda Using Time-Driven Activity-Based Costing,https://link.springer.com/article/10.1007%2Fs10995-018-2674-z,Yes
dataset-138,10.1089/pop.2018.0177,Population Health Management,Human resource records,Framework for Evaluating Workplace Health Promotion in a Health Care Delivery Setting,https://www.liebertpub.com/doi/full/10.1089/pop.2018.0177,Yes
dataset-138,10.1002/ajim.22943,American Journal of Industrial Medicine,Human resource records,Mortality among United States aerospace materials manufacturing workers,https://onlinelibrary.wiley.com/doi/full/10.1002/ajim.22943,Yes
