dataset,doi,journal,search_term,title
dataset-219,10.1111/cfs.12635,Child & Family Social Work,Illinois Family Study,Child care subsidy and child maltreatment
dataset-219,10.1007/s12187-019-09678-8,Child Indicators Research,Illinois Family Study,Perceptions of Neglect and Well-Being among Independent Child Migrants in Ghana
dataset-219,10.1007/s12187-019-09653-3,Child Indicators Research,Illinois Family Study,Issues in Defining and Measuring Supervisory Neglect and Conceptualizing Prevention
dataset-219,10.1080/0145935x.2019.1605895,Child & Youth Services,Illinois Family Study,Brief in-Home Assessments of Low-Income Mothers and Children using a New Affection Subscale of the HOME Inventory
dataset-219,10.1007/s10896-018-0009-x,Journal of Family Violence,Illinois Family Study,Work Outcomes for Mothers Experiencing Intimate Partner Violence: the Buffering Effect of Child Care Subsidy
dataset-219,10.1371/journal.pone.0213460,PLoS ONE,Illinois Family Study,Parenting after a history of childhood maltreatment: A scoping review and map of evidence in the perinatal period
dataset-219,10.1007/s42448-019-00014-9,"International Journal on Child Maltreatment: Research, Policy and Practice",Illinois Family Study,Generating Essentials for Childhood: New Roles in Child Protection for the U.S. Federal Government and the Public Health Sector
dataset-219,10.1111/chso.12307,Children & Society,Illinois Family Study,Preventive Benefits of U.S. Childcare Subsidies in Supervisory Child Neglect
dataset-219,10.1111/aswp.12160,Asian Social Work and Policy Review,Illinois Family Study,Factors influencing resubstantiation of child neglect in South Korea: A comparison with other maltreatment cases
dataset-219,10.1007/978-3-030-05858-6_13,,Illinois Family Study,Bringing a Health Equity Perspective to the Prevention of Child Abuse and Neglect
dataset-219,10.1007/978-3-030-05858-6,,Illinois Family Study,Re-Visioning Public Health Approaches for Protecting Children
dataset-219,10.1007/s10826-018-1223-0,"{'id': 'jour.1102930', 'title': 'Journal of Child and Family Studies'}",Illinois Family Study,Informal Support among Low-Income Mothers Post Welfare Reform:A Systematic Review
dataset-219,10.1016/j.childyouth.2018.06.036,"{'id': 'jour.1092724', 'title': 'Children and Youth Services Review'}",Illinois Family Study,Intergenerational transmission of child abuse and neglect: Effects of maltreatment type and depressive symptoms
dataset-219,10.1016/j.chiabu.2018.03.028,"{'id': 'jour.1087229', 'title': 'Child Abuse & Neglect'}",Illinois Family Study,Intimate partner violence victimization and parenting: A systematic review
dataset-219,10.1111/fare.12310,"{'id': 'jour.1090951', 'title': 'Family Relations'}",Illinois Family Study,Individual and Cumulative Risks for Child Abuse and Neglect
dataset-219,10.1016/j.childyouth.2017.09.006,"{'id': 'jour.1092724', 'title': 'Children and Youth Services Review'}",Illinois Family Study,Early care and education arrangements and young children's risk of foster placement: Findings from a National Child Welfare Sample
dataset-219,10.1016/j.chiabu.2017.05.010,"{'id': 'jour.1087229', 'title': 'Child Abuse & Neglect'}",Illinois Family Study,The impact of perceived childhood victimization and patriarchal gender ideology on intimate partner violence (IPV) victimization among Korean immigrant women in the USA
dataset-219,10.1037/ort0000260,"{'id': 'jour.1018119', 'title': 'American Journal of Orthopsychiatry'}",Illinois Family Study,Physical family violence and externalizing and internalizing behaviors among children and adolescents.
dataset-219,10.1097/dbp.0000000000000383,"{'id': 'jour.1091408', 'title': 'Journal of Developmental and Behavioral Pediatrics'}",Illinois Family Study,"Association of Food Insecurity with Children's Behavioral, Emotional, and Academic Outcomes"
dataset-219,10.1016/j.avb.2016.06.017,"{'id': 'jour.1115384', 'title': 'Aggression and Violent Behavior'}",Illinois Family Study,Women's employment and domestic violence: A review of the literature
