dataset,doi,journal,search_term,title,dataset_used?,notes
dataset-410,10.1111/tgis.12590,Transactions in GIS,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Similarity measurement on human mobility data with spatially weighted structural similarity index (SpSSIM),,
dataset-410,10.1016/j.regsciurbeco.2019.103460,Regional Science and Urban Economics,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Not in my backyard? Not so fast. The effect of marijuana legalization on neighborhood crime,,
dataset-410,10.2514/6.2019-2872,,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Exploration of Near-Term Urban Air Mobility Operations with Retrofitted Electric General Aviation Aircraft,,
dataset-410,10.3390/su11041012,"{'id': 'jour.1046556', 'title': 'Sustainability'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Towards Sustainable Urban Spatial Structure: Does Decentralization Reduce Commuting Times?,,
dataset-410,10.1016/b978-0-12-816088-6.00009-2,,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Chapter Nine Does transportation access affect the ability to recruit and retain logistics workers?,,
dataset-410,10.1016/j.landurbplan.2018.08.018,"{'id': 'jour.1028245', 'title': 'Landscape and Urban Planning'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Quantifying place: Analyzing the drivers of pedestrian activity in dense urban environments,,
dataset-410,10.1016/j.aap.2018.06.018,"{'id': 'jour.1054252', 'title': 'Accident Analysis & Prevention'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,The effects of roadway and built environment characteristics on pedestrian fatality risk: A national assessment at the neighborhood scale,,
dataset-410,10.1109/itsc.2018.8569541,"{'id': 'jour.1223933', 'title': '2018 21st International Conference on Intelligent Transportation Systems (ITSC)'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Integrated simulation of activity-based demand and multi-modal dynamic supply for energy assessment,,
dataset-410,10.1080/10511482.2017.1413584,"{'id': 'jour.1047436', 'title': 'Housing Policy Debate'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Gateway to Opportunity? Disparities in Neighborhood Conditions Among Low-Income Housing Tax Credit Residents,,
dataset-410,10.1080/21681376.2018.1455535,"{'id': 'jour.1147657', 'title': 'Regional Studies Regional Science'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Estimating local daytime population density from census and payroll data,,
dataset-410,10.1016/j.regsciurbeco.2017.03.008,"{'id': 'jour.1027410', 'title': 'Regional Science and Urban Economics'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,"Is the light rail “Tide” lifting property values? Evidence from Hampton Roads, VA",,
dataset-410,10.2514/6.2017-3083,,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Constraint Identification in On-Demand Mobility for Aviation through an Exploratory Case Study of Los Angeles,,
dataset-410,10.1109/mtits.2017.8005720,,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Network Work Trip Assignment for Agent-Based Simulation Accounting for Travel Time,,
dataset-410,10.3141/2651-08,"{'id': 'jour.1040436', 'title': 'Transportation Research Record Journal of the Transportation Research Board'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,"Factors Affecting Residential Parking Occupancy in Madison, Wisconsin",,
dataset-410,10.2139/ssrn.2998224,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Flying Right: Giving U.S. Airport Workers a Lift,,
dataset-410,10.1371/journal.pone.0166083,"{'id': 'jour.1037553', 'title': 'PLoS ONE'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,An Economic Geography of the United States: From Commutes to Megaregions,,
dataset-410,10.1080/10511482.2016.1163276,"{'id': 'jour.1047436', 'title': 'Housing Policy Debate'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Searching for Affordability and Opportunity: A Framework for the Housing Choice Voucher Program,,
dataset-410,10.1080/10511482.2014.1003190,"{'id': 'jour.1047436', 'title': 'Housing Policy Debate'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Addressing the Affordable Housing Crisis for Vulnerable Renters: Insights From Broward County on an Affordable Housing Acquisition Tool,,
dataset-410,10.2139/ssrn.2814147,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Moving to Economic Opportunity: The Migration Response to the Fracking Boom,,
dataset-410,10.1016/j.retrec.2015.10.008,"{'id': 'jour.1139554', 'title': 'Research in Transportation Economics'}",Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Heterogeneity in the relationship between the built environment and driving: Focus on neighborhood type and travel purpose,,
