dataset,doi,journal,search_term,title
dataset-100,10.1016/j.cortex.2019.09.011,Cortex,Maintenance of Effort,The Tenacious Brain: How the Anterior Mid-Cingulate Contributes to Achieving Goals
dataset-100,10.1016/b978-0-12-809324-5.23652-3,,Maintenance of Effort,Dual Process
dataset-100,10.1007/978-3-030-30306-8,,Maintenance of Effort,Universities and Sustainable Communities: Meeting the Goals of the Agenda 2030
dataset-100,10.1007/978-3-030-30306-8_45,,Maintenance of Effort,Sustainability of Sufficiency-Based Schools
dataset-100,10.1007/s11150-019-09458-x,"{'id': 'jour.1042479', 'title': 'Review of Economics of the Household'}",Maintenance of Effort,The demand for child care subsidies under rationing
dataset-100,10.1515/applirev-2018-0020,"{'id': 'jour.1148075', 'title': 'Applied Linguistics Review'}",Maintenance of Effort,A translanguaging view of the linguistic system of bilinguals
dataset-100,10.1177/0002716219881628,"{'id': 'jour.1082459', 'title': 'The Annals of the American Academy of Political and Social Science'}",Maintenance of Effort,The Temporary Assistance for Needy Families Program: Time for Improvements
dataset-100,10.1177/0002716219884546,"{'id': 'jour.1082459', 'title': 'The Annals of the American Academy of Political and Social Science'}",Maintenance of Effort,Entitlements: Options for Reforming the Social Safety Net in the United States
dataset-100,10.1111/pcn.12942,"{'id': 'jour.1096598', 'title': 'Psychiatry and Clinical Neurosciences'}",Maintenance of Effort,Transient and sustained effects of dopamine and serotonin signaling in motivation‐related behavior
dataset-100,10.1101/789982,"{'id': 'jour.1293558', 'title': 'bioRxiv'}",Maintenance of Effort,Vagus nerve stimulation increases vigor to work for rewards
dataset-100,10.1111/fcre.12440,"{'id': 'jour.1021866', 'title': 'Family Court Review'}",Maintenance of Effort,Reducing Domestic Violence and Improving Outcomes for Children: Funding Civil Legal Aid to Maximize Impact
dataset-100,10.1016/j.humov.2019.102507,"{'id': 'jour.1093641', 'title': 'Human Movement Science'}",Maintenance of Effort,Testing the role of cognitive inhibition in physical endurance using high-definition transcranial direct current stimulation over the prefrontal cortex
dataset-100,10.1177/1044389419874172,"{'id': 'jour.1100331', 'title': 'Families in Society'}",Maintenance of Effort,State Efforts to Support the Engagement of Nonresident Fathers in the Lives of Their Children
dataset-100,10.1002/9781119420743.ch6,,Maintenance of Effort,Health Policy and Social Work
dataset-100,10.1177/0275074018760305,"{'id': 'jour.1137833', 'title': 'The American Review of Public Administration'}",Maintenance of Effort,Inequality and Competition in State Redistributive Systems: Evidence From Welfare and Health
dataset-100,10.1002/jia2.25306,"{'id': 'jour.1040261', 'title': 'Journal of the International AIDS Society'}",Maintenance of Effort,Understanding user perspectives of and preferences for oral PrEP for HIV prevention in the context of intervention scale‐up: a synthesis of evidence from sub‐Saharan Africa
dataset-100,10.18023/ijece.2019.25.1.007,"{'id': 'jour.1355851', 'title': 'International Journal of Early Childhood Education'}",Maintenance of Effort,"The Relationship among Mindset, Social Support, and Grit Perceived by Pre-Service Kindergarten Teachers"
dataset-100,10.1177/0895904817719523,"{'id': 'jour.1043336', 'title': 'Educational Policy'}",Maintenance of Effort,"Are School Districts Allocating Resources Equitably? The Every Student Succeeds Act, Teacher Experience Gaps, and Equitable Resource Allocation"
dataset-100,10.1002/adaw.32375,"{'id': 'jour.1098762', 'title': 'Alcoholism & Drug Abuse Weekly'}",Maintenance of Effort,"Harwood, retired NASADAD research director, on data, grants"
dataset-100,10.1080/03057925.2019.1610356,"{'id': 'jour.1027826', 'title': 'Compare A Journal of Comparative and International Education'}",Maintenance of Effort,"Changes to adult learning and education (ALE) policy environment in Finland, Korea, and the United States: implications for addressing inequality in ALE participation"
