dataset,doi,journal,search_term,title,url
dataset-100,10.1016/j.cortex.2019.09.011,Cortex,Maintenance of Effort,The Tenacious Brain: How the Anterior Mid-Cingulate Contributes to Achieving Goals,https://doi.org/10.1016/j.cortex.2019.09.011
dataset-100,10.1016/b978-0-12-809324-5.23652-3,,Maintenance of Effort,Dual Process,https://doi.org/10.1016/b978-0-12-809324-5.23652-3
dataset-100,10.1007/978-3-030-30306-8,,Maintenance of Effort,Universities and Sustainable Communities: Meeting the Goals of the Agenda 2030,https://doi.org/10.1007/978-3-030-30306-8
dataset-100,10.1007/978-3-030-30306-8_45,,Maintenance of Effort,Sustainability of Sufficiency-Based Schools,https://doi.org/10.1007/978-3-030-30306-8_45
dataset-100,10.1007/s11150-019-09458-x,"{'id': 'jour.1042479', 'title': 'Review of Economics of the Household'}",Maintenance of Effort,The demand for child care subsidies under rationing,https://doi.org/10.1007/s11150-019-09458-x
dataset-100,10.1515/applirev-2018-0020,"{'id': 'jour.1148075', 'title': 'Applied Linguistics Review'}",Maintenance of Effort,A translanguaging view of the linguistic system of bilinguals,https://doi.org/10.1515/applirev-2018-0020
dataset-100,10.1177/0002716219881628,"{'id': 'jour.1082459', 'title': 'The Annals of the American Academy of Political and Social Science'}",Maintenance of Effort,The Temporary Assistance for Needy Families Program: Time for Improvements,https://doi.org/10.1177/0002716219881628
dataset-100,10.1177/0002716219884546,"{'id': 'jour.1082459', 'title': 'The Annals of the American Academy of Political and Social Science'}",Maintenance of Effort,Entitlements: Options for Reforming the Social Safety Net in the United States,https://doi.org/10.1177/0002716219884546
dataset-100,10.1111/pcn.12942,"{'id': 'jour.1096598', 'title': 'Psychiatry and Clinical Neurosciences'}",Maintenance of Effort,Transient and sustained effects of dopamine and serotonin signaling in motivation‐related behavior,https://doi.org/10.1111/pcn.12942
dataset-100,10.1101/789982,"{'id': 'jour.1293558', 'title': 'bioRxiv'}",Maintenance of Effort,Vagus nerve stimulation increases vigor to work for rewards,https://doi.org/10.1101/789982
dataset-100,10.1111/fcre.12440,"{'id': 'jour.1021866', 'title': 'Family Court Review'}",Maintenance of Effort,Reducing Domestic Violence and Improving Outcomes for Children: Funding Civil Legal Aid to Maximize Impact,https://doi.org/10.1111/fcre.12440
dataset-100,10.1016/j.humov.2019.102507,"{'id': 'jour.1093641', 'title': 'Human Movement Science'}",Maintenance of Effort,Testing the role of cognitive inhibition in physical endurance using high-definition transcranial direct current stimulation over the prefrontal cortex,https://doi.org/10.1016/j.humov.2019.102507
dataset-100,10.1177/1044389419874172,"{'id': 'jour.1100331', 'title': 'Families in Society'}",Maintenance of Effort,State Efforts to Support the Engagement of Nonresident Fathers in the Lives of Their Children,https://doi.org/10.1177/1044389419874172
dataset-100,10.1002/9781119420743.ch6,,Maintenance of Effort,Health Policy and Social Work,https://doi.org/10.1002/9781119420743.ch6
dataset-100,10.1177/0275074018760305,"{'id': 'jour.1137833', 'title': 'The American Review of Public Administration'}",Maintenance of Effort,Inequality and Competition in State Redistributive Systems: Evidence From Welfare and Health,https://doi.org/10.1177/0275074018760305
dataset-100,10.1002/jia2.25306,"{'id': 'jour.1040261', 'title': 'Journal of the International AIDS Society'}",Maintenance of Effort,Understanding user perspectives of and preferences for oral PrEP for HIV prevention in the context of intervention scale‐up: a synthesis of evidence from sub‐Saharan Africa,https://doi.org/10.1002/jia2.25306
dataset-100,10.18023/ijece.2019.25.1.007,"{'id': 'jour.1355851', 'title': 'International Journal of Early Childhood Education'}",Maintenance of Effort,"The Relationship among Mindset, Social Support, and Grit Perceived by Pre-Service Kindergarten Teachers",https://doi.org/10.18023/ijece.2019.25.1.007
dataset-100,10.1177/0895904817719523,"{'id': 'jour.1043336', 'title': 'Educational Policy'}",Maintenance of Effort,"Are School Districts Allocating Resources Equitably? The Every Student Succeeds Act, Teacher Experience Gaps, and Equitable Resource Allocation",https://doi.org/10.1177/0895904817719523
dataset-100,10.1002/adaw.32375,"{'id': 'jour.1098762', 'title': 'Alcoholism & Drug Abuse Weekly'}",Maintenance of Effort,"Harwood, retired NASADAD research director, on data, grants",https://doi.org/10.1002/adaw.32375
dataset-100,10.1080/03057925.2019.1610356,"{'id': 'jour.1027826', 'title': 'Compare A Journal of Comparative and International Education'}",Maintenance of Effort,"Changes to adult learning and education (ALE) policy environment in Finland, Korea, and the United States: implications for addressing inequality in ALE participation",https://doi.org/10.1080/03057925.2019.1610356
