dataset,doi,journal,search_term,title,url
dataset-168,10.3982/qe564,Quantitative Economics,Maryland Unemployment Insurance,Optimal unemployment insurance with monitoring,https://doi.org10.3982/qe564
dataset-168,10.1177/1049731516630385,Research on Social Work Practice,Maryland Unemployment Insurance,Active Labour Market Programme Participation for Unemployment Insurance Recipients,https://doi.org10.1177/1049731516630385
dataset-168,10.1111/joes.12134,Journal of Economic Surveys,Maryland Unemployment Insurance,THE THREAT EFFECT OF ACTIVE LABOR MARKET PROGRAMS: A SYSTEMATIC REVIEW,https://doi.org10.1111/joes.12134
dataset-168,10.2139/ssrn.3039515,SSRN Electronic Journal,Maryland Unemployment Insurance,Evaluating Public Employment Programs with Field Experiments: A Survey of American Evidence,https://doi.org10.2139/ssrn.3039515
dataset-168,10.1016/bs.hefe.2016.10.001,,Maryland Unemployment Insurance,Chapter 8 Social Experiments in the Labor Market,https://doi.org10.1016/bs.hefe.2016.10.001
dataset-168,10.4073/csr.2015.2,"{'id': 'jour.1271731', 'title': 'Campbell Systematic Reviews'}",Maryland Unemployment Insurance,Active Labour Market Programme Participation for Unemployment Insurance Recipients: A Systematic Review,https://doi.org10.4073/csr.2015.2
dataset-168,10.1016/j.jpubeco.2014.03.006,"{'id': 'jour.1027390', 'title': 'Journal of Public Economics'}",Maryland Unemployment Insurance,Is it socially efficient to impose job search requirements on unemployed benefit claimants with hyperbolic preferences?,https://doi.org10.1016/j.jpubeco.2014.03.006
dataset-168,10.2139/ssrn.2512589,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Maryland Unemployment Insurance,Neglecting the 'L' in a Longitudinal Integrated Data System Can Be a Costly Mistake,https://doi.org10.2139/ssrn.2512589
dataset-168,10.2139/ssrn.2213916,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Maryland Unemployment Insurance,The Creation of New Administrative Data,https://doi.org10.2139/ssrn.2213916
dataset-168,10.2139/ssrn.2296100,"{'id': 'jour.1030324', 'title': 'Yale Journal of Health Policy, Law, and Ethics'}",Maryland Unemployment Insurance,Human Research Subjects as Human Research Workers,https://doi.org10.2139/ssrn.2296100
dataset-168,10.1111/j.1467-9914.2012.00545.x,"{'id': 'jour.1284492', 'title': 'Labour'}",Maryland Unemployment Insurance,"Vacancy Referrals, Job Search, and the Duration of Unemployment: A Randomized Experiment",https://doi.org10.1111/j.1467-9914.2012.00545.x
dataset-168,10.1016/j.labeco.2012.05.017,"{'id': 'jour.1041819', 'title': 'Labour Economics'}",Maryland Unemployment Insurance,Monitoring job search effort: An evaluation based on a regression discontinuity design,https://doi.org10.1016/j.labeco.2012.05.017
dataset-168,10.2139/ssrn.2512591,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Maryland Unemployment Insurance,"Repeated and Combined Participation in Workforce, Education and Social Program Services: Preliminary Evidence from Maryland Administrative Data Sources",https://doi.org10.2139/ssrn.2512591
dataset-168,10.2139/ssrn.1953301,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Maryland Unemployment Insurance,The Secular Rise in Unemployment Insurance Exhaustions and What Can Be Done About It,https://doi.org10.2139/ssrn.1953301
dataset-168,10.1787/5km4hd7r28f6-en,,Maryland Unemployment Insurance,Activation Policies in Switzerland,https://doi.org10.1787/5km4hd7r28f6-en
dataset-168,10.1007/s11113-009-9152-7,"{'id': 'jour.1094213', 'title': 'Population Research and Policy Review'}",Maryland Unemployment Insurance,The Impact of Local Labor Market Conditions on Work and Welfare Decisions: Revisiting an Old Question Using New Data,https://doi.org10.1007/s11113-009-9152-7
dataset-168,10.2139/ssrn.1711192,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Maryland Unemployment Insurance,Policies for Displaced Workers: An American Perspective,https://doi.org10.2139/ssrn.1711192
dataset-168,10.1016/j.jpubeco.2009.09.001,"{'id': 'jour.1027390', 'title': 'Journal of Public Economics'}",Maryland Unemployment Insurance,The long-term effects of job search requirements: Evidence from the UK JSA reform,https://doi.org10.1016/j.jpubeco.2009.09.001
dataset-168,10.1787/9789264068995-4-en,,Maryland Unemployment Insurance,Flexicurity and Activation in the Labour Market,https://doi.org10.1787/9789264068995-4-en
dataset-168,10.1016/j.labeco.2008.09.005,"{'id': 'jour.1041819', 'title': 'Labour Economics'}",Maryland Unemployment Insurance,You can't always get what you want: The impact of the UK Jobseeker's Allowance,https://doi.org10.1016/j.labeco.2008.09.005
