dataset,doi,journal,search_term,title,url
dataset-311,10.1377/hlthaff.2019.00840,Health Affairs,Medi-Cal data,Finding Shelter And Support Along The Road To Better Health,https://doi.org/10.1377/hlthaff.2019.00840
dataset-311,10.1016/j.ins.2019.01.070,Information Sciences,Medi-Cal data,A privacy-preserving cryptosystem for IoT E-healthcare,https://doi.org/10.1016/j.ins.2019.01.070
dataset-311,10.1016/j.imu.2019.100253,Informatics in Medicine Unlocked,Medi-Cal data,Medical data visual synchronization and information interaction using Internet-based graphics rendering and message-oriented streaming,https://doi.org/10.1016/j.imu.2019.100253
dataset-311,10.1371/journal.pmed.1002601,PLoS Medicine,Medi-Cal data,"The San Diego 2007 wildfires and Medi-Cal emergency department presentations, inpatient hospitalizations, and outpatient visits: An observational study of smoke exposure periods and a bidirectional case-crossover analysis",https://doi.org/10.1371/journal.pmed.1002601
dataset-311,10.5334/ijic.3719,International Journal of Integrated Care,Medi-Cal data,A Qualitative Study on Primary Care Integration into an Asian Immigrant-specific Behavioural Health Setting in the United States,https://doi.org/10.5334/ijic.3719
dataset-311,10.1158/1055-9965.epi-17-0220,Cancer Epidemiology Biomarkers & Prevention,Medi-Cal data,Medical Care Cost of Oropharyngeal Cancer among Texas Patients,https://doi.org/10.1158/1055-9965.epi-17-0220
dataset-311,10.1097/aog.0000000000002188,Obstetrics and Gynecology,Medi-Cal data,Distance Traveled for an Abortion and Source of Care After Abortion,https://doi.org/10.1097/aog.0000000000002188
dataset-311,10.1109/smarttechcon.2017.8358432,,Medi-Cal data,A Survey on Technique for Prediction of Disease in Medical Data,https://doi.org/10.1109/smarttechcon.2017.8358432
dataset-311,10.1007/s12325-017-0582-z,"{'id': 'jour.1096634', 'title': 'Advances in Therapy'}",Medi-Cal data,"Burden of Atopic Dermatitis in the United States: Analysis of Healthcare Claims Data in the Commercial, Medicare, and Medi-Cal Databases",https://doi.org/10.1007/s12325-017-0582-z
dataset-311,10.1080/0267257x.2017.1313301,"{'id': 'jour.1137869', 'title': 'Journal of Marketing Management'}",Medi-Cal data,Big Data is watching YOU: opportunities and challenges from the perspective of young adult consumers in Russia,https://doi.org/10.1080/0267257x.2017.1313301
dataset-311,10.3233/ch-1989-9505,"{'id': 'jour.1092621', 'title': 'Clinical Hemorheology and Microcirculation'}",Medi-Cal data,Validation of a method for erythrocyte aggregation measurement using light back-scattering,https://doi.org/10.3233/ch-1989-9505
dataset-311,10.1016/j.fertnstert.2016.08.050,"{'id': 'jour.1017430', 'title': 'Fertility and Sterility'}",Medi-Cal data,Utilization of fertility treatment and reproductive choices by lesbian couples,https://doi.org/10.1016/j.fertnstert.2016.08.050
dataset-311,10.5772/63772,,Medi-Cal data,Mesenchymal Stem Cells: Biological Characteristics and Potential Clinical Applications for Haematopoietic Stem Cell Transplantation,https://doi.org/10.5772/63772
dataset-311,10.1177/0194599815617752,"{'id': 'jour.1312301', 'title': 'Otolaryngology'}",Medi-Cal data,Ménière’s Disease,https://doi.org/10.1177/0194599815617752
dataset-311,10.1016/j.jval.2016.03.104,"{'id': 'jour.1020835', 'title': 'Value in Health'}",Medi-Cal data,PCV39 Annual Fatal and Non-Fatal Cardiovascular Event Costs among Non-Elderly Commercially Insured Adults with Hyperlipidemia in the United States,https://doi.org/10.1016/j.jval.2016.03.104
dataset-311,10.1016/j.jval.2016.03.107,"{'id': 'jour.1020835', 'title': 'Value in Health'}",Medi-Cal data,PCV42 Retrospective Analysis of the Economic Burden of Patients Diagnosed with Congestive Heart Failure in the California Medicaid Population,https://doi.org/10.1016/j.jval.2016.03.107
dataset-311,10.1016/j.jval.2016.03.105,"{'id': 'jour.1020835', 'title': 'Value in Health'}",Medi-Cal data,PCV40 Real-World Costs of Ischemic Stroke by Discharge Status,https://doi.org/10.1016/j.jval.2016.03.105
dataset-311,10.1016/j.jval.2016.03.102,"{'id': 'jour.1020835', 'title': 'Value in Health'}",Medi-Cal data,PCV37 Health Care Costs among Patients Diagnosed with Deep Vein Thrombosis in the Outpatient Setting and Treated with Rivaroxaban Versus Low-Molecular-Weight Heparin and Warfarin,https://doi.org/10.1016/j.jval.2016.03.102
dataset-311,10.1016/j.jval.2016.03.108,"{'id': 'jour.1020835', 'title': 'Value in Health'}",Medi-Cal data,PCV43 Evaluating the Economic Burden and Health Care Utilization of Coronary Artery Disease in the Us Medi-Cal Population,https://doi.org/10.1016/j.jval.2016.03.108
dataset-311,10.1016/j.jval.2016.03.106,"{'id': 'jour.1020835', 'title': 'Value in Health'}",Medi-Cal data,PCV41 Examination of the Economic Burden of Dyslipidemia in the Veterans Health Administration Population,https://doi.org/10.1016/j.jval.2016.03.106
