dataset,doi,journal,search_term,title
dataset-218,10.1016/j.jpsychires.2019.10.021,Journal of Psychiatric Research,Mental Health Initiative,"Correlates of nonmedical use of prescription opioids among a cohort of adolescents in Ontario, Canada"
dataset-218,10.1007/978-3-030-18435-3_1,,Mental Health Initiative,Population-Based Behavioral Health
dataset-218,10.1007/978-3-030-11908-9_19,,Mental Health Initiative,"Stigma as a Mental Health Policy Controversy: Positions, Options, and Strategies for Change"
dataset-218,10.1007/978-3-030-11908-9_5,,Mental Health Initiative,Balancing Access to Medications and Psychosocial Treatments
dataset-218,10.1016/b978-0-12-814309-4.00010-0,,Mental Health Initiative,Chapter 10 Telecare within different specialties
dataset-218,10.1007/978-3-030-18435-3,,Mental Health Initiative,Foundations of Behavioral Health
dataset-218,10.1007/978-3-030-11908-9_15,,Mental Health Initiative,What Is the Role of Schools in the Treatment of Children’s Mental Illness?
dataset-218,10.1007/978-3-030-11908-9,,Mental Health Initiative,The Palgrave Handbook of American Mental Health Policy
dataset-218,10.1108/jpmh-03-2019-0034,"{'id': 'jour.1035642', 'title': 'Journal of Public Mental Health'}",Mental Health Initiative,A spatial analysis of Los Angeles County’s burden of serious mental illness in relation to public mental health service providers
dataset-218,10.1186/s12889-019-7007-7,"{'id': 'jour.1024954', 'title': 'BMC Public Health'}",Mental Health Initiative,The integrated role of multiple healthy weight behaviours on overweight and obesity among adolescents: a cross-sectional study
dataset-218,10.1007/s10880-019-09614-6,"{'id': 'jour.1112438', 'title': 'Journal of Clinical Psychology in Medical Settings'}",Mental Health Initiative,Child–Parent Psychotherapy with Infants Hospitalized in the Neonatal Intensive Care Unit
dataset-218,10.1186/s12961-019-0423-4,"{'id': 'jour.1032049', 'title': 'Health Research Policy and Systems'}",Mental Health Initiative,Using narratives to impact health policy-making: a systematic review
dataset-218,10.1186/s13033-019-0268-9,"{'id': 'jour.1038091', 'title': 'International Journal of Mental Health Systems'}",Mental Health Initiative,Moving towards universal health coverage for mental disorders in Ethiopia
dataset-218,10.1007/s10995-019-02803-7,"{'id': 'jour.1117494', 'title': 'Maternal and Child Health Journal'}",Mental Health Initiative,Reports of Injury Risks and Reasons for Choice of Sleep Environments for Infants and Toddlers
dataset-218,10.1186/s12913-019-4360-2,"{'id': 'jour.1327417', 'title': 'BMC Health Services Research'}",Mental Health Initiative,Partners in Recovery: an early phase evaluation of an Australian mental health initiative using program logic and thematic analysis
dataset-218,10.1177/1354856517714168,"{'id': 'jour.1138940', 'title': 'Convergence The International Journal of Research into New Media Technologies'}",Mental Health Initiative,Celebrity enactments of addiction on Twitter
dataset-218,10.1007/s00737-019-00963-7,"{'id': 'jour.1119257', 'title': ""Archives of Women's Mental Health""}",Mental Health Initiative,Prenatal maternal personality as an early predictor of vulnerable parenting style
dataset-218,10.1111/ap.12393,"{'id': 'jour.1015629', 'title': 'Australian Psychologist'}",Mental Health Initiative,Challenges facing Australian counselling psychologists: A qualitative analysis
dataset-218,10.1017/s2045796018000392,"{'id': 'jour.1045173', 'title': 'Epidemiology and Psychiatric Sciences'}",Mental Health Initiative,Changes in socioeconomic position among individuals with mental disorders during the economic recession in Portugal: a follow-up of the National Mental Health Survey
dataset-218,10.1186/s12888-019-2244-y,"{'id': 'jour.1024952', 'title': 'BMC Psychiatry'}",Mental Health Initiative,Clinical and cost-effectiveness of guided internet-based interventions in the indicated prevention of depression in green professions (PROD-A): study protocol of a 36-month follow-up pragmatic randomized controlled trial
