dataset,doi,journal,search_term,title
dataset-176,10.4324/9781315256900,,Minnesota Unemployment Insurance,Effective Interventions for Children in Need
dataset-176,10.1016/bs.hefe.2016.10.001,,Minnesota Unemployment Insurance,Chapter 8 Social Experiments in the Labor Market
dataset-176,10.2139/ssrn.2670020,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Minnesota Unemployment Insurance,"Picasso on Staff: Employee Classification, Copyrights, and the Creative Process"
dataset-176,10.2139/ssrn.2056040,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Minnesota Unemployment Insurance,What Strategies Work for the Hard-to-Employ? Final Results of the Hard-to-Employ Demonstration and Evaluation Project and Selected Sites from the Employment Retention and Advancement Project
dataset-176,10.1177/0899764010365012,"{'id': 'jour.1129688', 'title': 'Nonprofit and Voluntary Sector Quarterly'}",Minnesota Unemployment Insurance,A Sectoral Comparison of Wage Levels and Wage Inequality in Human Services Industries
dataset-176,10.1002/ir.355,"{'id': 'jour.1124129', 'title': 'New Directions for Institutional Research'}",Minnesota Unemployment Insurance,"The benefits of a comprehensive, integrated, and granular data system for community and technical college institutional research"
dataset-176,10.1002/ajim.20763,"{'id': 'jour.1092041', 'title': 'American Journal of Industrial Medicine'}",Minnesota Unemployment Insurance,The law and incomplete database information as confounders in epidemiologic research on occupational injuries and illnesses
dataset-176,10.1002/ert.20191,"{'id': 'jour.1128023', 'title': 'Employment Relations Today'}",Minnesota Unemployment Insurance,Undocumented‐worker laws on the rise: State solutions to a national issue
dataset-176,10.1037/0021-9010.90.3.411,"{'id': 'jour.1012536', 'title': 'Journal of Applied Psychology'}",Minnesota Unemployment Insurance,Job-Search Persistence During Unemployment: A 10-Wave Longitudinal Study.
dataset-176,10.1111/1467-8624.00619,"{'id': 'jour.1017399', 'title': 'Child Development'}",Minnesota Unemployment Insurance,Effects of Earnings‐Supplement Policies on Adult Economic and Middle‐Childhood Outcomes Differ for the “Hardest to Employ”
dataset-176,10.1037/0021-9010.87.6.1100,"{'id': 'jour.1012536', 'title': 'Journal of Applied Psychology'}",Minnesota Unemployment Insurance,Predictive validity of a multidisciplinary model of reemployment success.
dataset-176,10.1111/1467-8624.00426,"{'id': 'jour.1017399', 'title': 'Child Development'}",Minnesota Unemployment Insurance,Children and Welfare Reform: A View from an Experimental Welfare Program in Minnesota
dataset-176,10.1037/0021-9010.85.4.491,"{'id': 'jour.1012536', 'title': 'Journal of Applied Psychology'}",Minnesota Unemployment Insurance,Predictors and outcomes of networking intensity among unemployed job seekers.
