dataset,doi,journal,search_term,title,URL,Validation,If appears as a reference,Reference
dataset-207,10.1007/s10964-019-01156-2,Journal of Youth and Adolescence,National Center for Education Statistics Data,Creating Supportive Contexts for Early Adolescents during the First Year of Middle School: Impact of a Developmentally Responsive Multi-Component Intervention,https://link.springer.com/article/10.1007/s10964-019-01156-2,Yes,,
dataset-207,10.15585/mmwr.mm6840a4,Morbidity and Mortality Weekly Report(MMWR ),National Center for Education Statistics Data,"Notes from the Field: Environmental Contamination from E-cigarette, Cigarette, Cigar, and Cannabis Products at 12 High Schools - San Francisco Bay Area, 2018-2019",https://www.cdc.gov/mmwr/volumes/68/wr/mm6840a4.htm?s_cid=mm6840a4_x,Yes,,
dataset-207,10.1037/cdp0000250,Cultural Diversity & Ethnic Minority Psychology,National Center for Education Statistics Data,Cultural revitalization as a restorative process to combat racial and cultural trauma and promote living well.,https://psycnet.apa.org/fulltext/2019-06277-001.html,Yes,,
dataset-207,10.1111/josh.12790,Journal of School Health,National Center for Education Statistics Data,Training High School Student ¡°Citizen Scientists¡± to Document School Water Access: A Feasibility Study,https://onlinelibrary.wiley.com/doi/full/10.1111/josh.12790,Yes,,
dataset-207,10.1111/1467-923x.12689,The Political Quarterly,National Center for Education Statistics Data,Skunks in an English Woodland: Should England Embrace For©\Profit Higher Education?,https://onlinelibrary.wiley.com/doi/full/10.1111/1467-923X.12689,Yes,,
dataset-207,10.1377/hlthaff.2018.05472,Health Affairs,National Center for Education Statistics Data,Twenty Years Of School-Based Health Care Growth And Expansion,https://www.healthaffairs.org/doi/full/10.1377/hlthaff.2018.05472,Yes,,
dataset-207,10.1007/s40615-018-0515-9,Journal of Racial and Ethnic Health Disparities,National Center for Education Statistics Data,A Health Professions Pipeline for Underrepresented Students: Middle and High School Initiatives,https://link.springer.com/article/10.1007/s40615-018-0515-9,Yes,,
dataset-207,10.15585/mmwr.mm6803a1,MMWR Morbidity and Mortality Weekly Report,National Center for Education Statistics Data,"Characteristics of School-Associated Youth Homicides - United States, 1994 - 2018",https://www.cdc.gov/mmwr/volumes/68/wr/mm6803a1.htm,Yes,,
dataset-207,10.2139/ssrn.3480528,SSRN Electronic Journal,National Center for Education Statistics Data,Does Pollution Drive Achievement? The Effect of Traffic Pollution on Academic Performance,https://www.nber.org/papers/w25489.pdf,Yes,,
dataset-207,10.1080/07418825.2018.1524509,Justice Quarterly,National Center for Education Statistics Data,"Not ¡°That Kind of Cop¡±: Exploring How Officers Adapt Approaches, Attitudes, and Self-concepts in School Settings",https://www.tandfonline.com/doi/full/10.1080/07418825.2018.1524509,Yes,,
dataset-207,10.1002/nsr.30414,Recruiting & Retaining Adult Learners,National Center for Education Statistics Data,Follow best practices to recruit transfer students,https://onlinelibrary.wiley.com/doi/full/10.1002/emt.30478,Yes,,
dataset-207,10.1177/0192513x18806025,Journal of Family Issues,National Center for Education Statistics Data,Who Cares? Motivations for Unregulated Child Care Use,https://journals.sagepub.com/doi/full/10.1177/0192513X18806025,Yes,,
