dataset,doi,journal,search_term,title,dataset_used?,notes
dataset-245,10.1177/1049731516630385,Research on Social Work Practice,New Jersey Unemployment Insurance,Active Labour Market Programme Participation for Unemployment Insurance Recipients,no,reference matches search_term
dataset-245,10.1177/2333721418800064,Gerontology and Geriatric Medicine,New Jersey Unemployment Insurance,Public Employment Policy for an Aging Workforce,no,reference matches search_term
dataset-245,10.2139/ssrn.3039515,SSRN Electronic Journal,New Jersey Unemployment Insurance,Evaluating Public Employment Programs with Field Experiments: A Survey of American Evidence,no,reference matches search_term
dataset-245,10.2139/ssrn.2952304,SSRN Electronic Journal,New Jersey Unemployment Insurance,"The Employment Service-Unemployment Insurance Partnership: Origin, Evolution, and Revitalization.",no,reference matches search_term
dataset-245,10.1177/0193841x14564154,Evaluation Review,New Jersey Unemployment Insurance,Do Estimated Impacts on Earnings Depend on the Source of the Data Used to Measure Them? Evidence From Previous Social Experiments,no,reference matches search_term
dataset-245,10.4073/csr.2015.2,Campbell Systematic Reviews,New Jersey Unemployment Insurance,Active Labour Market Programme Participation for Unemployment Insurance Recipients: A Systematic Review,no,reference matches search_term
dataset-245,10.1007/s12651-013-0133-2,Journal for Labour Market Research,New Jersey Unemployment Insurance,Replication issues in social experiments: lessons from US labor market programs,no,reference matches search_term
dataset-245,10.2139/ssrn.2274325,SSRN Electronic Journal,New Jersey Unemployment Insurance,Replication Issues in Social Experiments: Lessons from U.S. Labor Market Programs,no,reference matches search_term
dataset-245,10.1002/pam.20597,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,Ten years of the Workforce Investment Act (WIA): Interpreting the research on WIA and related programs,no,reference matches search_term
dataset-245,10.2139/ssrn.1760130,SSRN Electronic Journal,New Jersey Unemployment Insurance,Strengthening Unemployment Insurance for the 21st Century: A Roundtable Report,no,reference matches search_term
dataset-245,10.2139/ssrn.1953301,SSRN Electronic Journal,New Jersey Unemployment Insurance,The Secular Rise in Unemployment Insurance Exhaustions and What Can Be Done About It,maybe,paywall
dataset-245,10.2139/ssrn.1711192,SSRN Electronic Journal,New Jersey Unemployment Insurance,Policies for Displaced Workers: An American Perspective,no,reference matches search_term
dataset-245,10.1002/pam.20408,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,Some empirically viable alternatives to random assignment,no,reference matches search_term
dataset-245,10.1002/pam.20414,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,"Get the question right, then choose the method",no,reference matches search_term
dataset-245,10.1002/pam.20409,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,Managing applied research in federal employment policy,no,reference matches search_term
dataset-245,10.1002/pam.20411,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,Are the alternatives to randomized assignment nearly as good? Statistical corrections to nonrandomized evaluations,no,reference matches search_term
dataset-245,10.1002/pam.20416,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,Reply comments,no,reference matches search_term
dataset-245,10.1002/pam.20413,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,The crowding out hypothesis,no,reference matches search_term
dataset-245,10.1002/pam.20410,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,Comment on random assignment in policy research,no,reference matches search_term
dataset-245,10.1002/pam.20407,Journal of Policy Analysis and Management,New Jersey Unemployment Insurance,The role of random assignment in social policy research,no,reference matches search_term
