dataset,doi,journal,search_term,title,url
dataset-328,10.1111/ecin.12837,Economic Inquiry,Quarterly Census of Employment and Wages,"BAN THE BOX, CONVICTIONS, AND PUBLIC EMPLOYMENT",https://doi.org/10.1111/ecin.12837
dataset-328,10.1525/9780520957466-009,,Quarterly Census of Employment and Wages,Chapter 5. Health Spending Requirements in San Francisco,https://doi.org/10.1525/9780520957466-009
dataset-328,10.1525/9780520957466-004,,Quarterly Census of Employment and Wages,Abbreviations and Glossary,https://doi.org/10.1525/9780520957466-004
dataset-328,10.1525/9780520957466-012,,Quarterly Census of Employment and Wages,Chapter 8. Enforcement of Labor Standards,https://doi.org/10.1525/9780520957466-012
dataset-328,10.1525/9780520957466-005,,Quarterly Census of Employment and Wages,Chapter 1. When Do Mandates Work?,https://doi.org/10.1525/9780520957466-005
dataset-328,10.1525/9780520957466-006,,Quarterly Census of Employment and Wages,Chapter 2. Labor Market Impacts of San Francisco’s Minimum Wage,https://doi.org/10.1525/9780520957466-006
dataset-328,10.1525/9780520957466-015,,Quarterly Census of Employment and Wages,Chapter 11. Mandates: Lessons Learned and Future Prospects,https://doi.org/10.1525/9780520957466-015
dataset-328,10.1016/j.jhealeco.2019.102231,"{'id': 'jour.1094887', 'title': 'Journal of Health Economics'}",Quarterly Census of Employment and Wages,"Local Food Prices, SNAP Purchasing Power, and Child Health",https://doi.org/10.1016/j.jhealeco.2019.102231
dataset-328,10.1016/j.mehy.2019.109398,"{'id': 'jour.1082814', 'title': 'Medical Hypotheses'}",Quarterly Census of Employment and Wages,"Predicted Economic Damage from a Quick, Simple Alzheimer's Disease Cure",https://doi.org/10.1016/j.mehy.2019.109398
dataset-328,10.1111/pbaf.12244,"{'id': 'jour.1138496', 'title': 'Public Budgeting & Finance'}",Quarterly Census of Employment and Wages,Alternative Methods of Experience Rating Unemployment Insurance Employer Taxes,https://doi.org/10.1111/pbaf.12244
dataset-328,10.1513/annalsats.201905-401oc,"{'id': 'jour.1047921', 'title': 'Annals of the American Thoracic Society'}",Quarterly Census of Employment and Wages,"The Burden of Work-Related Asthma in Michigan, 1988-2018",https://doi.org/10.1513/annalsats.201905-401oc
dataset-328,10.1016/j.labeco.2019.101769,"{'id': 'jour.1041819', 'title': 'Labour Economics'}",Quarterly Census of Employment and Wages,No More Credit Score”: Employer Credit Check Bans and Signal Substitution,https://doi.org/10.1016/j.labeco.2019.101769
dataset-328,10.1111/joms.12400,"{'id': 'jour.1137567', 'title': 'Journal of Management Studies'}",Quarterly Census of Employment and Wages,Through the Looking‐Glass: The Impact of Regional Institutional Logics and Knowledge Pool Characteristics on Opportunity Recognition and Market Entry,https://doi.org/10.1111/joms.12400
dataset-328,10.1177/0891242419873405,"{'id': 'jour.1138922', 'title': 'Economic Development Quarterly'}",Quarterly Census of Employment and Wages,"The Causal Linkages Among Arts, Knowledge Employment, and Local Economic Performance",https://doi.org/10.1177/0891242419873405
dataset-328,10.1016/j.jeem.2019.102265,"{'id': 'jour.1120840', 'title': 'Journal of Environmental Economics and Management'}",Quarterly Census of Employment and Wages,"Environmental disaster, pollution and infant health: Evidence from the Deepwater Horizon oil spill",https://doi.org/10.1016/j.jeem.2019.102265
dataset-328,10.1080/00130095.2019.1665465,"{'id': 'jour.1327420', 'title': 'Economic Geography'}",Quarterly Census of Employment and Wages,Outward Foreign Direct Investments as a Catalyst of Urban-Regional Income Development? Evidence from the United States,https://doi.org/10.1080/00130095.2019.1665465
dataset-328,10.1111/puar.13110,"{'id': 'jour.1005766', 'title': 'Public Administration Review'}",Quarterly Census of Employment and Wages,Entrepreneurship among Nonprofit Arts Organizations: Substituting between Wage and Flexible Labor,https://doi.org/10.1111/puar.13110
dataset-328,10.1111/ruso.12306,"{'id': 'jour.1005696', 'title': 'Rural Sociology'}",Quarterly Census of Employment and Wages,"The Shale Boom and Family Structure: Oil and Gas Employment Growth Relationship to Marriage, Divorce, and Cohabitation",https://doi.org/10.1111/ruso.12306
dataset-328,10.1080/1059924x.2019.1639574,"{'id': 'jour.1105642', 'title': 'Journal of Agromedicine'}",Quarterly Census of Employment and Wages,Occupational Safety and Health in U.S. Aquaculture: A Review,https://doi.org/10.1080/1059924x.2019.1639574
dataset-328,10.1080/1059924x.2019.1639578,"{'id': 'jour.1105642', 'title': 'Journal of Agromedicine'}",Quarterly Census of Employment and Wages,Safety and Health Programs in Alaska’s Seafood Processing Industry: Interviews with Safety and Health Managers,https://doi.org/10.1080/1059924x.2019.1639578
