dataset,doi,journal,search_term,title,url
dataset-043,10.1093/ajcn/61.1.173S,,School Nutrition Dietary Assessment Study,The School Nutrition Dietary Assessment Study,https://www.researchgate.net/publication/15367383_The_School_Nutrition_Dietary_Assessment_Study?_sg=aM_K99gjHUlBxa9hINWsK7HTrkScUjG9j1KFeeLruGI5jnJuvKdHDHMTO4CaAsuELhQe0zK_1c8sir4
dataset-043,10.1093/ajcn/61.1.252S,,School Nutrition Dietary Assessment Study,The School Nutrition Dietary Assessment Study: Summary and discussion,https://www.researchgate.net/publication/15367397_The_School_Nutrition_Dietary_Assessment_Study_Summary_and_discussion?_sg=z95N-E7eJ1CxhqJzLuMP3VpAKM7vw1zoFW1zTjsxiGteVhD7pnETeVBhpD-2a08SWiZJ2OBeKBEKiiE
dataset-043,10.1093/ajcn/61.1.178S,,School Nutrition Dietary Assessment Study,Background of the School Nutrition Dietary Assessment Study,https://www.researchgate.net/publication/15367385_Background_of_the_School_Nutrition_Dietary_Assessment_Study?_sg=Mk8si8PvBrz4UvSBU5r3F-p7bw_zJaTxF13KfcFLthNK4sspiDkKnOpDViQ52_hccoL_-iwlk9Cci6g
dataset-043,10.1016/j.jada.2008.10.066,,School Nutrition Dietary Assessment Study,The Third School Nutrition Dietary Assessment Study: Summary and Implications,https://www.researchgate.net/publication/51435594_The_Third_School_Nutrition_Dietary_Assessment_Study_Summary_and_Implications?_sg=0t2JpBPim0hkgTi2SKyXVWvu-i9nPQiaslekwYRTKPv32RWt1julvDDwlRewUC4FZeoS8yx_bDWfIPM
dataset-043,10.1016/j.jada.2008.10.057,,School Nutrition Dietary Assessment Study,The Third School Nutrition Dietary Assessment Study: Background and Study Design,https://www.researchgate.net/publication/51435597_The_Third_School_Nutrition_Dietary_Assessment_Study_Background_and_Study_Design?_sg=RSqrEdSzczoHPREFZM_5AjUP8gtizS-KOA_DwMemwN4Uksjvvpd50ZwTw5INJkiJb6nxZjOGAVDsCvE
dataset-043,10.1016/j.jada.2008.11.006,,School Nutrition Dietary Assessment Study,A Practice Perspective on the Third School Nutrition Dietary Assessment Study,https://www.researchgate.net/publication/51435595_A_Practice_Perspective_on_the_Third_School_Nutrition_Dietary_Assessment_Study?_sg=nSbYVrbCwbTFqPX6DATBwduEdAZxO8P8mqqawGuk4K0F11YpH-quv_Q_NwHT5tlNC3v8mAuBO4VXKXs
dataset-043,,,School Nutrition Dietary Assessment Study,School Nutrition Dietary Assessment Study-III: Summary of Findings,https://www.researchgate.net/publication/239808457_School_Nutrition_Dietary_Assessment_Study-III_Summary_of_Findings?_sg=kYiOA_rFR0dutv8RMbC-SzSIQrVXEtnq_9kof5HqvfPKDx_cmUG9A7XdNL9FrUEG-h0QJFU5zwJs5Kg
dataset-043,10.1093/ajcn/61.1.182S,,School Nutrition Dietary Assessment Study,School Nutrition Dietary Assessment Study: Overview of the study design,https://www.researchgate.net/publication/15367386_School_Nutrition_Dietary_Assessment_Study_Overview_of_the_study_design?_sg=sV70hDwuqE4f-ORcmUME8dOBHA_H5IFQgoqbCuFtzcmKw6UQxIr9fOy1_VjTA1pHAXzr18wRTZjYvR0
dataset-043,,,School Nutrition Dietary Assessment Study,School nutrition dietary assessment study-II : final report.,https://www.researchgate.net/publication/43289474_School_nutrition_dietary_assessment_study-II_final_report?_sg=8s_N9WcVrLdeHRRl_AGkFkyqDwkiW-5wmkssAeSfuFtiHI9TrUpQrw2t6EtXJb23Uqu7xcuL63iTNrw
dataset-043,,,School Nutrition Dietary Assessment Study,The school nutrition dietary assessment study data collection and sampling.,https://www.researchgate.net/publication/48854550_The_school_nutrition_dietary_assessment_study_data_collection_and_sampling?_sg=5m6Y8zJyYcdylGUFnoLHiWPMYvg1mpdTSMDlnuJSZVJ9gGHFjXKlU7oqLQ1wuyIS6LpuTlBSFq8vrPo
dataset-043,10.5993/ajhb.43.6.4,American Journal of Health Behavior,School Nutrition Dietary Assessment Study,"Promoting Cooking, Nutrition, and Physical Activity in Afterschool Settings",
dataset-043,10.1111/chso.12336,Children & Society,School Nutrition Dietary Assessment Study,"School Meals and Food Poverty: Children’s Views, Parents’ Perspectives and the Role of School",
