dataset,dataset_string,dataset_title,doi,journal,title,notes
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1186/s12052-019-0110-5,Evolution: Education and Outreach,"African Americans in evolutionary science: where we have been, and whatâ€™s next",
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11162-019-09583-7,Research in Higher Education,Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1101/785717,bioRxiv,Policy should change to improve invited speaker diversity and reflect trainee diversity,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/10899995.2019.1621714,Journal of Geoscience Education,Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1177/0019793918819809,ILR Review,Academic Entrepreneurship: The Bayh-Dole Act versus the Professorâ€™s Privilege,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1101/751867,bioRxiv,A data-based guide to the North American ecology faculty job market,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1002/he.20336,New Directions for Higher Education,Developing an Indigenous Knowledge Field Camp,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Why foreign STEM PhDs are unlikely to work for US technology startups,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"On the nexus between innovation, productivity and migration of US university graduates",
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1038/s41587-019-0173-4,Nature Biotechnology,Biobusiness consulting to prepare scientists for industry careers,
dataset-371,N/A,Survey of Doctorate Recipients,10.17226/5751,National Research Council (US) Committee on National Needs for Biomedical and Behavioral Research Personnel,The Use of Multi-State Life Tables in Estimating Places for Biomedical and Behavioral Scientists,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1371/journal.pone.0154741,PLOS One,Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1073/pnas.88.3.713,Proceedings of the National Academy of Sciences of the United States of America,Measuring time to the doctorate: reinterpretation of the evidence.,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1080/10438590600982806,Economics of Innovation and New Technology,WHO'S PATENTING IN THE UNIVERSITY? EVIDENCE FROM THE SURVEY OF DOCTORATE RECIPIENTS,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information,"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/0002716204268744,The American Academy of Political and Social Science,Marriage and Baby Blues: Redefining Gender Equity in the Academy,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.2139/ssrn.267533,The Journal of Human Resources,Gender Differences in Salary and Promotion in the Humanities,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1023/A:1016694701704,Journal of Science and Technology,Factors in Decisions of Underrepresented Minorities to Forego Science and Engineering Doctoral Study: A Pilot Study,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/0002764209356236,American Behavioral Scientist,"Diversifying Science and Engineering Faculties: Intersections of Race, Ethnicity, and Gender",manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1007/s11162-007-9055-6,Research in Higher Education,Foreign-born academic scientists and engineers: producing more and getting less than their U.S.-born peers?,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1073/pnas.1611748114,Proceedings of the National Academy of Sciences of the United States of America,Why the US science and engineering workforce is aging rapidly,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/1529100614541236,Psychological Science in the Public Interest,Women in Academic Science: A Changing Landscape,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1080/03098265.2012.729563,Journal of Geography in Higher Education,"Career goals, pathways and competencies of geography graduate students in the USA",manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1177/2374289518775948,Academic Pathology,The Pathology Workforce and Clinical Licensure: The Role of the PhD Clinical Laboratorian in the United States,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.3389/fpsyg.2015.00037,Frontiers in Psychology,The bachelor’s to Ph.D. STEM pipeline no longer leaks more women than men: a 30-year analysis,manually collected
dataset-371,N/A,Survey of Doctorate Recipients,10.1016/j.respol.2014.12.013,Research Policy,"New linked data on research investments: Scientific workforce, productivity, and public value",manually collected
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s10961-018-9659-3,The Journal of Technology Transfer,A conceptual framework for studying science research careers,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s10109-018-0281-6,Journal of Geographical Systems,Are foreign-born researchers more innovative? Self-selection and the production of knowledge among PhD recipients in the USA,
dataset-371,Survey of Doctorate Recipients,Survey of Doctorate Recipients,10.1007/s11162-019-09584-6,Research in Higher Education,University and Department Influences on Scientistsâ€™ Occupational Outcomes,
