dataset,doi,journal,search_term,title
dataset-027,10.1007/s00148-019-00735-8,Journal of Population Economics,Survey of Income and Program Participation,The nativity wealth gap in Europe: a matching approach
dataset-027,10.1016/j.socscimed.2019.112647,Social Science & Medicine,Survey of Income and Program Participation,Health status changes with transitory disability over time
dataset-027,10.1590/1982-0216/202022111518,Revista CEFAC,Survey of Income and Program Participation,Applicability of the ICF-CY in evaluating children with disabilities and family support: an integrative literature review
dataset-027,10.1525/9780520958494-005,,Survey of Income and Program Participation,4. Use of Existing Health Information Systems in Europe to Study Migrant Health
dataset-027,10.7591/9781501724244-015,,Survey of Income and Program Participation,13. What Do Unions Do for Women?
dataset-027,10.7591/9781501720864-002,,Survey of Income and Program Participation,INTRODUCTION. Controversy and Challenges Raised by Contingent Work Arrangements Kathleen Barker and Kathleen Christensen
dataset-027,10.7591/9781501720864-005,,Survey of Income and Program Participation,"CHAPTER 3. Gauging the Consequences for Gender Relations, Pay Equity, and the Public Purse"
dataset-027,10.7591/9781501720864-015,,Survey of Income and Program Participation,CHAPTER 13. Charting Future Research
dataset-027,10.1177/0192513x19860186,"{'id': 'jour.1091259', 'title': 'Journal of Family Issues'}",Survey of Income and Program Participation,Entry and Stability of Cross-National Marriages in the United States
dataset-027,10.1007/s11150-019-09459-w,"{'id': 'jour.1042479', 'title': 'Review of Economics of the Household'}",Survey of Income and Program Participation,The effects of the 2010 Affordable Care Act dependent care provision on family structure and public program participation among young adults
dataset-027,10.1111/bjir.12469,"{'id': 'jour.1028729', 'title': 'British Journal of Industrial Relations'}",Survey of Income and Program Participation,Occupational Licensing and the Earnings Premium in the United States: Updated Evidence from the Current Population Survey
dataset-027,10.1186/s13030-019-0147-2,"{'id': 'jour.1037697', 'title': 'BioPsychoSocial Medicine'}",Survey of Income and Program Participation,Psychosocial factors related with caregiver burden among families of children with chronic conditions
dataset-027,10.1016/j.jhealeco.2019.102231,"{'id': 'jour.1094887', 'title': 'Journal of Health Economics'}",Survey of Income and Program Participation,"Local Food Prices, SNAP Purchasing Power, and Child Health"
dataset-027,10.1007/s00180-019-00882-2,"{'id': 'jour.1038958', 'title': 'Computational Statistics'}",Survey of Income and Program Participation,Consistency of survey opinions and external data
dataset-027,10.1016/j.jmacro.2019.103157,"{'id': 'jour.1027981', 'title': 'Journal of Macroeconomics'}",Survey of Income and Program Participation,"Sticky Wages, Private Consumption, and Fiscal Multipliers"
dataset-027,10.1111/bjir.12442,"{'id': 'jour.1028729', 'title': 'British Journal of Industrial Relations'}",Survey of Income and Program Participation,Effects of Occupational Licensing and Unions on Labour Market Earnings in Canada
dataset-027,10.1016/j.socscimed.2019.112636,"{'id': 'jour.1093956', 'title': 'Social Science & Medicine'}",Survey of Income and Program Participation,Mobility impairments and geographic variation in vulnerability to household food insecurity
dataset-027,10.1016/j.jpubeco.2019.104086,"{'id': 'jour.1027390', 'title': 'Journal of Public Economics'}",Survey of Income and Program Participation,"Pink work: Same-sex marriage, employment and discrimination"
dataset-027,10.1016/j.pmedr.2019.100962,"{'id': 'jour.1050839', 'title': 'Preventive Medicine Reports'}",Survey of Income and Program Participation,Gender differences in the association between modifiable risk factors and financial hardship among middle-aged and older adults
dataset-027,10.1016/j.labeco.2019.101759,"{'id': 'jour.1041819', 'title': 'Labour Economics'}",Survey of Income and Program Participation,The Effect of Post-Baccalaureate Business Certificates on Job Search: Results from a Correspondence Study
