dataset,doi,journal,search_term,title,url
dataset-195,10.1186/s40352-018-0082-5,Health & Justice,Survey of Inmates in State Correctional Facilities,Mental and physical health in prison: how co-occurring conditions influence inmate misconduct,https://doi.org/10.1186/s40352-018-0082-5
dataset-195,10.1016/j.ijlcj.2019.100346,International Journal of Law Crime and Justice,Survey of Inmates in State Correctional Facilities,"Victimization, fear of crime, procedural injustice and inmate misconduct: An application of general strain theory in South Korea",https://doi.org/10.1016/j.ijlcj.2019.100346
dataset-195,10.1080/01924036.2019.1566081,International Journal of Comparative and Applied Criminal Justice,Survey of Inmates in State Correctional Facilities,"Prison misconduct among female inmates with mental disorders, substance abuse/dependence, and co-occurring disorders in Taiwan",https://doi.org/10.1080/01924036.2019.1566081
dataset-195,10.1080/23774657.2019.1623134,Corrections,Survey of Inmates in State Correctional Facilities,Individual Factors Associated with Women’s Use of Mental Health Services during Incarceration: Targeting Programmatic Resources,https://doi.org/10.1080/23774657.2019.1623134
dataset-195,10.1177/0032885519836996,The Prison Journal,Survey of Inmates in State Correctional Facilities,Parents in Prison and Their Minor Children: Comparisons Between State and National Estimates,https://doi.org/10.1177/0032885519836996
dataset-195,10.1080/13552600.2019.1611959,Journal of Sexual Aggression,Survey of Inmates in State Correctional Facilities,An analysis of self-reported suicide attempts and ideation in a national sample of incarcerated individuals convicted of sexual crimes,https://doi.org/10.1080/13552600.2019.1611959
dataset-195,10.1177/2156869318785424,Society and Mental Health,Survey of Inmates in State Correctional Facilities,Inmate Mental Health and the Pains of Imprisonment,https://doi.org/10.1177/2156869318785424
dataset-195,10.1111/1745-9125.12199,Criminology,Survey of Inmates in State Correctional Facilities,Beyond the dichotomy: Incarceration dosage and mental health*,https://doi.org/10.1111/1745-9125.12199
dataset-195,10.1007/s11113-018-9496-y,Population Research and Policy Review,Survey of Inmates in State Correctional Facilities,Education and Health Conditions Among the Currently Incarcerated and the Non-incarcerated Populations,https://doi.org/10.1007/s11113-018-9496-y
dataset-195,10.1080/08974454.2018.1443870,Women & Criminal Justice,Survey of Inmates in State Correctional Facilities,Examining Predictors of Depression Among Older Incarcerated Women,https://doi.org/10.1080/08974454.2018.1443870
dataset-195,10.1016/j.ijlp.2018.10.004,International Journal of Law and Psychiatry,Survey of Inmates in State Correctional Facilities,Substance use and other mental health disorders among older prisoners,https://doi.org/10.1016/j.ijlp.2018.10.004
dataset-195,10.1007/978-3-030-16707-3,,Survey of Inmates in State Correctional Facilities,"Handbook on Children with Incarcerated Parents, Research, Policy, and Practice",https://doi.org/10.1007/978-3-030-16707-3
dataset-195,10.1007/978-3-030-16707-3_10,,Survey of Inmates in State Correctional Facilities,Parent–Child Visits When Parents Are Incarcerated in Prison or Jail,https://doi.org/10.1007/978-3-030-16707-3_10
dataset-195,10.1177/0093854818775467,"{'id': 'jour.1019872', 'title': 'Criminal Justice and Behavior'}",Survey of Inmates in State Correctional Facilities,Assessing the Relationship Between Physical Health and Inmate Misconduct,https://doi.org/10.1177/0093854818775467
dataset-195,10.1111/1745-9125.12187,"{'id': 'jour.1014338', 'title': 'Criminology'}",Survey of Inmates in State Correctional Facilities,THE TRADE IN TOOLS: THE MARKET FOR ILLICIT GUNS IN HIGH‐RISK NETWORKS,https://doi.org/10.1111/1745-9125.12187
dataset-195,10.1111/1745-9133.12359,"{'id': 'jour.1030384', 'title': 'Criminology & Public Policy'}",Survey of Inmates in State Correctional Facilities,Challenge of Firearms Control in a Free Society,https://doi.org/10.1111/1745-9133.12359
dataset-195,10.1146/annurev-criminol-032317-092149,"{'id': 'jour.1299663', 'title': 'Annual Review of Criminology'}",Survey of Inmates in State Correctional Facilities,Gun Markets,https://doi.org/10.1146/annurev-criminol-032317-092149
dataset-195,10.1146/annurev-criminol-032317-091915,"{'id': 'jour.1299663', 'title': 'Annual Review of Criminology'}",Survey of Inmates in State Correctional Facilities,Monetary Sanctions: Legal Financial Obligations in US Systems of Justice,https://doi.org/10.1146/annurev-criminol-032317-091915
dataset-195,10.2139/ssrn.3294297,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Survey of Inmates in State Correctional Facilities,"Interstate Gun Movement Is Almost Entirely Due to Migration, Not Gun Trafficking",https://doi.org/10.2139/ssrn.3294297
dataset-195,10.1186/s40352-017-0052-3,"{'id': 'jour.1049700', 'title': 'Health & Justice'}",Survey of Inmates in State Correctional Facilities,Health care needs and service use among male prison inmates in the United States: A multi-level behavioral model of prison health service utilization,https://doi.org/10.1186/s40352-017-0052-3
