dataset,doi,journal,search_term,title
dataset-071,10.1007/978-981-13-8610-7_3,,Temporary Assistance for Needy Families,United States Issues in Elder Abuse
dataset-071,10.1007/978-3-030-24043-1,,Temporary Assistance for Needy Families,New and Emerging Issues in Latinx Health
dataset-071,10.1007/978-3-030-26759-9_21,,Temporary Assistance for Needy Families,Some Ways of Environmentally Sustainable Agriculture Production in the Context of Global Market and Natural Barriers
dataset-071,10.1007/978-981-13-8610-7,,Temporary Assistance for Needy Families,International Handbook of Elder Abuse and Mistreatment
dataset-071,10.1007/978-3-030-24043-1_15,,Temporary Assistance for Needy Families,Divergent Dilemma: The Reconceptualization and Critical Use of Acculturation in Latinx Health Research
dataset-071,10.1007/978-3-030-26759-9,,Temporary Assistance for Needy Families,"International Business, Trade and Institutional Sustainability"
dataset-071,10.7591/9781501728891-005,,Temporary Assistance for Needy Families,4. Welfare and Work
dataset-071,10.7591/9781501728891-001,,Temporary Assistance for Needy Families,Introduction
dataset-071,10.1525/9780520963474-013,,Temporary Assistance for Needy Families,11. The Sociology of Subnational Development: Conceptual and Empirical Foundations
dataset-071,10.7591/9781501724077-020,,Temporary Assistance for Needy Families,15. Commodification and Women's Household Labor
dataset-071,10.1525/9780520968301-008,,Temporary Assistance for Needy Families,EDITORS’ NOTE
dataset-071,10.7591/9781501724077-014,,Temporary Assistance for Needy Families,10. The Politics of Economics in Welfare Reform
dataset-071,10.7591/9781501728891-006,,Temporary Assistance for Needy Families,5. Asian Immigrant Communities and the Racial Politics of Welfare Reform
dataset-071,10.7591/9781501728891-003,,Temporary Assistance for Needy Families,2. When Work Is Slavery
dataset-071,10.7591/9781501724077-015,,Temporary Assistance for Needy Families,"11. Deterring ""Irresponsible"" Reproduction through Welfare Reform"
dataset-071,10.1525/9780520960510-033,,Temporary Assistance for Needy Families,24. Life after Prison for Hispanics
dataset-071,10.1016/j.drugpo.2019.09.014,"{'id': 'jour.1100741', 'title': 'International Journal of Drug Policy'}",Temporary Assistance for Needy Families,"A policy mapping analysis of goals, target populations, and punitive notions in the U.S. congressional response to the opioid epidemic"
dataset-071,10.1007/s10903-018-00854-6,"{'id': 'jour.1035872', 'title': 'Journal of Immigrant and Minority Health'}",Temporary Assistance for Needy Families,"Geospatial Analysis of Refugee Access to Primary Care Physicians in San Antonio, Texas"
dataset-071,10.1007/s11150-019-09459-w,"{'id': 'jour.1042479', 'title': 'Review of Economics of the Household'}",Temporary Assistance for Needy Families,The effects of the 2010 Affordable Care Act dependent care provision on family structure and public program participation among young adults
dataset-071,10.1186/s40352-019-0092-y,"{'id': 'jour.1049700', 'title': 'Health & Justice'}",Temporary Assistance for Needy Families,The role of the community health delivery system in the health and well-being of justice-involved women: a narrative review
