dataset,doi,journal,search_term,title,url
dataset-057,10.1016/j.nut.2019.110596,Nutrition,The Healthy Eating Index,"Systemic low-grade inflammation associated lifestyle, diet and genetic factors, a population-based cross-sectional study",https://doi.org/10.1016/j.nut.2019.110596
dataset-057,10.1016/j.jesf.2019.08.004,Journal of Exercise Science & Fitness,The Healthy Eating Index,Evaluation for the effects of nutritional education on Chinese elite male young soccer players: The application of adjusted dietary balance index (DBI),https://doi.org/10.1016/j.jesf.2019.08.004
dataset-057,10.1016/j.ypmed.2019.105892,Preventive Medicine,The Healthy Eating Index,Clustering of unhealthy behaviors in a nationally representative sample of U.S. children and adolescents,https://doi.org/10.1016/j.ypmed.2019.105892
dataset-057,10.1016/j.appet.2019.104451,Appetite,The Healthy Eating Index,Distance metrics optimized for clustering temporal dietary patterning among U.S. adults,https://doi.org/10.1016/j.appet.2019.104451
dataset-057,10.1016/j.psyneuen.2019.104469,Psychoneuroendocrinology,The Healthy Eating Index,Fecal microbiota and metabolites are distinct in a pilot study of pediatric Crohn’s disease patients with higher levels of perceived stress,https://doi.org/10.1016/j.psyneuen.2019.104469
dataset-057,10.1007/978-3-319-95681-7_64,,The Healthy Eating Index,SDG3 Good Health and Well-Being: Integration and Connection with Other SDGs,https://doi.org/10.1007/978-3-319-95681-7_64
dataset-057,10.1007/978-981-32-9162-1,,The Healthy Eating Index,"Inequality and Uncertainty, Current Challenges for Cities",https://doi.org/10.1007/978-981-32-9162-1
dataset-057,10.1007/978-981-32-9162-1_14,,The Healthy Eating Index,"Urban Scenes, Cultural Context Exposure and Contemporary Health Lifestyles: A Multilevel Analysis of Spanish Sub-municipal Areas",https://doi.org/10.1007/978-981-32-9162-1_14
dataset-057,10.1016/b978-0-12-814507-4.00005-5,,The Healthy Eating Index,5 Insights from past food research using scanner data,https://doi.org/10.1016/b978-0-12-814507-4.00005-5
dataset-057,10.1007/978-3-319-95681-7,,The Healthy Eating Index,Good Health and Well-Being,https://doi.org/10.1007/978-3-319-95681-7
dataset-057,10.1016/b978-0-12-813171-8.00005-6,,The Healthy Eating Index,"Chapter 4 Food, nutrition and health in the UK",https://doi.org/10.1016/b978-0-12-813171-8.00005-6
dataset-057,10.1186/s12966-019-0771-z,"{'id': 'jour.1033801', 'title': 'International Journal of Behavioral Nutrition and Physical Activity'}",The Healthy Eating Index,Dietary outcomes within the study of novel approaches to weight gain prevention (SNAP) randomized controlled trial,https://doi.org/10.1186/s12966-019-0771-z
dataset-057,10.1186/s12937-019-0460-4,"{'id': 'jour.1031283', 'title': 'Nutrition Journal'}",The Healthy Eating Index,Improvements in the nutritional quality of US young adults based on food sources and socioeconomic status between 1989–1991 and 2011–2014,https://doi.org/10.1186/s12937-019-0460-4
dataset-057,10.1111/ijpo.12562,"{'id': 'jour.1035853', 'title': 'Pediatric Obesity'}",The Healthy Eating Index,"Gestational diabetes exposure and adiposity outcomes in childhood and adolescence: An analysis of effect modification by breastfeeding, diet quality, and physical activity in the EPOCH study",https://doi.org/10.1111/ijpo.12562
dataset-057,10.1016/j.foodchem.2019.125106,"{'id': 'jour.1086261', 'title': 'Food Chemistry'}",The Healthy Eating Index,Carbon isotope measurements of foods containing sugar: A survey,https://doi.org/10.1016/j.foodchem.2019.125106
dataset-057,10.1038/s41598-019-44632-2,"{'id': 'jour.1045337', 'title': 'Scientific Reports'}",The Healthy Eating Index,Dietary Patterns and Age-Related Macular Degeneration in Korea: The Korea National Health and Nutrition Examination Survey 2010–2011,https://doi.org/10.1038/s41598-019-44632-2
dataset-057,10.1016/j.numecd.2019.08.014,"{'id': 'jour.1101564', 'title': 'NMCD - Nutrition,Metabolism and Cardiovascular Diseases'}",The Healthy Eating Index,The Association of Dietary Patterns and Carotid Intima-Media Thickness: A Synthesis of Current Evidence,https://doi.org/10.1016/j.numecd.2019.08.014
dataset-057,10.1007/s00394-018-1857-0,"{'id': 'jour.1294989', 'title': 'European Journal of Nutrition'}",The Healthy Eating Index,"Local fast-food environment, diet and blood pressure: the moderating role of mastery",https://doi.org/10.1007/s00394-018-1857-0
dataset-057,10.1038/s41598-018-37183-5,"{'id': 'jour.1045337', 'title': 'Scientific Reports'}",The Healthy Eating Index,Infant dietary patterns and early childhood caries in a multi-ethnic Asian cohort,https://doi.org/10.1038/s41598-018-37183-5
dataset-057,10.1186/s12877-019-1206-z,"{'id': 'jour.1024943', 'title': 'BMC Geriatrics'}",The Healthy Eating Index,Lower dietary variety is a relevant factor for malnutrition in older Japanese home-care recipients: a cross-sectional study,https://doi.org/10.1186/s12877-019-1206-z
