dataset,doi,journal,search_term,title,url
dataset-179,10.1016/j.pnpbp.2019.109770,Progress in Neuro-Psychopharmacology and Biological Psychiatry,Three-City Study,Zebrafish models: Gaining insight into purinergic signaling and neurological disorders,https://doi.org/10.1016/j.pnpbp.2019.109770
dataset-179,10.1080/13607863.2018.1512083,Aging & Mental Health,Three-City Study,"Relationship between education, leisure activities, and cognitive functions in older adults",https://doi.org/10.1080/13607863.2018.1512083
dataset-179,10.1186/s12877-019-1073-7,BMC Geriatrics,Three-City Study,Associations of the metabolic syndrome and its components with cognitive impairment in older adults,https://doi.org/10.1186/s12877-019-1073-7
dataset-179,10.1186/s12933-019-0859-4,Cardiovascular Diabetology,Three-City Study,The association between fasting plasma glucose and glycated hemoglobin in the prediabetes range and future development of hypertension,https://doi.org/10.1186/s12933-019-0859-4
dataset-179,10.1186/s12877-019-1295-8,BMC Geriatrics,Three-City Study,Social position and geriatric syndromes among Swedish older people: a population-based study,https://doi.org/10.1186/s12877-019-1295-8
dataset-179,10.1016/j.sleepx.2019.100009,Sleep Medicine X,Three-City Study,Bidirectional associations between adolescents’ sleep problems and impulsive behavior over time,https://doi.org/10.1016/j.sleepx.2019.100009
dataset-179,10.1186/s12877-019-1039-9,BMC Geriatrics,Three-City Study,"Frailty, transition in frailty status and all-cause mortality in older adults of a Taichung community-based population",https://doi.org/10.1186/s12877-019-1039-9
dataset-179,10.1136/heartjnl-2019-314999,Heart,Three-City Study,Association of napping with incident cardiovascular events in a prospective cohort study,https://doi.org/10.1136/heartjnl-2019-314999
dataset-179,10.1016/j.clnu.2018.12.007,Clinical Nutrition,Three-City Study,Potentially Modifiable Determinants of Malnutrition in Older Adults: a Systematic Review,https://doi.org/10.1016/j.clnu.2018.12.007
dataset-179,10.1186/s13148-019-0741-y,Clinical Epigenetics,Three-City Study,"Dietary intakes and biomarker patterns of folate, vitamin B6, and vitamin B12 can be associated with cognitive impairment by hypermethylation of redox-related genes NUDT15 and TXNRD1",https://doi.org/10.1186/s13148-019-0741-y
dataset-179,10.1016/j.dadm.2019.05.007,Alzheimer's & Dementia Diagnosis Assessment & Disease Monitoring,Three-City Study,Plasma amyloid beta levels are associated with cerebral amyloid and tau deposition,https://doi.org/10.1016/j.dadm.2019.05.007
dataset-179,10.1186/s12931-019-1033-y,Respiratory Research,Three-City Study,Altered irisin/BDNF axis parallels excessive daytime sleepiness in obstructive sleep apnea patients,https://doi.org/10.1186/s12931-019-1033-y
dataset-179,10.1186/s12944-019-1029-0,Lipids in Health and Disease,Three-City Study,The sociodemographic characteristics and dietary and blood plasma fatty acid profiles of elderly Saudi women with Alzheimer disease,https://doi.org/10.1186/s12944-019-1029-0
dataset-179,10.1186/s12877-018-1017-7,BMC Geriatrics,Three-City Study,Influence of activity space on the association between neighborhood characteristics and dementia risk: results from the 3-City study cohort,https://doi.org/10.1186/s12877-018-1017-7
dataset-179,10.1038/s41598-019-50315-9,Scientific Reports,Three-City Study,Plasma Aβ42 and Total Tau Predict Cognitive Decline in Amnestic Mild Cognitive Impairment,https://doi.org/10.1038/s41598-019-50315-9
dataset-179,10.1016/j.ssmph.2019.100479,SSM - Population Health,Three-City Study,Effects of selected leisure activities on preventing loneliness among older Chinese,https://doi.org/10.1016/j.ssmph.2019.100479
dataset-179,10.1038/s41398-019-0620-5,Translational Psychiatry,Three-City Study,Sex-specific depressive symptoms as markers of pre-Alzheimer dementia: findings from the Three-City cohort study,https://doi.org/10.1038/s41398-019-0620-5
dataset-179,10.1016/j.neubiorev.2019.09.001,Neuroscience & Biobehavioral Reviews,Three-City Study,"Co-occurrence of cognitive impairment and physical frailty, and incidence of dementia: systematic review and meta-analysis",https://doi.org/10.1016/j.neubiorev.2019.09.001
dataset-179,10.1186/s13030-019-0146-3,BioPsychoSocial Medicine,Three-City Study,Special series on “effects of board games on health education and promotion” board games as a promising tool for health promotion: a review of recent literature,https://doi.org/10.1186/s13030-019-0146-3
dataset-179,10.1038/s41598-019-47057-z,Scientific Reports,Three-City Study,Neuroprotective effects of oleic acid in rodent models of cerebral ischaemia,https://doi.org/10.1038/s41598-019-47057-z
