dataset,doi,journal,search_term,title,url
dataset-217,10.1136/bmjopen-2018-024032,BMJ Open,Vocational Rehabilitation Initiative,Systematic review of interventions targeting sickness absence among pregnant women in healthcare settings and workplaces,https://doi.org/10.1136/bmjopen-2018-024032
dataset-217,10.3390/ijerph15050838,International Journal of Environmental Research and Public Health,Vocational Rehabilitation Initiative,Furthering the Evidence of the Effectiveness of Employment Strategies for People with Mental Disorders in Europe: A Systematic Review,https://doi.org/10.3390/ijerph15050838
dataset-217,10.1007/978-3-319-64786-9,,Vocational Rehabilitation Initiative,"Disability and Vocational Rehabilitation in Rural Settings, Challenges to Service Delivery",https://doi.org/10.1007/978-3-319-64786-9
dataset-217,10.1007/978-3-319-64786-9_30,,Vocational Rehabilitation Initiative,"Implications of Workforce Innovation and Opportunity Act (WIOA) in Rural, Frontier, and Territory Communities",https://doi.org/10.1007/978-3-319-64786-9_30
dataset-217,10.1136/oemed-2016-104248,"{'id': 'jour.1017084', 'title': 'Occupational and Environmental Medicine'}",Vocational Rehabilitation Initiative,Effect on return to work or education of Individual Placement and Support modified for people with mood and anxiety disorders: results of a randomised clinical trial,https://doi.org/10.1136/oemed-2016-104248
dataset-217,10.1371/journal.pone.0169426,"{'id': 'jour.1037553', 'title': 'PLoS ONE'}",Vocational Rehabilitation Initiative,"A Latent Class Analysis of Multimorbidity and the Relationship to Socio-Demographic Factors and Health-Related Quality of Life. A National Population-Based Study of 162,283 Danish Adults",https://doi.org/10.1371/journal.pone.0169426
dataset-217,10.1057/978-1-137-48769-8,,Vocational Rehabilitation Initiative,Disabling Domesticity,https://doi.org/10.1057/978-1-137-48769-8
dataset-217,10.1057/978-1-137-48769-8_4,,Vocational Rehabilitation Initiative,The Largest Occupational Group of All the Disabled: Homemakers with Disabilities and Vocational Rehabilitation in Postwar America,https://doi.org/10.1057/978-1-137-48769-8_4
dataset-217,10.1515/npf-2016-0028,"{'id': 'jour.1146772', 'title': 'Nonprofit Policy Forum'}",Vocational Rehabilitation Initiative,Public Policies and Work Integration Social Enterprises: The Challenge of Institutionalization in a Neoliberal Era,https://doi.org/10.1515/npf-2016-0028
dataset-217,10.3109/09638288.2014.976716,"{'id': 'jour.1090622', 'title': 'Disability and Rehabilitation'}",Vocational Rehabilitation Initiative,The actions of the social insurance agency regarding long-term sickness absentees before and after a medical assessment – a study of 384 case files,https://doi.org/10.3109/09638288.2014.976716
dataset-217,10.12968/ijtr.2014.21.8.358,"{'id': 'jour.1032272', 'title': 'International Journal of Therapy and Rehabilitation'}",Vocational Rehabilitation Initiative,Bridging the research–practice gap: Are communities of practice the key?,https://doi.org/10.12968/ijtr.2014.21.8.358
dataset-217,10.1002/pon.3148,"{'id': 'jour.1102945', 'title': 'Psycho-Oncology'}",Vocational Rehabilitation Initiative,Supporting ‘work‐related goals’ rather than ‘return to work’ after cancer? A systematic review and meta‐synthesis of 25 qualitative studies,https://doi.org/10.1002/pon.3148
dataset-217,10.4276/030802212x13522194759897,"{'id': 'jour.1019120', 'title': 'British Journal of Occupational Therapy'}",Vocational Rehabilitation Initiative,The Impact of Chronic Low Back Pain on Leisure Participation: Implications for Occupational Therapy,https://doi.org/10.4276/030802212x13522194759897
dataset-217,10.12968/ijtr.2012.19.4.217,"{'id': 'jour.1032272', 'title': 'International Journal of Therapy and Rehabilitation'}",Vocational Rehabilitation Initiative,Mental health vocational rehabilitation–occupational therapists’ perceptions of individual placement and support,https://doi.org/10.12968/ijtr.2012.19.4.217
dataset-217,10.1007/0-306-47893-5_8,,Vocational Rehabilitation Initiative,The Role of Vocational Rehabilitation Counselors in Mental Health Services,https://doi.org/10.1007/0-306-47893-5_8
dataset-217,10.1007/b105964,,Vocational Rehabilitation Initiative,Sourcebook of Rehabilitation and Mental Health Practice,https://doi.org/10.1007/b105964
dataset-217,10.1080/15487760108415448,"{'id': 'jour.1033762', 'title': 'American Journal of Psychiatric Rehabilitation'}",Vocational Rehabilitation Initiative,Graduate education in psychiatric rehabilitation,https://doi.org/10.1080/15487760108415448
dataset-217,10.1017/s0008423901778092,"{'id': 'jour.1009065', 'title': 'Canadian Journal of Political Science'}",Vocational Rehabilitation Initiative,Canadian Federalism and Disability Policy Making,https://doi.org/10.1017/s0008423901778092
dataset-217,10.1016/s1057-6290(00)80017-0,,Vocational Rehabilitation Initiative,From research to practice,https://doi.org/10.1016/s1057-6290(00)80017-0
dataset-217,10.1037/h0079495,"{'id': 'jour.1018119', 'title': 'American Journal of Orthopsychiatry'}",Vocational Rehabilitation Initiative,Treatment and rehabilitation of the seriously mentally ill in China: Impressions of a society in transition.,https://doi.org/10.1037/h0079495
