dataset,doi,journal,search_term,title,url
dataset-066,10.1177/0033354919874088,Public Health Reports,Wisconsin Department of Corrections,Hepatitis A and Hepatitis B Vaccination Coverage Among Persons Who Inject Drugs and Have Evidence of Hepatitis C Infection,https://doi.org/10.1177/0033354919874088
dataset-066,10.1177/1462474518782470,Punishment & Society,Wisconsin Department of Corrections,Nongovernmental organizations and postprison life: Examining the role of religion,https://doi.org/10.1177/1462474518782470
dataset-066,10.1136/injuryprev-2018-042996,Injury Prevention,Wisconsin Department of Corrections,Status of legal firearm possession and violent deaths: methods and protocol for a retrospective case-control study,https://doi.org/10.1136/injuryprev-2018-042996
dataset-066,10.1007/s10461-019-02437-4,AIDS and Behavior,Wisconsin Department of Corrections,Effect of Patient Navigation on Transitions of HIV Care After Release from Prison: A Retrospective Cohort Study,https://doi.org/10.1007/s10461-019-02437-4
dataset-066,10.3390/h8030123,Humanities,Wisconsin Department of Corrections,From Apprentice to Master: Casting Men to Play Shakespeare’s Women in Prison,https://doi.org/10.3390/h8030123
dataset-066,10.1007/s11682-019-00155-y,Brain Imaging and Behavior,Wisconsin Department of Corrections,Aberrant brain gray matter in murderers,https://doi.org/10.1007/s11682-019-00155-y
dataset-066,10.1002/bsl.2394,Behavioral Sciences & the Law,Wisconsin Department of Corrections,Evaluation of a cognitive‐behavioral intervention for high‐ and medium‐risk probationers,https://doi.org/10.1002/bsl.2394
dataset-066,10.1017/s0033291718002921,Psychological Medicine,Wisconsin Department of Corrections,Affective and interpersonal psychopathic traits associated with reduced corpus callosum volume among male inmates – RETRACTED,https://doi.org/10.1017/s0033291718002921
dataset-066,10.1002/hbm.24462,Human Brain Mapping,Wisconsin Department of Corrections,Machine learning of brain gray matter differentiates sex in a large forensic sample,https://doi.org/10.1002/hbm.24462
dataset-066,10.1016/j.jaac.2019.03.003,Journal of the American Academy of Child & Adolescent Psychiatry,Wisconsin Department of Corrections,Pan Emily X.R. The Astonishing Color of After 2018 Brown and Company New York: Little,https://doi.org/10.1016/j.jaac.2019.03.003
dataset-066,10.1080/1067828x.2019.1623146,Journal of Child & Adolescent Substance Abuse,Wisconsin Department of Corrections,Long-Term Outcome of a Brief Intervention to Address Adolescent Drug Abuse in a School Setting,https://doi.org/10.1080/1067828x.2019.1623146
dataset-066,10.1016/j.amepre.2018.08.016,American Journal of Preventive Medicine,Wisconsin Department of Corrections,Hepatitis C Testing and Patient Characteristics in Washington State's Prisons Between 2012 and 2016,https://doi.org/10.1016/j.amepre.2018.08.016
dataset-066,10.1007/978-3-319-96235-1,,Wisconsin Department of Corrections,"Robot Rules, Regulating Artificial Intelligence",https://doi.org/10.1007/978-3-319-96235-1
dataset-066,10.1007/978-3-030-16707-3,,Wisconsin Department of Corrections,"Handbook on Children with Incarcerated Parents, Research, Policy, and Practice",https://doi.org/10.1007/978-3-030-16707-3
dataset-066,10.1007/978-3-030-16707-3_10,,Wisconsin Department of Corrections,Parent–Child Visits When Parents Are Incarcerated in Prison or Jail,https://doi.org/10.1007/978-3-030-16707-3_10
dataset-066,10.1037/law0000181,"{'id': 'jour.1114193', 'title': 'Psychology Public Policy and Law'}",Wisconsin Department of Corrections,The impact of waiver to adult court on youths’ perceptions of procedural justice.,https://doi.org/10.1037/law0000181
dataset-066,10.1177/0032885518793952,"{'id': 'jour.1123861', 'title': 'The Prison Journal'}",Wisconsin Department of Corrections,"Of All the Joints, She Walks Into This One: Career Motivations of Women Corrections Executives",https://doi.org/10.1177/0032885518793952
dataset-066,10.1007/s11292-018-9334-6,"{'id': 'jour.1042357', 'title': 'Journal of Experimental Criminology'}",Wisconsin Department of Corrections,Does providing inmates with education improve postrelease outcomes? A meta-analysis of correctional education programs in the United States,https://doi.org/10.1007/s11292-018-9334-6
dataset-066,10.1016/j.socscimed.2018.06.003,"{'id': 'jour.1093956', 'title': 'Social Science & Medicine'}",Wisconsin Department of Corrections,Re-entry experiences of Black men living with HIV/AIDS after release from prison: Intersectionality and implications for care,https://doi.org/10.1016/j.socscimed.2018.06.003
dataset-066,10.1525/nclr.2018.21.3.379,"{'id': 'jour.1142356', 'title': 'New Criminal Law Review An International and Interdisciplinary Journal'}",Wisconsin Department of Corrections,Fourth Amendment Constraints on the Technological Monitoring of Convicted Sex Offenders,https://doi.org/10.1525/nclr.2018.21.3.379
