dataset,doi,journal,search_term,title
dataset-063,10.1177/1091142116629204,Public Finance Review,Wisconsin Unemployment Insurance,EITC Use in Shared Placement Cases
dataset-063,10.4324/9781315394503,,Wisconsin Unemployment Insurance,"Federalism and the Making of America, 2nd"
dataset-063,10.1177/0192513x14565701,"{'id': 'jour.1091259', 'title': 'Journal of Family Issues'}",Wisconsin Unemployment Insurance,Child Support and Subsequent Nonmarital Fertility With a New Partner
dataset-063,10.1016/j.childyouth.2016.10.018,"{'id': 'jour.1092724', 'title': 'Children and Youth Services Review'}",Wisconsin Unemployment Insurance,Making parents pay: The unintended consequences of charging parents for foster care
dataset-063,10.1007/s10940-014-9242-5,"{'id': 'jour.1041809', 'title': 'Journal of Quantitative Criminology'}",Wisconsin Unemployment Insurance,An Experimental Evaluation of a Comprehensive Employment-Oriented Prisoner Re-entry Program
dataset-063,10.1111/manc.12052,"{'id': 'jour.1122908', 'title': 'Manchester School'}",Wisconsin Unemployment Insurance,Atypical Jobs: Stepping Stones or Dead Ends? Evidence from the NLSY79
dataset-063,10.2139/ssrn.2520979,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Wisconsin Unemployment Insurance,Making Parents Pay: The Unintended Consequences of Charging Parents for Foster Care
dataset-063,10.2139/ssrn.2446510,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",Wisconsin Unemployment Insurance,The Effect of Public Insurance Coverage for Childless Adults on Labor Supply
dataset-063,10.4324/9780203852125,,Wisconsin Unemployment Insurance,Federalism and the Making of America
dataset-063,10.1109/srii.2012.45,,Wisconsin Unemployment Insurance,A Gap-Analysis-based Framework for Evolution and Modernization
dataset-063,10.1016/j.jhe.2012.04.004,"{'id': 'jour.1042785', 'title': 'Journal of Housing Economics'}",Wisconsin Unemployment Insurance,Long-term effects of public low-income housing vouchers on neighborhood quality and household composition
dataset-063,10.1111/j.1465-7295.2009.00260.x,"{'id': 'jour.1121986', 'title': 'Economic Inquiry'}",Wisconsin Unemployment Insurance,WHY DON'T ELIGIBLE FIRMS CLAIM HIRING SUBSIDIES? THE ROLE OF JOB DURATION
dataset-063,10.1109/cec.2009.68,,Wisconsin Unemployment Insurance,Gap Analysis Methodology for Business Service Engineering
dataset-063,10.7312/kerm14688-004,,Wisconsin Unemployment Insurance,3. Outcomes for Older Youth Exiting the Foster Care System in the United States
dataset-063,10.1007/978-3-642-02463-4_16,,Wisconsin Unemployment Insurance,GAMBUSE: A Gap Analysis Methodology for Engineering SOA-Based Applications
dataset-063,10.1007/978-3-642-02463-4,,Wisconsin Unemployment Insurance,"Conceptual Modeling: Foundations and Applications, Essays in Honor of John Mylopoulos"
dataset-063,10.1002/pam.20354,"{'id': 'jour.1093447', 'title': 'Journal of Policy Analysis and Management'}",Wisconsin Unemployment Insurance,The effects of an employer subsidy on employment outcomes: A study of the work opportunity and welfare‐to‐work tax credits
dataset-063,10.3233/jem-2007-0287,"{'id': 'jour.1122873', 'title': 'Journal of Economic and Social Measurement'}",Wisconsin Unemployment Insurance,Work and earnings of low-skilled women: Do employee and employer reports provide consistent information?
dataset-063,10.1016/j.childyouth.2007.04.004,"{'id': 'jour.1092724', 'title': 'Children and Youth Services Review'}",Wisconsin Unemployment Insurance,Child support and parental conflict in low-income families
dataset-063,10.1606/1044-3894.3647,"{'id': 'jour.1100331', 'title': 'Families in Society'}",Wisconsin Unemployment Insurance,Barriers to Employment among TANF Applicants and Their Consequences for Self-Sufficiency
