dataset,doi,journal,search_term,title
dataset-101,10.7591/9781501728891-004,,Wisconsin Works (W-2),3. From Maximum Feasible Participation to Disenfranchisement
dataset-101,10.1111/puar.13099,"{'id': 'jour.1005766', 'title': 'Public Administration Review'}",Wisconsin Works (W-2),Pay‐for‐Success Development in the United States: Feasible or Failing to Launch?
dataset-101,10.1017/s0047279418000284,"{'id': 'jour.1088399', 'title': 'Journal of Social Policy'}",Wisconsin Works (W-2),Episodes of Translation and Network Resilience: Lessons from Israel's Attempted Institutionalisation of Workfare
dataset-101,10.4324/9781315191898,,Wisconsin Works (W-2),Revival: Ethics and Social Security Reform (2001)
dataset-101,10.1177/0263775816655803,"{'id': 'jour.1029069', 'title': 'Environment and Planning D Society and Space'}",Wisconsin Works (W-2),Whose reproductive futures? Race-biopolitics and resistance in the Black infant mortality reduction campaigns in Milwaukee
dataset-101,10.1111/socf.12324,"{'id': 'jour.1044208', 'title': 'Sociological Forum'}",Wisconsin Works (W-2),Slum‐Lording for Profit
dataset-101,10.1108/ijssp-03-2015-0031,"{'id': 'jour.1027882', 'title': 'International Journal of Sociology and Social Policy'}",Wisconsin Works (W-2),Israel 					' 				s failed experiment with American-style welfare reform
dataset-101,10.4324/9781315631257,,Wisconsin Works (W-2),Wages of Empire
dataset-101,10.1002/pop4.121,"{'id': 'jour.1313394', 'title': 'Poverty & Public Policy'}",Wisconsin Works (W-2),In the Absence of Leave: The Financial Coping Strategies of Disadvantaged New Mothers in the Great Recession
dataset-101,10.4324/9781315632384,,Wisconsin Works (W-2),Rethinking America
dataset-101,10.1177/1557988314543906,"{'id': 'jour.1037779', 'title': ""American Journal of Men's Health""}",Wisconsin Works (W-2),"Relationship of Paternity Status, Welfare Reform Period, and Racial/Ethnic Disparities in Infant Mortality"
dataset-101,10.4324/9781315703060,,Wisconsin Works (W-2),Justice for All: Promoting Social Equity in Public Administration
dataset-101,10.4324/9781315701301,,Wisconsin Works (W-2),Race and Social Equity
dataset-101,10.4324/9781315701394,,Wisconsin Works (W-2),Public Policy in the United States
dataset-101,10.4324/9781315699226,,Wisconsin Works (W-2),The Practice of American Public Policymaking
dataset-101,10.1080/19492901.2014.11728449,"{'id': 'jour.1049414', 'title': 'Anthropology Now'}",Wisconsin Works (W-2),From Welfare Queens to Day-Care Queens
dataset-101,10.1016/j.childyouth.2014.04.003,"{'id': 'jour.1092724', 'title': 'Children and Youth Services Review'}",Wisconsin Works (W-2),From multiple program participation to disconnection: Changing trajectories of TANF and SNAP beneficiaries in Wisconsin
dataset-101,10.1007/s13524-014-0295-8,"{'id': 'jour.1012733', 'title': 'Demography'}",Wisconsin Works (W-2),Testing the Economic Independence Hypothesis: The Effect of an Exogenous Increase in Child Support on Subsequent Marriage and Cohabitation
dataset-101,10.1080/23303131.2013.878014,"{'id': 'jour.1050318', 'title': 'Human Services Organizations Management Leadership & Governance'}",Wisconsin Works (W-2),The Caseworker as a Source for Program Information: Understanding the Importance of the Work Environment
dataset-101,10.1016/j.childyouth.2013.10.022,"{'id': 'jour.1092724', 'title': 'Children and Youth Services Review'}",Wisconsin Works (W-2),The effect of welfare sanctions on TANF exits and employment
