dataset,doi,journal,search_term,title,url
dataset-101,10.7591/9781501728891-004,,Wisconsin Works (W-2),3. From Maximum Feasible Participation to Disenfranchisement,https://doi.org/10.7591/9781501728891-004
dataset-101,10.1111/puar.13099,Public Administration Review,Wisconsin Works (W-2),Pay‐for‐Success Development in the United States: Feasible or Failing to Launch?,https://doi.org/10.1111/puar.13099
dataset-101,10.1017/s0047279418000284,Journal of Social Policy,Wisconsin Works (W-2),Episodes of Translation and Network Resilience: Lessons from Israel's Attempted Institutionalisation of Workfare,https://doi.org/10.1017/s0047279418000284
dataset-101,10.4324/9781315191898,,Wisconsin Works (W-2),Revival: Ethics and Social Security Reform (2001),https://doi.org/10.4324/9781315191898
dataset-101,10.1177/0263775816655803,Environment and Planning D Society and Space,Wisconsin Works (W-2),Whose reproductive futures? Race-biopolitics and resistance in the Black infant mortality reduction campaigns in Milwaukee,https://doi.org/10.1177/0263775816655803
dataset-101,10.1111/socf.12324,Sociological Forum,Wisconsin Works (W-2),Slum‐Lording for Profit,https://doi.org/10.1111/socf.12324
dataset-101,10.1108/ijssp-03-2015-0031,International Journal of Sociology and Social Policy,Wisconsin Works (W-2),"Israel 					' 				s failed experiment with American-style welfare reform",https://doi.org/10.1108/ijssp-03-2015-0031
dataset-101,10.4324/9781315631257,,Wisconsin Works (W-2),Wages of Empire,https://doi.org/10.4324/9781315631257
dataset-101,10.1002/pop4.121,Poverty & Public Policy,Wisconsin Works (W-2),In the Absence of Leave: The Financial Coping Strategies of Disadvantaged New Mothers in the Great Recession,https://doi.org/10.1002/pop4.121
dataset-101,10.4324/9781315632384,,Wisconsin Works (W-2),Rethinking America,https://doi.org/10.4324/9781315632384
dataset-101,10.1177/1557988314543906,American Journal of Men's Health,Wisconsin Works (W-2),"Relationship of Paternity Status, Welfare Reform Period, and Racial/Ethnic Disparities in Infant Mortality",https://doi.org/10.1177/1557988314543906
dataset-101,10.4324/9781315703060,,Wisconsin Works (W-2),Justice for All: Promoting Social Equity in Public Administration,https://doi.org/10.4324/9781315703060
dataset-101,10.4324/9781315701301,,Wisconsin Works (W-2),Race and Social Equity,https://doi.org/10.4324/9781315701301
dataset-101,10.4324/9781315701394,,Wisconsin Works (W-2),Public Policy in the United States,https://doi.org/10.4324/9781315701394
dataset-101,10.4324/9781315699226,,Wisconsin Works (W-2),The Practice of American Public Policymaking,https://doi.org/10.4324/9781315699226
dataset-101,10.1080/19492901.2014.11728449,Anthropology Now,Wisconsin Works (W-2),From Welfare Queens to Day-Care Queens,https://doi.org/10.1080/19492901.2014.11728449
dataset-101,10.1016/j.childyouth.2014.04.003,Children and Youth Services Review,Wisconsin Works (W-2),From multiple program participation to disconnection: Changing trajectories of TANF and SNAP beneficiaries in Wisconsin,https://doi.org/10.1016/j.childyouth.2014.04.003
dataset-101,10.1007/s13524-014-0295-8,Demography,Wisconsin Works (W-2),Testing the Economic Independence Hypothesis: The Effect of an Exogenous Increase in Child Support on Subsequent Marriage and Cohabitation,https://doi.org/10.1007/s13524-014-0295-8
dataset-101,10.1080/23303131.2013.878014,Human Services Organizations Management Leadership & Governance,Wisconsin Works (W-2),The Caseworker as a Source for Program Information: Understanding the Importance of the Work Environment,https://doi.org/10.1080/23303131.2013.878014
dataset-101,10.1016/j.childyouth.2013.10.022,Children and Youth Services Review,Wisconsin Works (W-2),The effect of welfare sanctions on TANF exits and employment,https://doi.org/10.1016/j.childyouth.2013.10.022
