dataset,doi,journal,search_term,title
dataset-147,10.1007/s10896-019-00058-y,Journal of Family Violence,Women's Employment Study,Gender-Based Violence in Senegal: its Catalysts and Connections from a Community Perspective
dataset-147,10.1080/02673037.2019.1676402,Housing Studies,Women's Employment Study,Beyond households: regional determinants of housing instability among low-income renters in the United States
dataset-147,10.1080/15564886.2019.1641449,Victims & Offenders,Women's Employment Study,Victimized Twice: A Field Experiment on the Employability of Victims
dataset-147,10.1080/10511482.2018.1544161,Housing Policy Debate,Women's Employment Study,Why Low-Income Households Become Unstably Housed: Evidence From the Panel Study of Income Dynamics
dataset-147,10.1080/15555240.2019.1609361,Journal of Workplace Behavioral Health,Women's Employment Study,Workplace interventions for intimate partner violence: A systematic review
dataset-147,10.1136/jech-2018-211194,Journal of Epidemiology & Community Health,Women's Employment Study,The rise of hunger among low-income households: an analysis of the risks of food insecurity between 2004 and 2016 in a population-based study of UK adults
dataset-147,10.1177/1077801218802641,Violence Against Women,Women's Employment Study,Freeing Oneself From Intimate Partner Violence: A Follow-Up of Women Who Contacted an Anti-violence Center in Italy
dataset-147,10.1177/1073110519857323,"The Journal of Law, Medicine & Ethics",Women's Employment Study,Civil Rights Law and the Determinants of Health: How Some States Have Utilized Civil Rights Laws to Increase Protections Against Discrimination
dataset-147,10.1007/s10896-018-0009-x,Journal of Family Violence,Women's Employment Study,Work Outcomes for Mothers Experiencing Intimate Partner Violence: the Buffering Effect of Child Care Subsidy
dataset-147,10.1037/tra0000368,Psychological Trauma Theory Research Practice and Policy,Women's Employment Study,Associations between intimate partner violence victimization and employment outcomes among male and female post-9/11 veterans.
dataset-147,10.1111/hsc.12619,Health & Social Care in the Community,Women's Employment Study,Systematic review of psychosocial factors associated with evictions
dataset-147,10.1101/549493,bioRxiv,Women's Employment Study,Assessing the potential impact of Medicaid work requirements on African-Americans via a welfare reform analysis: A systematic review
dataset-147,10.2139/ssrn.3399735,SSRN Electronic Journal,Women's Employment Study,The Use and Misuse of Income Data and Extreme Poverty in the United States
dataset-147,10.1007/978-3-030-14276-6,,Women's Employment Study,"Desisting Sisters, Gender, Power and Desistance in the Criminal (In)Justice System"
dataset-147,10.1007/s00038-018-1132-4,"{'id': 'jour.1038584', 'title': 'International Journal of Public Health'}",Women's Employment Study,Maternal employment and children’s socio-emotional outcomes: an Australian longitudinal study
dataset-147,10.1371/journal.pone.0207485,"{'id': 'jour.1037553', 'title': 'PLoS ONE'}",Women's Employment Study,The pathways between female garment workers’ experience of violence and development of depressive symptoms
dataset-147,10.1080/13668803.2018.1540400,"{'id': 'jour.1043302', 'title': 'Community Work & Family'}",Women's Employment Study,Intimate partner violence and women’s labour force participation in Sub Saharan Africa
dataset-147,10.1007/s10896-018-0019-8,"{'id': 'jour.1097042', 'title': 'Journal of Family Violence'}",Women's Employment Study,The Role of Social Support in the Link Between Economic Abuse and Economic Hardship
dataset-147,10.1007/s10826-018-1173-6,"{'id': 'jour.1102930', 'title': 'Journal of Child and Family Studies'}",Women's Employment Study,"Maternal Employment and Family Socioeconomic Status: Unique Relations to Maternal Stress, Parenting Beliefs, and Preschoolers’ Adjustment in Taiwanese Families"
dataset-147,10.1017/s1368980018000472,"{'id': 'jour.1118265', 'title': 'Public Health Nutrition'}",Women's Employment Study,Prioritization of the essentials in the spending patterns of Canadian households experiencing food insecurity
