dataset,doi,journal,search_term,title,url
dataset-346,10.1016/j.foodcont.2019.106945,Food Control,"Women, Infants, and Children","Food safety education attitude and practice among health professionals in China, Peru, and the U.S.",https://doi.org/10.1016/j.foodcont.2019.106945
dataset-346,10.1016/j.envres.2019.108794,Environmental Research,"Women, Infants, and Children","Exposure to lead and vaccine-specific IgG titers in South African children participating in the Venda Health Examination of Mothers, babies and their environment (VHEMBE): A longitudinal study",https://doi.org/10.1016/j.envres.2019.108794
dataset-346,10.1016/j.jad.2019.09.073,Journal of Affective Disorders,"Women, Infants, and Children",The Effect of Maternal Depression on Mental Representations and Child Negative Affect,https://doi.org/10.1016/j.jad.2019.09.073
dataset-346,10.1111/ecin.12842,Economic Inquiry,"Women, Infants, and Children",AGING OUT OF WOMEN INFANTS AND CHILDREN: AN INVESTIGATION OF THE COMPENSATION EFFECT OF PRIVATE NUTRITION ASSISTANCE PROGRAMS,https://doi.org/10.1111/ecin.12842
dataset-346,10.1016/j.pedn.2019.10.002,Journal of Pediatric Nursing,"Women, Infants, and Children",Modeling safe infant sleep in the hospital,https://doi.org/10.1016/j.pedn.2019.10.002
dataset-346,10.1016/j.scitotenv.2019.134397,The Science of The Total Environment,"Women, Infants, and Children",Interactions between ambient air pollution and obesity on lung function in children: The Seven Northeastern Chinese Cities (SNEC) Study,https://doi.org/10.1016/j.scitotenv.2019.134397
dataset-346,10.1007/978-3-030-18072-0,,"Women, Infants, and Children","New Technologies, Development and Application II",https://doi.org/10.1007/978-3-030-18072-0
dataset-346,10.1016/b978-0-12-814037-6.00004-5,,"Women, Infants, and Children","Chapter 4 Autism spectrum disorder: A clinical path to early diagnosis, evaluation, and intervention",https://doi.org/10.1016/b978-0-12-814037-6.00004-5
dataset-346,10.1016/b978-0-12-814507-4.00004-3,,"Women, Infants, and Children",4 Methodological approaches for using scanner data,https://doi.org/10.1016/b978-0-12-814507-4.00004-3
dataset-346,10.1016/j.ecresq.2019.08.001,Early Childhood Research Quarterly,"Women, Infants, and Children",Maternal support for infant learning: Findings from a randomized controlled trial of doula home visiting services for young mothers,https://doi.org/10.1016/j.ecresq.2019.08.001
dataset-346,10.1007/978-3-030-23665-6,,"Women, Infants, and Children","Exploring Digital Ecosystems, Organizational and Human Challenges",https://doi.org/10.1007/978-3-030-23665-6
dataset-346,10.1007/978-3-030-27021-6,,"Women, Infants, and Children",The ASMBS Textbook of Bariatric Surgery,https://doi.org/10.1007/978-3-030-27021-6
dataset-346,10.1007/978-3-030-23665-6_32,,"Women, Infants, and Children",Community-Oriented Motivations and Knowledge Sharing as Drivers of Success Within Food Assemblies,https://doi.org/10.1007/978-3-030-23665-6_32
dataset-346,10.1007/978-3-030-18072-0_67,,"Women, Infants, and Children",Biogenic Elements as Cofactors in Enzymes and Their Amount in the Chia Seed,https://doi.org/10.1007/978-3-030-18072-0_67
dataset-346,10.1016/b978-0-12-814507-4.00002-x,,"Women, Infants, and Children",2 Sources of scanner data across the globe,https://doi.org/10.1016/b978-0-12-814507-4.00002-x
dataset-346,10.1016/b978-0-12-814507-4.00005-5,,"Women, Infants, and Children",5 Insights from past food research using scanner data,https://doi.org/10.1016/b978-0-12-814507-4.00005-5
dataset-346,10.1007/978-3-030-27021-6_54,,"Women, Infants, and Children",Obesity Prevention,https://doi.org/10.1007/978-3-030-27021-6_54
dataset-346,10.1007/978-3-030-31818-5,,"Women, Infants, and Children",Experiences of Hunger and Food Insecurity in College,https://doi.org/10.1007/978-3-030-31818-5
dataset-346,10.7591/9780801466366-023,,"Women, Infants, and Children",Chapter Eighteen. PROGRESA: An Integrated Approach to Poverty Alleviation in Mexico (5-1),https://doi.org/10.7591/9780801466366-023
dataset-346,10.1525/9780520960510-017,,"Women, Infants, and Children",11. Economies of Dignity,https://doi.org/10.1525/9780520960510-017
