dataset,doi,journal,search_term,title,url
dataset-343,10.1080/07350015.2019.1660664,Journal of Business and Economic Statistics,Workforce Investment Act Standardized Record Data,Multivalued Treatments and Decomposition Analysis: An Application to the WIA Program,https://doi.org/10.1080/07350015.2019.1660664
dataset-343,10.1177/0160323x18823878,State and Local Government Review,Workforce Investment Act Standardized Record Data,What Is the Return on Investment for Public Workforce Programs? An Analysis of WIA and TAA in Virginia,https://doi.org/10.1177/0160323x18823878
dataset-343,10.2139/ssrn.3276370,SSRN Electronic Journal,Workforce Investment Act Standardized Record Data,Multivalued Treatments and Decomposition Analysis: An Application to the WIA Program,https://doi.org/10.2139/ssrn.3276370
dataset-343,10.1787/9789264266513-8-en,,Workforce Investment Act Standardized Record Data,Programmes promoting the re-employment of displaced workers in the United States,https://doi.org/10.1787/9789264266513-8-en
dataset-343,10.1007/s11293-013-9394-y,"{'id': 'jour.1027590', 'title': 'Atlantic Economic Journal'}",Workforce Investment Act Standardized Record Data,Return on Investment from Training Programs and Intensive Services,https://doi.org/10.1007/s11293-013-9394-y
dataset-343,10.1186/2193-8997-2-6,"{'id': 'jour.1052709', 'title': 'IZA Journal of Labor Economics'}",Workforce Investment Act Standardized Record Data,Do Public Employment and Training Programs Work?,https://doi.org/10.1186/2193-8997-2-6
dataset-343,10.1002/pam.20597,"{'id': 'jour.1093447', 'title': 'Journal of Policy Analysis and Management'}",Workforce Investment Act Standardized Record Data,Ten years of the Workforce Investment Act (WIA): Interpreting the research on WIA and related programs,https://doi.org/10.1002/pam.20597
dataset-343,10.1002/asmb.725,"{'id': 'jour.1052074', 'title': 'Applied Stochastic Models in Business and Industry'}",Workforce Investment Act Standardized Record Data,Advancing public sector performance analysis,https://doi.org/10.1002/asmb.725
dataset-343,10.1177/0275074007301957,"{'id': 'jour.1137833', 'title': 'The American Review of Public Administration'}",Workforce Investment Act Standardized Record Data,Evidence-Based Policy and Performance Management,https://doi.org/10.1177/0275074007301957
dataset-343,10.3102/01623737027004291,"{'id': 'jour.1043082', 'title': 'Educational Evaluation and Policy Analysis'}",Workforce Investment Act Standardized Record Data,Racial and Ethnic Differences in the Impact of Work-First Policies on College Access,https://doi.org/10.3102/01623737027004291
