dataset,doi,journal,search_term,title
dataset-154,10.1016/j.ijepes.2019.105624,International Journal of Electrical Power & Energy Systems,decision support system,Clustering of electrical load patterns and time periods using uncertainty-based multi-level amplitude thresholding
dataset-154,10.1016/j.ijepes.2019.105612,International Journal of Electrical Power & Energy Systems,decision support system,Post-disaster power system restoration planning considering sequence dependent repairing period
dataset-154,10.29128/geomatik.566666,Geomatik,decision support system,Arazi Toplulaştırması Dağıtım İşleminde Tek Amaçlı Genetik Algoritmanın Kullanılması
dataset-154,10.1007/s11704-019-8208-z,Frontiers of Computer Science,decision support system,A survey on ensemble learning
dataset-154,10.1016/j.eswa.2019.113042,Expert Systems with Applications,decision support system,Portfolio formation with preselection using deep learning from long-term financial data
dataset-154,10.1016/j.anucene.2019.107181,Annals of Nuclear Energy,decision support system,Diagnosis of operational failures and on-demand failures in nuclear power plants: An approach based on dynamic Bayesian networks
dataset-154,10.1016/j.tourman.2019.103982,Tourism Management,decision support system,Can receiving managerial responses induce more user reviewing effort? A mixed method investigation in hotel industry
dataset-154,10.1016/j.eswa.2019.113041,Expert Systems with Applications,decision support system,Portfolio Management via Two-stage Deep Learning with A Joint Cost
dataset-154,10.1007/s11704-018-7072-6,Frontiers of Computer Science,decision support system,Leveraging proficiency and preference for online Karaoke recommendation
dataset-154,10.1016/j.tourman.2019.104000,Tourism Management,decision support system,Modeling Airbnb demand to New York City while employing spatial panel data at the listing level
dataset-154,10.1016/j.rcim.2019.101861,Robotics and Computer-Integrated Manufacturing,decision support system,Manufacturing big data ecosystem: A systematic literature review
dataset-154,10.1016/j.eswa.2019.113025,Expert Systems with Applications,decision support system,Discovering generalized design knowledge using a multi-objective evolutionary algorithm with generalization operators
dataset-154,10.1016/j.eswa.2019.112988,Expert Systems with Applications,decision support system,Simultaneous Feature Selection and Heterogeneity Control for SVM Classification: An Application to Mental Workload Assessment
dataset-154,10.1016/j.eswa.2019.113075,Expert Systems with Applications,decision support system,Deep 1D-Convnet for accurate Parkinson disease detection and severity prediction from gait
dataset-154,10.1016/j.cam.2019.112530,Journal of Computational and Applied Mathematics,decision support system,Optimization of risk control in financial markets based on particle swarm optimization algorithm
dataset-154,10.1016/j.eswa.2019.113074,Expert Systems with Applications,decision support system,Intelligent Traffic Control for Autonomous Vehicle Systems Based on Machine Learning
dataset-154,10.1016/j.gsd.2019.100285,Groundwater for Sustainable Development,decision support system,"Performance of MAR model for stormwater management in Barind Tract, Bangladesh"
dataset-154,10.1016/j.eswa.2019.113062,Expert Systems with Applications,decision support system,Customized and Knowledge-centric Service Design Model Integrating Case-based Reasoning and TRIZ
dataset-154,10.1016/j.eswa.2019.113070,Expert Systems with Applications,decision support system,Personalized Itinerary Recommendation: Deep and Collaborative Learning with Textual Information
dataset-154,10.1016/j.tourman.2019.104020,Tourism Management,decision support system,Testing loss aversion and diminishing sensitivity in review sentiment
