dataset,dataset_string,doi,journal,title
dataset-371,Survey of Doctorate Recipients,10.1007/s10961-018-9659-3,"{'id': 'jour.1032548', 'title': 'The Journal of Technology Transfer'}",A conceptual framework for studying science research careers
dataset-371,Survey of Doctorate Recipients,10.1186/s12052-019-0110-5,"{'id': 'jour.1044517', 'title': 'Evolution: Education and Outreach'}","African Americans in evolutionary science: where we have been, and what’s next"
dataset-371,Survey of Doctorate Recipients,10.1007/s10109-018-0281-6,"{'id': 'jour.1294774', 'title': 'Journal of Geographical Systems'}",Are foreign-born researchers more innovative? Self-selection and the production of knowledge among PhD recipients in the USA
dataset-371,Survey of Doctorate Recipients,10.1007/s11162-019-09584-6,"{'id': 'jour.1046373', 'title': 'Research in Higher Education'}",University and Department Influences on Scientists’ Occupational Outcomes
dataset-371,Survey of Doctorate Recipients,10.1016/j.respol.2019.103824,"{'id': 'jour.1015700', 'title': 'Research Policy'}",The use of material transfer agreements in academia: A threat to open science or a cooperation tool?
dataset-371,Survey of Doctorate Recipients,10.1007/s11162-019-09583-7,"{'id': 'jour.1046373', 'title': 'Research in Higher Education'}",Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization
dataset-371,Survey of Doctorate Recipients,10.1101/785717,"{'id': 'jour.1293558', 'title': 'bioRxiv'}",Policy should change to improve invited speaker diversity and reflect trainee diversity
dataset-371,Survey of Doctorate Recipients,10.1080/10899995.2019.1621714,"{'id': 'jour.1139368', 'title': 'Journal of Geoscience Education'}",Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses
dataset-371,Survey of Doctorate Recipients,10.1080/14778238.2018.1557024,"{'id': 'jour.1136347', 'title': 'Knowledge Management Research & Practice'}",Is university-industry collaboration biased by sex criteria?
dataset-371,Survey of Doctorate Recipients,10.1016/j.techfore.2019.06.019,"{'id': 'jour.1027537', 'title': 'Technological Forecasting and Social Change'}",Faculty ideals and universities' third mission
dataset-371,Survey of Doctorate Recipients,10.1177/0019793918819809,"{'id': 'jour.1119883', 'title': 'ILR Review'}",Academic Entrepreneurship: The Bayh-Dole Act versus the Professor’s Privilege
dataset-371,Survey of Doctorate Recipients,10.1007/s10961-019-09747-8,"{'id': 'jour.1032548', 'title': 'The Journal of Technology Transfer'}",The influence of scientific prestige and peer effects on the intention to create university spin-offs
dataset-371,Survey of Doctorate Recipients,10.1101/751867,"{'id': 'jour.1293558', 'title': 'bioRxiv'}",A data-based guide to the North American ecology faculty job market
dataset-371,Survey of Doctorate Recipients,10.1002/he.20336,"{'id': 'jour.1137801', 'title': 'New Directions for Higher Education'}",Developing an Indigenous Knowledge Field Camp
dataset-371,Survey of Doctorate Recipients,10.1007/s13412-019-00553-0,"{'id': 'jour.1051423', 'title': 'Journal of Environmental Studies and Sciences'}","Characteristics of collaborative, interdisciplinary, and engaged research among graduate students in environmental conservation"
dataset-371,Survey of Doctorate Recipients,10.1007/s11162-019-09573-9,"{'id': 'jour.1046373', 'title': 'Research in Higher Education'}","Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline"
dataset-371,Survey of Doctorate Recipients,10.1142/s1363919620500450,"{'id': 'jour.1139438', 'title': 'International Journal of Innovation Management'}",THE ROLES OF ACADEMIC INVENTORS IN MEDICAL INNOVATION PROCESSES: EXPLORING THE INFLUENCE OF IPR OWNERSHIP AND IP NATURE
dataset-371,Survey of Doctorate Recipients,10.1007/s11192-019-03155-3,"{'id': 'jour.1089056', 'title': 'Scientometrics'}",Gender gaps in international research collaboration: a bibliometric approach
dataset-371,Survey of Doctorate Recipients,10.1007/s10961-017-9643-3,"{'id': 'jour.1032548', 'title': 'The Journal of Technology Transfer'}",The role of scientific and market knowledge in the inventive process: evidence from a survey of industrial inventors
dataset-371,Survey of Doctorate Recipients,10.1080/17421772.2019.1636127,"{'id': 'jour.1052869', 'title': 'Spatial Economic Analysis'}","On the nexus between innovation, productivity and migration of US university graduates"
