dataset ,dataset_string,dataset_title,doi,journal,title,url
dataset-426,USPTO,USPTO PatentsView,10.1016/j.eswa.2019.112995,Expert Systems with Applications,TechNet: Technology Semantic Network Based on Patent Data,www.doi.org/10.1016/j.eswa.2019.112995
dataset-426,USPTO,USPTO PatentsView,10.1016/j.ijheatmasstransfer.2019.118821,International Journal of Heat and Mass Transfer,Numerical modelling of radiation absorption in a novel multi-stage free-falling particle receiver,www.doi.org/10.1016/j.ijheatmasstransfer.2019.118821
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jep.2019.112250,Journal of Ethnopharmacology,"Neopicrorhiza scrophulariiflora (Pennell) Hong: A comprehensive review of its traditional uses, phytochemistry, pharmacology and safety",www.doi.org/10.1016/j.jep.2019.112250
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jbusres.2019.08.040,Journal of Business Research,"Does geographic distance to partners affect firm R&D spending? The moderating roles of individuals, firms, and countries",www.doi.org/10.1016/j.jbusres.2019.08.040
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jclepro.2019.118185,Journal of Cleaner Production,Adopting hydrogen direct reduction for the Swedish steel industry: A technological innovation system (TIS) study,www.doi.org/10.1016/j.jclepro.2019.118185
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.evalprogplan.2019.101710,Evaluation and Program Planning,"Using Database Linkages to Measure Innovation, Commercialization, and Survival of Small Businesses",www.doi.org/10.1016/j.evalprogplan.2019.101710
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.enpol.2019.110942,Energy Policy,Analysing energy innovation portfolios from a systemic perspective,www.doi.org/10.1016/j.enpol.2019.110942
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1007/s10734-019-00363-x,Higher Education,Dynamics of higher education research collaboration and regional integration in Northeast Asia: a study of the A3 Foresight Program,www.doi.org/10.1007/s10734-019-00363-x
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.esr.2019.04.012,Energy Strategy Reviews,Analysing future change in the EU's energy innovation system,www.doi.org/10.1016/j.esr.2019.04.012
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1002/smj.2977,Strategic Management Journal,The ethnic migrant inventor effect: Codification and recombination of knowledge across borders,www.doi.org/10.1002/smj.2977
