title,dataset,abstract,authors,doi,journal,keywords,adrf_id
"A Battle Plan for Supporting Military Families, Lessons for the Leaders of Tomorrow",dataset-428,"This unique reference integrates knowledge culled from fifteen years of U.S. deployments to create an action plan for supporting military and veteran families during future conflicts. Its innovative ideas stretch beyond designated governmental agencies (e.g., Department of Defense, VA) to include participation from, and possible collaborations with, the business/corporate, academic, advocacy, and philanthropic sectors. Contributors identify ongoing and emerging issues affecting military and veteran families and recommend specific strategies toward expanding and enhancing current programs and policy. This proactive agenda also outlines new directions for mobilizing the research community, featuring strategies for addressing institutional challenges and improving access to critical data.",Linda Hughes-Kirchubel,10.1007/978-3-319-68984-5,Risk and Resilience in Military and Veteran Families,,adrf-000136
A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list,dataset-428,"Abstract This study investigates the convergence of two bibliometric approaches to the measurement of interdisciplinary research: one based on analyzing disciplinary diversity in the reference list of publications, the other based on the disciplinary diversity of authors of publications. In particular we measure the variety, balance, disparity and integrated diversity index of, respectively, single-author, multi-author single-field, and multi-author multi-field publications. We find that, in general, the diversity of the reference list grows with the number of fields reflected in a paper's authors list and, to a lesser extent, with the number of authors being equal the number of fields. Further, we find that when fields belonging to different disciplines are reflected in the authors list, the disparity in the reference list is higher than in the case of fields belonging to the same discipline. However, this general tendency varies across disciplines, and noticeable exceptions are found at individual paper level.","Giovanni Abramo, Ciriaco Andrea D'Angelo, Lin Zhang",10.1016/j.joi.2018.09.001,Journal of Informetrics,"Bibliographic index, Binocular disparity, Bibliometrics, Interdisciplinarity, Research collaboration, Co-authorship",adrf-000136
A conceptual framework for studying science research careers,"dataset-370, dataset-371","The emergence of open science and new data practices is changing the way research is done. Opportunities to access data through purpose built platforms and repositories, combined with emerging data and meta-data curation practices are expanding data availability in many fields. This paper presents a conceptual framework for studying scientific research careers, motivated by opportunities to link empirical datasets to construct new analyses that address remaining and emerging knowledge gaps. The research career conceptual framework (RCCF) emerges from a review of relevant theories and empirical findings regarding research careers. The paper reviews existing models and develops a typology of research careers. It also compiles a list of variables drawn from the literature on research careers. Two preliminary demonstrations of linking datasets to address empirical questions are outlined. The final discussion advocates an approach to emerging data opportunities that combines theories and models with empirical research questions as being superior to an approach that produces ad hoc explanations on the basis of 'data fishing' exercises.","Carolina Canibano,Richard Woolley,Eric J. Iversen,Sybille Hinze,Stefan Hornbostel,Jakob Tesch",10.1007/s10961-018-9659-3,The Journal of Technology Transfer,"Research careers, Open data, RISIS platform ","adrf-000142, adrf-000144"
A data-based guide to the North American ecology faculty job market,dataset-371,"Every year for three years (2016 to 2018), I tried to identify every single person hired as a tenure track prof in ecology or an allied field (e.g., fish & wildlife) in N. America. I identified a total of 566 hires. I used public sources to compile various data on the new hires and the institutions that hired them (e.g., number of publications, teaching experience, hiring institution Carnegie class). I also compiled data provided by anonymous ecology faculty job seekers on ecoevojobs.net (e.g., number of positions applied for, number of publications, numbers of interviews and offers). And I polled readers of the Dynamic Ecology blog to get information about applicant and search committee behavior (e.g., regarding customization of applications to the hiring institution). These data address some widespread anxieties and misunderstandings about the ecology faculty job market, and also speak to gender diversity and equity in recent ecology faculty hiring. They complement, and in some cases improve on, other sources of information, such as anecdotal personal experiences."",",Jeremy W Fox,10.1101/751867,BioRxiv,,adrf-000144
A National Study of the Influence of the Community College Pathway on Female StudentsaTM STEM Baccalaureate Success,dataset-370,"Objective: This study examines the role of community colleges in closing the gender gap in science, technology, engineering, and mathematics (STEM) by studying whether beginning at a community coll...","Xiaodan Hu,Justin C. Ortagus",10.1177/0091552119850321,Community College Review,,adrf-000142
A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,dataset-428,"PrEP is an important and useful HIV prevention strategy, yet awareness remains low among at-risk populations in the United States and elsewhere in the world. As previous studies have shown PrEP awareness to be important to PrEP uptake, understanding approaches to increase PrEP awareness is imperative. The current systematic review provides an overview of published articles and on-going research on PrEP awareness. Using PRISMA guidelines, two published articles and seven on-going research studies were identified that use different approaches to increase PrEP awareness. Findings highlight the need for research to target other at-risk populations and geographic areas. Future research should consider the use of technology and network approaches to assess whether they lead to increased awareness, accurate knowledge, and uptake of PrEP, along with examining which messaging works best for specific targeted, at-risk population(s).","Amber I. Sophus, Jason W Mitchell",10.1007/s10461-018-2305-0,AIDS and Behavior,"Chromosome Deletion, Scientific Publication, Pre-exposure prophylaxis (PrEP), Awareness, HIV prevention",adrf-000136
Academic Entrepreneurship: The Bayh-Dole Act versus the ProfessoraTMs Privilege,"dataset-371, dataset-370","Is the Bayh-Dole intellectual property regime associated with more and better academic entrepreneurship than the Professor\u2019s Privilege regime? The authors examine data on US PhDs in the natural sciences, engineering, and medical fields who became entrepreneurs in 1993\u20132006 and compare this to similar data from Sweden. They find that, in both countries, those with an academic background have lower rates of entry into entrepreneurship than do those with a non-academic background. The relative rate of academics starting entrepreneurial firms is slightly lower in the United States than in Sweden. Moreover, the mean economic gains from becoming an entrepreneur are negative, both for PhDs originating in academia and for non-academic settings in both countries. Analysis indicates that selection into entrepreneurship occurs from the lower part of the ability distribution among academics. The results suggest that policies supporting entrepreneurial decisions by younger, tenure-track academics may be more effective.","Thomas Åstebro, Serguey Braguinsky, Pontus Braunerhjelm, Anders Broström",10.1177/0019793918819809,ILR Review,"Academic Entrepreneurship, Innovation, Royalty Sharing, Bayh-Dole, Professors Privilege","adrf-000142, adrf-000144"
"Academic Familism, Spillover Prestige and Gender Segregation in Sociology Subfields: The Trajectory of Economic Sociology",dataset-370,"Sociology is a multiparadigmatic discipline, increasingly feminized, but in some of the discipline's subfields certain theoretical tools and methods dominate over others, and gender integration is stalled. Why so? I examine the intellectual trajectory of the new economic sociology to highlight the role of academic familism, disciplinary spillover prestige, and gender for privileging the networks perspective, over other intellectual currents, in the early developments of the subfield. First, academic familism in a form of cross generational mentor-mentee relationships reinforced networks-based research among early champions of the new economic sociology, such as Harrison White and Mark Granovetter and their students. Second, the network perspective thrived on spillover prestige from natural sciences, which also embraced the study of networks, as well as from economics. Third, alignment with methodological and gender hierarchies in the discipline of sociology privileged the quantitative male-led network analyses over other approaches, such as cultural or inequality analysis. Providing an interpretation of the history of economic sociology, this article also reveals the mechanisms that stall gender integration within sociological subfields despite broader trends in feminization of our discipline.",Nina Bandelj,10.1007/s12108-019-09421-4,The American Sociologist,,adrf-000142
African Americans in Economics at the University of Michigan-Ann Arbor Since the Kerner Commission Report of 1968,dataset-370,"The campus of the University of Michigan experienced student unrest of the 1960s surrounding the Vietnam war and demands for racial inclusion. How the university, particularly the Department of Economics, responded in the aftermath of the Kerner Commission Report is the focus of this article. Michigan is not unique in producing few Black PhD economists over its history, having graduated 15 Black PhD economists of the more than 1,100 who have graduated from the department to date. Supreme Court decisions and a state ballot initiative halted the progress that was being made by the University to improve student and faculty diversity. Despite this, Michigan is one of only a few economics departments at majority institutions to have been home to several Black economists simultaneously. The fact that this is a notable statistic speaks to the lack of diversity of economics faculties nationwide.",Charles L. Betsey,10.1177/0034644619880562,The Review of Black Political Economy,"Kerner Commission, Michigan, economics, diversity",adrf-000142
"African Americans in evolutionary science: where we have been, and what's next",dataset-371,"In 2017 National Science Foundation data revealed that in the United States the professional biological workforce was composed of 69.5% whites, 21.3% Asians, and only 3% African American or Blacks (National Science Foundation, 2017, https://ncsesdata.nsf.gov/doctoratework/2017/html/sdr2017_dst_03.html). There are problems with the categories themselves but without too deep an investigation of these, these percentages are representative of the demography of biology as a whole over the latter portion of the twentieth and beginning of the twenty-first century. However, evolutionary biologists would argue (and correctly so) that the representation of persons of African descent in our field is probably an order of magnitude lower (0.3%). This commentary focuses on the factors that are associated with underrepresentation of African Americans in evolutionary science careers.",Joseph L. Graves,10.1186/s12052-019-0110-5,Evolution: Education and Outreach,"African Americans, Evolutionary science, Institutional racism, Aversive racism, Diversity, Inclusion",adrf-000144
