datasets,doi,journal,search_term,title,url
dataset-622,10.1016/j.ecolind.2019.105872,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",3DEP,Using remote sensing products to predict recovery of vegetation across space and time following energy development,
dataset-622,10.1016/j.geomorph.2019.106920,"{'id': 'jour.1044680', 'title': 'Geomorphology'}",3DEP,Riverscape mapping and hyperscale analysis of the sediment links concept,
dataset-622,10.1016/j.enpol.2019.111049,"{'id': 'jour.1120673', 'title': 'Energy Policy'}",3DEP,Urban form and transportation energy consumption,
dataset-622,10.1007/978-3-030-32523-7,,3DEP,"Proceedings of the Future Technologies Conference (FTC) 2019, Volume 2",
dataset-622,10.1007/978-3-030-32523-7_7,,3DEP,Machine Learning Classification and Segmentation of Forest Fires in Wide Area Motion Imagery,
dataset-622,10.1007/s13157-019-01254-8,"{'id': 'jour.1045785', 'title': 'Wetlands'}",3DEP,Are Tidal Salt Marshes Exposed to Nutrient Pollution more Vulnerable to Sea Level Rise?,
dataset-622,10.1016/j.envsoft.2019.104533,"{'id': 'jour.1134509', 'title': 'Environmental Modelling & Software'}",3DEP,Parallel Distributed Hydrology Soil Vegetation Model (DHSVM) using global arrays,
dataset-622,10.1016/j.scitotenv.2019.134113,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",3DEP,"Fecal indicator dynamics at the watershed scale: Variable relationships with land use, season, and water chemistry",
dataset-622,10.1016/j.gecco.2019.e00853,"{'id': 'jour.1053048', 'title': 'Global Ecology and Conservation'}",3DEP,"Predicting wildlife occurrence with expert elicitation techniques: An assessment of species distributions in New England, United States",
dataset-622,10.1007/s10816-019-09420-2,"{'id': 'jour.1136768', 'title': 'Journal of Archaeological Method and Theory'}",3DEP,"Mapping the Adena-Hopewell Landscape in the Middle Ohio Valley, USA: Multi-Scalar Approaches to LiDAR-Derived Imagery from Central Kentucky",
dataset-622,10.1038/s41598-019-55579-9,Scientific Reports,3DEP,"Ten–Second Electrophysiology: Evaluation of the 3DEP Platform for high-speed, high-accuracy cell analysis",http://dx.doi.org/10.1038/s41598-019-55579-9
dataset-622,10.3390/su11236581,Sustainability,3DEP,"Synergistic Interaction of Climate and Land-Use Drivers Alter the Function of North American, Prairie-Pothole Wetlands",http://dx.doi.org/10.3390/su11236581
dataset-622,10.3390/rs11232737,Remote Sensing,3DEP,General External Uncertainty Models of Three-Plane Intersection Point for 3D Absolute Accuracy Assessment of Lidar Point Cloud,http://dx.doi.org/10.3390/rs11232737
dataset-622,10.1093/neuonc/noz175.135,"{'id': 'jour.1021029', 'title': 'Neuro-Oncology'}",3DEP,CBMT-13. 3DEP SYSTEM TO TEST THE ELECTRICAL PROPERTIES OF DIFFERENT CELL LINES AS PREDICTIVE MARKERS OF OPTIMAL TUMOR TREATING FIELDS (TTFIELDS) FREQUENCY AND SENSITIVITY,
dataset-622,10.1016/j.rama.2019.06.006,"{'id': 'jour.1138690', 'title': 'Rangeland Ecology & Management'}",3DEP,Dormant Season Grazing: Effect of Supplementation Strategies on Heifer Resource Utilization and Vegetation Use,
dataset-622,10.1002/ece3.5511,Ecology and Evolution,3DEP,Spatial scale affects novel and disappeared climate change projections in Alaska,http://dx.doi.org/10.1002/ece3.5511
dataset-622,10.1002/ecs2.2811,Ecosphere,3DEP,Resource selection of mule deer in a shrub‐steppe ecosystem: influence of woodland distribution and animal behavior,http://dx.doi.org/10.1002/ecs2.2811
dataset-622,10.1016/j.scitotenv.2019.06.379,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",3DEP,"Parameterization and evaluation of the CALMET/CALPUFF model system in near-field and complex terrain - Terrain data, grid resolution and terrain adjustment method",
dataset-622,10.3390/rs11202378,Remote Sensing,3DEP,"Exceptionally High 2018 Equilibrium Line Altitude on Taku Glacier, Alaska",http://dx.doi.org/10.3390/rs11202378
dataset-622,10.1111/rec.13029,"{'id': 'jour.1137732', 'title': 'Restoration Ecology'}",3DEP,In‐stream habitat and macroinvertebrate responses to riparian corridor length in rangeland streams,
dataset-622,10.1130/ges02101.1,Geosphere,3DEP,"Eocene exhumation and extensional basin formation in the Copper Mountains, Nevada, USA",https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/doi/10.1130/GES02101.1/4797839/ges02101.pdf
dataset-622,10.1016/j.foreco.2019.06.037,"{'id': 'jour.1030151', 'title': 'Forest Ecology and Management'}",3DEP,"Previous fires and roads limit wildfire growth in Arizona and New Mexico, U.S.A.",
dataset-622,10.1093/neuonc/noz126.171,"{'id': 'jour.1021029', 'title': 'Neuro-Oncology'}",3DEP,P11.25 Assessing electrical properties of cells as predictive marker for patient-specific TTFields response and optimal frequency,
dataset-622,10.1093/neuonc/noz126.170,"{'id': 'jour.1021029', 'title': 'Neuro-Oncology'}",3DEP,"P11.24 CR13626, an oral tyrosine kinase inhibitor crossing the blood brain barrier, reduces tumour growth and prolongs survival in a mouse model of glioblastoma",
dataset-622,10.3390/w11091846,Water,3DEP,"Measuring Streambank Erosion: A Comparison of Erosion Pins, Total Station, and Terrestrial Laser Scanner",http://dx.doi.org/10.3390/w11091846
dataset-622,10.1080/15230406.2018.1526652,"{'id': 'jour.1041893', 'title': 'Cartography and Geographic Information Science'}",3DEP,Validating the use of object-based image analysis to map commonly recognized landform features in the United States,
