datasets,doi,journal,search_term,title
dataset-624,10.1016/j.geothermics.2019.101746,"{'id': 'jour.1137459', 'title': 'Geothermics'}",3D Elevation Program Data,Geological setting and hydrogeothermal characteristics of the Kapong non-volcanic hot spring area in Southern Thailand
dataset-624,10.1016/j.ecolind.2019.105872,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",3D Elevation Program Data,Using remote sensing products to predict recovery of vegetation across space and time following energy development
dataset-624,10.1002/9781119288190,,3D Elevation Program Data,Compendium of Biomedical Instrumentation
dataset-624,10.1088/1361-6501/ab41cf,"{'id': 'jour.1055181', 'title': 'Measurement Science and Technology'}",3D Elevation Program Data,Improving BDS-2 and BDS-3 joint precise point positioning with time delay bias estimation
dataset-624,10.1080/01431161.2019.1655175,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",3D Elevation Program Data,Integration of super-pixel segmentation and deep-learning methods for evaluating earthquake-damaged buildings using single-phase remote sensing imagery
dataset-624,10.1016/j.ecolind.2019.105842,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",3D Elevation Program Data,A two-level nested model for extracting positive and negative terrains combining morphology and visualization indicators
dataset-624,10.1016/j.geomorph.2019.106871,"{'id': 'jour.1044680', 'title': 'Geomorphology'}",3D Elevation Program Data,Natural and anthropogenic-induced changes in a tidal inlet: Morphological evolution of Oregon Inlet
dataset-624,10.1016/j.rse.2019.111535,"{'id': 'jour.1045931', 'title': 'Remote Sensing of Environment'}",3D Elevation Program Data,Evaluation of pushbroom DAP relative to frame camera DAP and lidar for forest modeling
dataset-624,10.1016/j.seta.2019.100580,"{'id': 'jour.1144532', 'title': 'Sustainable Energy Technologies and Assessments'}",3D Elevation Program Data,Application of a new method to develop a CFD model to analyze wind characteristics for a complex terrain
dataset-624,10.1016/j.scitotenv.2019.134716,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",3D Elevation Program Data,Spatially explicit quantification of total soil erosion by RTK GPS in wind and water eroded croplands
dataset-624,10.1016/j.geomorph.2019.106893,"{'id': 'jour.1044680', 'title': 'Geomorphology'}",3D Elevation Program Data,The dynamic process of slope rill erosion analyzed with a digital close range photogrammetry observation system under laboratory conditions
dataset-624,10.1016/j.scs.2019.101962,"{'id': 'jour.1141177', 'title': 'Sustainable Cities and Society'}",3D Elevation Program Data,Developing a rapid method for 3-dimensional urban morphology extraction using open-source data
dataset-624,10.1016/j.enggeo.2019.105431,"{'id': 'jour.1052625', 'title': 'Engineering Geology'}",3D Elevation Program Data,Seismic response of the Lengzhuguan slope caused by topographic and geological effects
dataset-624,10.1016/j.cageo.2019.104388,"{'id': 'jour.1269885', 'title': 'Computers & Geosciences'}",3D Elevation Program Data,Landslide detection based on contour-based deep learning framework in case of national scale of Nepal in 2015
dataset-624,10.1016/j.measurement.2019.107216,"{'id': 'jour.1052495', 'title': 'Measurement'}",3D Elevation Program Data,BDS/GPS/LEO triple-frequency uncombined precise point positioning and its performance in harsh environments
dataset-624,10.1016/j.cpc.2019.106952,"{'id': 'jour.1026105', 'title': 'Computer Physics Communications'}",3D Elevation Program Data,TURTLE: A C library for an optimistic stepping through a topography
dataset-624,10.1080/01431161.2019.1646939,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",3D Elevation Program Data,"Impacts of Urban land surface temperature on tract landscape pattern, physical and social variables"
dataset-624,10.1080/01431161.2019.1643938,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",3D Elevation Program Data,A denoising–classification–retracking method to improve spaceborne estimates of the water level–surface–volume relation over the Urmia Lake in Iran
dataset-624,10.1016/j.envpol.2019.113395,"{'id': 'jour.1098046', 'title': 'Environmental Pollution'}",3D Elevation Program Data,Estimating PM2.5 concentration of the conterminous United States via interpretable convolutional neural networks
dataset-624,10.1016/j.envsoft.2019.104561,"{'id': 'jour.1134509', 'title': 'Environmental Modelling & Software'}",3D Elevation Program Data,A toolbox to quickly prepare flood inundation models for LISFLOOD-FP simulations
