datasets,doi,journal,search_term,title,url,pdf
dataset-623,10.1007/s12237-019-00640-z,Estuaries and Coasts,C-CAP,Climatic Controls on the Distribution of Foundation Plant Species in Coastal Wetlands of the Conterminous United States: Knowledge Gaps and Emerging Research Needs,https://link.springer.com/article/10.1007%2Fs12237-019-00640-z,
dataset-623,10.3996/122018-jfwm-117,Journal of Fish and Wildlife Management,C-CAP,Local- and Landscape-Level Variables Related to Poweshiek Skipperling Presence in Michigan Prairie Fens,https://www.fwspubs.org/doi/10.3996/122018-JFWM-117,
dataset-623,10.3390/rs11212493,Remote Sensing,C-CAP,Quantifying Spatiotemporal Patterns and Major Explanatory Factors of Urban Expansion in Miami Metropolitan Area During 1992-2016,http://dx.doi.org/10.3390/rs11212493,
dataset-623,10.3390/rs11202346,Remote Sensing,C-CAP,"Adjusting Emergent Herbaceous Wetland Elevation with Object-Based Image Analysis, Random Forest and the 2016 NLCD",http://dx.doi.org/10.3390/rs11202346,
"dataset-623,dataset-306",10.1016/j.ijdrr.2019.101240,International Journal of Disaster Risk Reduction,C-CAP,Flood exposure of critical infrastructures in the United States,https://www.sciencedirect.com/science/article/pii/S2212420918314754?via%3Dihub,
dataset-623,10.3390/rs11192260,Remote Sensing,C-CAP,"A Methodology to Assess Land Use Development, Flooding, and Wetland Change as Indicators of Coastal Vulnerability",http://dx.doi.org/10.3390/rs11192260,
dataset-623,10.3389/fmars.2019.00511,Frontiers in Marine Science,C-CAP,Voluntary Restoration: Mitigation's Silent Partner in the Quest to Reverse Coastal Wetland Loss in the USA,http://dx.doi.org/10.3389/fmars.2019.00511,
dataset-623,10.1371/journal.pone.0218558,PLoS ONE,C-CAP,Insights into estuary habitat loss in the western United States using a new method for mapping maximum extent of tidal wetlands,http://dx.doi.org/10.1371/journal.pone.0218558,
dataset-623,10.1016/j.scitotenv.2019.04.287,The Science of The Total Environment,C-CAP,"Flood protection ecosystem services in the coast of Puerto Rico: Associations between extreme weather, flood hazard mitigation and gastrointestinal illness",https://www.sciencedirect.com/science/article/pii/S0048969719318224?via%3Dihub,
dataset-623,10.1016/j.jag.2019.03.013,International Journal of Applied Earth Observation and Geoinformation,C-CAP,High-resolution mapping of biomass and distribution of marsh and forested wetlands in southeastern coastal Louisiana,https://www.sciencedirect.com/science/article/pii/S0303243418312285?via%3Dihub,
dataset-623,10.1109/igarss.2019.8899779,2012 IEEE International Geoscience and Remote Sensing Symposium,C-CAP,"AI-Based Remote Sensing Oceanography - Image Classification, Data Fusion, Algorithm Development and Phenomenon Forecast",https://ieeexplore.ieee.org/document/8899779,
dataset-623,10.3389/fenvs.2019.00068,Frontiers in Environmental Science,C-CAP,Impact of Hurricane Katrina on the Coastal Systems of Southern Louisiana,https://www.frontiersin.org/articles/10.3389/fenvs.2019.00068/pdf,
dataset-623,10.1177/0309133319839922,Progress in Physical Geography Earth and Environment,C-CAP,Advancing barrier island habitat mapping using landscape position information,https://journals.sagepub.com/doi/10.1177/0309133319839922,
dataset-623,10.5194/esurf-7-429-2019,Earth Surface Dynamics,C-CAP,Relationships between regional coastal land cover distributions and elevation reveal data uncertainty in a sea-level rise impacts model,https://www.earth-surf-dynam.net/7/429/2019/esurf-7-429-2019.pdf,
dataset-623,10.1093/condor/duz007,The Condor,C-CAP,"Large-scale tree mortality from Rapid Ohia Death negatively influences avifauna in lower Puna, Hawaii Island, USA",https://academic.oup.com/condor/article-pdf/121/2/duz007/28981665/duz007.pdf,
dataset-623,10.1080/10402381.2019.1606868,Lake and Reservoir Management,C-CAP,Stability of Lake Sammamish phosphorus despite land use changes,https://www.tandfonline.com/doi/full/10.1080/10402381.2019.1606868,
dataset-623,10.1016/j.landusepol.2019.01.029,Land Use Policy,C-CAP,Specialized governance and regional land-use outcomes: A spatial analysis of Florida community development districts,https://www.sciencedirect.com/science/article/pii/S0264837718313437?via%3Dihub,
dataset-623,10.1016/j.jenvman.2018.11.039,Journal of Environmental Management,C-CAP,Disparities of population exposed to flood hazards in the United States,https://www.sciencedirect.com/science/article/pii/S0301479718313057?via%3Dihub,
dataset-623,10.1007/s11069-018-3493-7,Natural Hazards,C-CAP,Population vulnerability to tsunami hazards informed by previous and projected disasters: a case study of American Samoa,https://link.springer.com/content/pdf/10.1007%2Fs11069-018-3493-7.pdf,
dataset-623,10.1002/jwmg.21605,Journal of Wildlife Management,C-CAP,Seasonal habitat selection and movements by mottled ducks,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.21605,
dataset-623,10.1080/01431161.2018.1516318,International Journal of Remote Sensing,C-CAP,"Characterizing multi-decadal, annual land cover change dynamics in Houston, TX based on automated classification of Landsat imagery",https://www.tandfonline.com/doi/full/10.1080/01431161.2018.1516318,
dataset-623,10.1016/j.landurbplan.2018.09.019,Landscape and Urban Planning,C-CAP,Visibility analysis of oceanic blue space using digital elevation models,https://www.sciencedirect.com/science/article/pii/S0169204618303220?via%3Dihub,
dataset-623,10.1038/s41598-018-26948-7,Scientific Reports,C-CAP,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States,https://www.nature.com/articles/s41598-018-26948-7.pdf,
dataset-623,10.1088/1748-9326/aae157,Environmental Research Letters,C-CAP,Uncertainty in United States coastal wetland greenhouse gas inventorying,https://iopscience.iop.org/article/10.1088/1748-9326/aae157/pdf,
dataset-623,10.1016/j.ecss.2018.08.007,Estuarine Coastal and Shelf Science,C-CAP,Classification mapping of salt marsh vegetation by flexible monthly NDVI time-series using Landsat imagery,https://www.sciencedirect.com/science/article/pii/S0272771417311642?via%3Dihub,
dataset-623,10.1016/j.envsci.2018.06.005,Environmental Science & Policy,C-CAP,Examining the relationship between development patterns and total phosphorus in the Galveston Bay Estuary,https://www.sciencedirect.com/science/article/pii/S1462901117305579?via%3Dihub,
dataset-623,10.1016/j.landurbplan.2018.04.018,Landscape and Urban Planning,C-CAP,Modeling non-stationary urban growth: The SPRAWL model and the ecological impacts of development,https://doi.org/10.1016/j.landurbplan.2018.04.018,
dataset-623,10.1007/s10980-018-0687-z,Landscape Ecology,C-CAP,Landscape genetics of the foundational salt marsh plant species black needlerush (Juncus roemerianus Scheele) across the northeastern Gulf of Mexico,https://link.springer.com/content/pdf/10.1007%2Fs10980-018-0687-z.pdf,
dataset-623,10.1002/ece3.4296,Ecology and Evolution,C-CAP,Landscape genetics identifies streams and drainage infrastructure as dispersal corridors for an endangered wetland bird,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4296,
dataset-623,10.3390/jmse6030086,Journal of Marine Science and Engineering,C-CAP,Potential Impacts of Sea Level Rise and Coarse Scale Marsh Migration on Storm Surge Hydrodynamics and Waves on Coastal Protected Areas in the Chesapeake Bay,https://www.mdpi.com/2077-1312/6/3/86/pdf,
dataset-623,10.1371/journal.pone.0198876,PLoS ONE,C-CAP,Glyphosate residue concentrations in honey attributed through geospatial analysis to proximity of large-scale agriculture and transfer off-site by bees,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198876&type=printable,
dataset-623,10.1080/07038992.2018.1526065,Canadian Journal of Remote Sensing,C-CAP,"A Unifying Approach to Classifying Wetlands in the Ontonagon River Basin, Michigan, Using Multi-temporal Landsat-8 OLI Imagery",https://www.tandfonline.com/doi/full/10.1080/07038992.2018.1526065,
dataset-623,10.1016/j.ecolind.2018.02.040,Ecological Indicators,C-CAP,Hierarchical modeling assessment of the influence of watershed stressors on fish and invertebrate species in Gulf of Mexico estuaries,https://www.sciencedirect.com/science/article/pii/S1470160X18301250?via%3Dihub,
dataset-623,10.1016/j.rse.2018.02.064,Remote Sensing of Environment,C-CAP,Improved mapping of forest type using spectral-temporal Landsat features,https://www.sciencedirect.com/science/article/pii/S0034425718300762?via%3Dihub,
dataset-623,10.1016/j.ijdrr.2018.03.009,International Journal of Disaster Risk Reduction,C-CAP,Pedestrian evacuation modeling to reduce vehicle use for distant tsunami evacuations in Hawai'i,https://www.sciencedirect.com/science/article/pii/S2212420918302863?via%3Dihub,
